"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"143E",0.541468700453352,0.707703927492447,0.334943017191424,"1:2:3","4",TRUE,854,34,1
"143E",0.379802619546949,0.70392749244713,0.323243099079877,"1:2:3","4",TRUE,835,34,2
"143E",0.478154180094839,0.711480362537764,0.327512072501158,"1:2:3","4",TRUE,837,34,3
"143E",0.568297123141423,0.720543806646526,0.32779749547981,"1:2:3","4",TRUE,830,34,4
"143E",0.484806637187388,0.704682779456193,0.33261744966443,"1:2:3","4",TRUE,823,34,5
"143E",0.407906904098799,0.691087613293051,0.334055224688684,"1:2:3","4",TRUE,824,34,6
"143E",0.446236362207052,0.697885196374622,0.333594208569752,"1:2:3","4",TRUE,844,34,7
"143E",0.44112782888997,0.68202416918429,0.342635157008741,"1:2:3","4",TRUE,857,34,8
"143E",0.325500196532683,0.675981873111782,0.333085501858736,"1:2:3","4",TRUE,823,34,9
"143E",0.589626586364721,0.706948640483384,0.338690554604136,"1:2:3","4",TRUE,836,34,10
"143E",0.333850749244188,0.70392749244713,0.317975979523528,"1:2:3","4",TRUE,839,34,11
"143E",0.444185887784472,0.700906344410876,0.331535849810266,"1:2:3","4",TRUE,830,34,12
"143E",0.404166818834604,0.685800604229607,0.336775483011326,"1:2:3","4",TRUE,829,34,13
"143E",0.532810355792739,0.715256797583082,0.329117312453992,"1:2:3","4",TRUE,837,34,14
"143E",0.347179485646949,0.685045317220544,0.33084367084497,"1:2:3","4",TRUE,849,34,15
"143E",0.472680250207918,0.702416918429003,0.333030794165316,"1:2:3","4",TRUE,858,34,16
"143E",0.592348451843708,0.708459214501511,0.337822671156005,"1:2:3","4",TRUE,836,34,17
"143E",0.458739520834672,0.686555891238671,0.341651181311388,"1:2:3","4",TRUE,830,34,18
"143E",0.737202430993622,0.732628398791541,0.328197731593785,"1:2:3","4",TRUE,836,34,19
"143E",0.554082402661288,0.723564954682779,0.324687056394373,"1:2:3","4",TRUE,848,34,20
"143E",0.491551648496152,0.695619335347432,0.338956142091685,"1:2:3","4",TRUE,833,34,21
"143E",0.380678242670776,0.70166163141994,0.324730050039505,"1:2:3","4",TRUE,840,34,22
"143E",0.584220319187379,0.725075528700906,0.325524380277853,"1:2:3","4",TRUE,812,34,23
"143E",0.576203719768409,0.700151057401813,0.342367399741268,"1:2:3","4",TRUE,855,34,24
"143E",0.604753175970481,0.723564954682779,0.327937886564022,"1:2:3","4",TRUE,832,34,25
"143E",0.388650254021016,0.687311178247734,0.334249728278243,"1:2:3","4",TRUE,851,34,26
"143E",0.453487850812859,0.694864048338369,0.336155513411,"1:2:3","4",TRUE,824,34,27
"143E",0.489292948470826,0.691087613293051,0.341546702376967,"1:2:3","4",TRUE,827,34,28
"143E",0.396789212041291,0.700151057401813,0.327411861164253,"1:2:3","4",TRUE,813,34,29
"143E",0.399539899483022,0.700151057401813,0.327714093054619,"1:2:3","4",TRUE,818,34,30
"143E",0.417409237682542,0.694108761329305,0.333223554208932,"1:2:3","4",TRUE,836,34,31
"143E",0.507657208159733,0.699395770392749,0.337873931623932,"1:2:3","4",TRUE,823,34,32
"143E",0.733814955527616,0.722809667673716,0.335482155911477,"1:2:3","4",TRUE,838,34,33
"143E",0.350392220631091,0.673716012084592,0.337461712611533,"1:2:3","4",TRUE,832,34,34
"143E",0.331552307800552,0.688821752265861,0.326703792097587,"1:2:3","4",TRUE,833,34,35
"143E",0.506489512345748,0.70166163141994,0.336251151770436,"1:2:3","4",TRUE,832,34,36
"143E",0.33771694757436,0.666918429003021,0.339395929087328,"1:2:3","4",TRUE,845,34,37
"143E",0.56698994546104,0.720543806646526,0.32778611376347,"1:2:3","4",TRUE,814,34,38
"143E",0.40046102629172,0.70619335347432,0.323948327260682,"1:2:3","4",TRUE,823,34,39
"143E",0.766634675493398,0.716012084592145,0.342028018679119,"1:2:3","4",TRUE,832,34,40
"143E",0.503002515570756,0.702416918429003,0.335512124975489,"1:2:3","4",TRUE,844,34,41
"143E",0.368601124388172,0.692598187311178,0.328950898846257,"1:2:3","4",TRUE,823,34,42
"143E",0.402309655692683,0.704682779456193,0.325062689718886,"1:2:3","4",TRUE,840,34,43
"143E",0.53650399138067,0.721299093655589,0.325134815204525,"1:2:3","4",TRUE,838,34,44
"143E",0.541468700453352,0.710725075528701,0.332824528802761,"1:2:3","4",TRUE,833,34,45
"143E",0.343996208126389,0.681268882175227,0.332516880709652,"1:2:3","4",TRUE,828,34,46
"143E",0.534038733492459,0.716767371601209,0.328163157547357,"1:2:3","4",TRUE,833,34,47
"143E",0.361040361679459,0.685800604229607,0.332015015417616,"1:2:3","4",TRUE,821,34,48
"143E",0.32103372283997,0.691087613293051,0.324077098987259,"1:2:3","4",TRUE,840,34,49
"143E",0.403237168088157,0.700151057401813,0.328048940928825,"1:2:3","4",TRUE,837,34,50
"143E",0.708900134099903,0.719788519637462,0.336538461538462,"1:2:3","4",TRUE,842,34,51
"143E",0.356086210208503,0.687311178247734,0.330619445009838,"1:2:3","4",TRUE,824,34,52
"143E",0.409789905555284,0.697129909365559,0.33060739959111,"1:2:3","4",TRUE,840,34,53
"143E",0.483691501478219,0.712990936555891,0.32691173579713,"1:2:3","4",TRUE,844,34,54
"143E",0.435074727036735,0.689577039274924,0.337669197755035,"1:2:3","4",TRUE,838,34,55
"143E",0.359381366380463,0.690332326283988,0.329215966714341,"1:2:3","4",TRUE,839,34,56
"143E",0.617417674863579,0.722809667673716,0.329256328079011,"1:2:3","4",TRUE,844,34,57
"143E",0.588270347379741,0.706948640483384,0.33861729052884,"1:2:3","4",TRUE,829,34,58
"143E",0.621697839225438,0.709214501510574,0.3391564264364,"1:2:3","4",TRUE,827,34,59
"143E",0.623131144252951,0.699395770392749,0.345886630738264,"1:2:3","4",TRUE,851,34,60
"143E",0.444185887784472,0.699395770392749,0.33249901198788,"1:2:3","4",TRUE,835,34,61
"143E",0.580198173971666,0.711480362537764,0.33502132196162,"1:2:3","4",TRUE,834,34,62
"143E",0.603362143319462,0.712235649546828,0.335915732246007,"1:2:3","4",TRUE,815,34,63
"143E",0.608945545409989,0.711480362537764,0.336861142742314,"1:2:3","4",TRUE,822,34,64
"143E",0.39587653101463,0.699395770392749,0.327792510186922,"1:2:3","4",TRUE,845,34,65
"143E",0.431085540879151,0.695619335347432,0.333649032607225,"1:2:3","4",TRUE,819,34,66
"143E",0.459797130528716,0.703172205438066,0.331449599158891,"1:2:3","4",TRUE,839,34,67
"143E",0.462984611826864,0.696374622356495,0.336045511675597,"1:2:3","4",TRUE,832,34,68
"143E",0.541468700453352,0.696374622356495,0.342353640023761,"1:2:3","4",TRUE,839,34,69
"143E",0.735506743078835,0.726586102719033,0.332738213317463,"1:2:3","4",TRUE,838,34,70
"143E",0.396789212041291,0.704682779456193,0.324565949727909,"1:2:3","4",TRUE,849,34,71
"143E",0.527925034803349,0.705438066465257,0.335447637925339,"1:2:3","4",TRUE,836,34,72
"143E",0.460857178509007,0.700151057401813,0.333487725798981,"1:2:3","4",TRUE,834,34,73
"143E",0.519483259863327,0.694108761329305,0.342115741969737,"1:2:3","4",TRUE,831,34,74
"143E",0.348782153977801,0.692598187311178,0.326680191086971,"1:2:3","4",TRUE,834,34,75
"143E",0.456631593884377,0.714501510574018,0.323655559221379,"1:2:3","4",TRUE,837,34,76
"143E",0.541468700453352,0.724320241691843,0.323325784535749,"1:2:3","4",TRUE,852,34,77
"143E",0.541468700453352,0.707703927492447,0.334941192017973,"1:2:3","4",TRUE,836,34,78
"143E",0.642067604382362,0.736404833836858,0.320395885891714,"1:2:3","4",TRUE,858,34,79
"143E",0.406032555111389,0.693353474320242,0.332547328707135,"1:2:3","4",TRUE,819,34,80
"143E",0.525499197573165,0.716767371601209,0.327571696769599,"1:2:3","4",TRUE,850,34,81
"143E",0.422243095031612,0.697129909365559,0.331832328984835,"1:2:3","4",TRUE,839,34,82
"143E",0.405098612861925,0.694108761329305,0.331982460802551,"1:2:3","4",TRUE,836,34,83
"143E",0.589626586364721,0.717522658610272,0.331371779782921,"1:2:3","4",TRUE,844,34,84
"143E",0.483691501478219,0.694108761329305,0.339232648748597,"1:2:3","4",TRUE,839,34,85
"143E",0.299604032735803,0.675226586102719,0.329850844339313,"1:2:3","4",TRUE,833,34,86
"143E",0.458739520834672,0.699395770392749,0.333775889537971,"1:2:3","4",TRUE,835,34,87
"143E",0.554082402661288,0.712990936555891,0.332176634687351,"1:2:3","4",TRUE,818,34,88
"143E",0.443164186539104,0.694108761329305,0.335675356228249,"1:2:3","4",TRUE,834,34,89
"143E",0.582876515513965,0.707703927492447,0.337756489093145,"1:2:3","4",TRUE,847,34,90
"143E",0.631800634916718,0.72809667673716,0.326173015770005,"1:2:3","4",TRUE,847,34,91
"143E",0.603362143319462,0.718277945619335,0.331698588375638,"1:2:3","4",TRUE,835,34,92
"143E",0.564384603360997,0.70619335347432,0.337552465897167,"1:2:3","4",TRUE,836,34,93
"143E",0.407906904098799,0.696374622356495,0.330875514813339,"1:2:3","4",TRUE,829,34,94
"143E",0.497244120856663,0.700906344410876,0.336069341388141,"1:2:3","4",TRUE,840,34,95
"143E",0.457684343818414,0.698640483383686,0.334177383887519,"1:2:3","4",TRUE,828,34,96
"143E",0.480361460747596,0.699395770392749,0.335604087357243,"1:2:3","4",TRUE,820,34,97
"143E",0.462984611826864,0.694108761329305,0.337476857974081,"1:2:3","4",TRUE,829,34,98
"143E",0.599208213580301,0.714501510574018,0.334121821407451,"1:2:3","4",TRUE,840,34,99
"143E",0.325500196532683,0.666163141993958,0.338164573871226,"1:2:3","4",TRUE,824,34,100
