"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"89A",0.00612884640835744,0.427255985267035,0.211850195640022,"1","2",TRUE,687,46,1
"89A",0.00479035872633383,0.472375690607735,0.209071183593477,"1","2",TRUE,688,46,2
"89A",0.00524049048992871,0.438305709023941,0.208888275481333,"1","2",TRUE,690,46,3
"89A",0.00566728870953571,0.442909760589319,0.211467021798556,"1","2",TRUE,685,46,4
"89A",0.0066585909816446,0.414364640883978,0.212370846132365,"1","2",TRUE,683,46,5
"89A",0.00673570158688605,0.421731123388582,0.213792607507551,"1","2",TRUE,669,46,6
"89A",0.00867748435594899,0.480662983425414,0.22624973708196,"1","2",TRUE,691,46,7
"89A",0.00661274899535856,0.476058931860037,0.21812521618817,"1","2",TRUE,690,46,8
"89A",0.00494731356213383,0.429097605893186,0.20635142697258,"1","2",TRUE,688,46,9
"89A",0.00694039420371328,0.441988950276243,0.217032582855545,"1","2",TRUE,681,46,10
"89A",0.00507423453828383,0.440147329650092,0.208252182067374,"1","2",TRUE,665,46,11
"89A",0.0078594026499428,0.440147329650092,0.220454216693187,"1","2",TRUE,669,46,12
"89A",0.00600313123738867,0.435543278084715,0.212267449993006,"1","2",TRUE,683,46,13
"89A",0.00646220956980985,0.43646408839779,0.214412748097034,"1","2",TRUE,670,46,14
"89A",0.00795041939760668,0.430939226519337,0.219704039461405,"1","2",TRUE,718,46,15
"89A",0.00368431399408439,0.465930018416206,0.201963831590845,"1","2",TRUE,681,46,16
"89A",0.00644734541552922,0.447513812154696,0.215514310966075,"1","2",TRUE,704,46,17
"89A",0.00641771959838896,0.447513812154696,0.215368346845259,"1","2",TRUE,686,46,18
"89A",0.00590713828479016,0.440147329650092,0.212343167175314,"1","2",TRUE,707,46,19
"89A",0.00589355088656767,0.441988950276243,0.212453156529259,"1","2",TRUE,669,46,20
"89A",0.00558952287037558,0.464088397790055,0.212777934140163,"1","2",TRUE,685,46,21
"89A",0.00604474713117973,0.43646408839779,0.212604565433149,"1","2",TRUE,683,46,22
"89A",0.00458528290996441,0.417127071823204,0.20281182408075,"1","2",TRUE,661,46,23
"89A",0.00508593302815402,0.43646408839779,0.207889707889708,"1","2",TRUE,691,46,24
"89A",0.0100554205759454,0.428176795580111,0.226360036128674,"1","2",TRUE,691,46,25
"89A",0.00519244060143309,0.439226519337017,0.208731630760451,"1","2",TRUE,676,46,26
"89A",0.00592075700833654,0.442909760589319,0.212674163660796,"1","2",TRUE,676,46,27
"89A",0.0067667952893243,0.428176795580111,0.214750839673727,"1","2",TRUE,687,46,28
"89A",0.00564124728501619,0.453959484346225,0.212321615036547,"1","2",TRUE,687,46,29
"89A",0.00553827271522668,0.44475138121547,0.211034674449309,"1","2",TRUE,691,46,30
"89A",0.00477934010640228,0.460405156537753,0.20835627753304,"1","2",TRUE,703,46,31
"89A",0.00703695442752313,0.443830570902394,0.217598015572246,"1","2",TRUE,696,46,32
"89A",0.00605868310764049,0.456721915285451,0.214541120381406,"1","2",TRUE,688,46,33
"89A",0.00500460651557503,0.430939226519337,0.20689161114693,"1","2",TRUE,667,46,34
"89A",0.00556383878308283,0.461325966850829,0.212495612495612,"1","2",TRUE,689,46,35
"89A",0.00684515896742725,0.425414364640884,0.214749948689882,"1","2",TRUE,691,46,36
"89A",0.00773372702564029,0.443830570902394,0.220334222721528,"1","2",TRUE,685,46,37
"89A",0.00605868310764049,0.434622467771639,0.212457038647682,"1","2",TRUE,678,46,38
"89A",0.00667394215600613,0.448434622467772,0.216556979563561,"1","2",TRUE,687,46,39
"89A",0.00634424926480631,0.433701657458564,0.213633512232522,"1","2",TRUE,683,46,40
"89A",0.00500460651557503,0.440147329650092,0.20790035097378,"1","2",TRUE,694,46,41
"89A",0.00637353592430115,0.425414364640884,0.212732386636482,"1","2",TRUE,701,46,42
"89A",0.0068926121043497,0.439226519337017,0.216553767993226,"1","2",TRUE,667,46,43
"89A",0.00733477065271146,0.433701657458564,0.217714245673043,"1","2",TRUE,693,46,44
"89A",0.00822984278891172,0.453959484346225,0.22307904158634,"1","2",TRUE,703,46,45
"89A",0.00743681775191527,0.43646408839779,0.218399183554454,"1","2",TRUE,658,46,46
"89A",0.00527681948008697,0.438305709023941,0.209066068801233,"1","2",TRUE,690,46,47
"89A",0.00543717782939491,0.467771639042357,0.212239492576845,"1","2",TRUE,692,46,48
"89A",0.00743681775191527,0.441988950276243,0.21899922365728,"1","2",TRUE,682,46,49
"89A",0.00890010108948556,0.423572744014733,0.222077566123064,"1","2",TRUE,699,46,50
"89A",0.0071843195098398,0.44475138121547,0.218315328673304,"1","2",TRUE,680,46,51
"89A",0.00842155984674082,0.443830570902394,0.222845776799034,"1","2",TRUE,681,46,52
"89A",0.00558952287037558,0.429097605893186,0.209613375130617,"1","2",TRUE,690,46,53
"89A",0.0059618018539476,0.438305709023941,0.212400114155251,"1","2",TRUE,670,46,54
"89A",0.0059344071294264,0.414364640883978,0.209220620922062,"1","2",TRUE,671,46,55
"89A",0.00547487032788001,0.434622467771639,0.209713644020213,"1","2",TRUE,681,46,56
"89A",0.00589355088656767,0.456721915285451,0.213782626709018,"1","2",TRUE,697,46,57
"89A",0.00575938402713769,0.430939226519337,0.210625498296731,"1","2",TRUE,663,46,58
"89A",0.00525257227772324,0.46316758747698,0.211059843400447,"1","2",TRUE,692,46,59
"89A",0.00750563669298184,0.452117863720074,0.220263396279005,"1","2",TRUE,685,46,60
"89A",0.00492458045300425,0.434622467771639,0.206886956521739,"1","2",TRUE,695,46,61
"89A",0.00543717782939491,0.459484346224678,0.211747073936626,"1","2",TRUE,676,46,62
"89A",0.00575938402713769,0.432780847145488,0.210868812737972,"1","2",TRUE,697,46,63
"89A",0.0033833968083742,0.428176795580111,0.196669698453789,"1","2",TRUE,681,46,64
"89A",0.00451196203330497,0.435543278084715,0.204698950998707,"1","2",TRUE,670,46,65
"89A",0.00708573716048161,0.429097605893186,0.216200839200626,"1","2",TRUE,685,46,66
"89A",0.00641771959838896,0.440147329650092,0.214617803910844,"1","2",TRUE,696,46,67
"89A",0.00587999474161565,0.485267034990792,0.215123859191656,"1","2",TRUE,666,46,68
"89A",0.00463838332435618,0.414364640883978,0.202727660179003,"1","2",TRUE,671,46,69
"89A",0.00512119056965333,0.453959484346225,0.209745910198399,"1","2",TRUE,692,46,70
"89A",0.00775155689270412,0.462246777163904,0.221987315010571,"1","2",TRUE,684,46,71
"89A",0.00698850754600552,0.449355432780847,0.217928458554805,"1","2",TRUE,669,46,72
"89A",0.00634424926480631,0.439226519337017,0.214226633581472,"1","2",TRUE,691,46,73
"89A",0.00449122938234129,0.445672191528545,0.205547300643883,"1","2",TRUE,682,46,74
"89A",0.00518049712647164,0.445672191528545,0.209303942702176,"1","2",TRUE,687,46,75
"89A",0.00536256954345135,0.455801104972376,0.211087123058709,"1","2",TRUE,690,46,76
"89A",0.00673570158688605,0.430018416206262,0.214831273434245,"1","2",TRUE,687,46,77
"89A",0.00553827271522668,0.443830570902394,0.210933186085036,"1","2",TRUE,690,46,78
"89A",0.00747114798393084,0.437384898710866,0.218663250053385,"1","2",TRUE,673,46,79
"89A",0.00512119056965333,0.427255985267035,0.207039911308204,"1","2",TRUE,694,46,80
"89A",0.00541219377382613,0.443830570902394,0.210336027222459,"1","2",TRUE,678,46,81
"89A",0.00652200966635384,0.442909760589319,0.215366297800812,"1","2",TRUE,687,46,82
