"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"143F",0.0731958483434347,0.485649546827795,0.307339449541284,"1:2:3","4",TRUE,835,1,1
"143F",0.0644883029110715,0.446374622356495,0.298405466970387,"1:2:3","4",TRUE,851,1,2
"143F",0.0821280382427234,0.457703927492447,0.310588235294118,"1:2:3","4",TRUE,836,1,3
"143F",0.0470399928141069,0.465256797583082,0.286697247706422,"1:2:3","4",TRUE,838,1,4
"143F",0.0647859972307498,0.454682779456193,0.29954954954955,"1:2:3","4",TRUE,852,1,5
"143F",0.052537819874245,0.447885196374622,0.289655172413793,"1:2:3","4",TRUE,852,1,6
"143F",0.0298158671549539,0.470543806646526,0.268456375838926,"1:2:3","4",TRUE,845,1,7
"143F",0.054259207637195,0.432779456193353,0.288939051918736,"1:2:3","4",TRUE,841,1,8
"143F",0.0395785378454205,0.455438066465257,0.278538812785388,"1:2:3","4",TRUE,844,1,9
"143F",0.0478044082692293,0.491691842900302,0.288636363636364,"1:2:3","4",TRUE,856,1,10
"143F",0.0489180286310892,0.461480362537764,0.288018433179723,"1:2:3","4",TRUE,822,1,11
"143F",0.0755940909415997,0.465256797583082,0.307511737089202,"1:2:3","4",TRUE,845,1,12
"143F",0.0482467814542594,0.450906344410876,0.286353467561521,"1:2:3","4",TRUE,846,1,13
"143F",0.0473660911896831,0.461480362537764,0.286681715575621,"1:2:3","4",TRUE,837,1,14
"143F",0.0348701845134324,0.460725075528701,0.273942093541203,"1:2:3","4",TRUE,838,1,15
"143F",0.0838479307389441,0.469788519637462,0.312649164677804,"1:2:3","4",TRUE,831,1,16
"143F",0.0513417948581734,0.47809667673716,0.291284403669725,"1:2:3","4",TRUE,833,1,17
"143F",0.059631749049326,0.462990936555891,0.296703296703297,"1:2:3","4",TRUE,837,1,18
"143F",0.0466086846352453,0.476586102719033,0.287037037037037,"1:2:3","4",TRUE,839,1,19
"143F",0.0478044082692293,0.43429003021148,0.283783783783784,"1:2:3","4",TRUE,838,1,20
"143F",0.0467161395076905,0.45166163141994,0.285077951002227,"1:2:3","4",TRUE,869,1,21
"143F",0.0898452971802554,0.486404833836858,0.316784869976359,"1:2:3","4",TRUE,810,1,22
"143F",0.0391254410197277,0.468277945619335,0.279176201372998,"1:2:3","4",TRUE,844,1,23
"143F",0.0710370877170873,0.440332326283988,0.30188679245283,"1:2:3","4",TRUE,838,1,24
"143F",0.0512237002108903,0.461480362537764,0.289954337899543,"1:2:3","4",TRUE,818,1,25
"143F",0.0664480511729769,0.461480362537764,0.301401869158879,"1:2:3","4",TRUE,825,1,26
"143F",0.0737032686429667,0.450906344410876,0.304932735426009,"1:2:3","4",TRUE,849,1,27
"143F",0.0475847450486935,0.456948640483384,0.286384976525822,"1:2:3","4",TRUE,858,1,28
"143F",0.0599070242878286,0.45619335347432,0.296296296296296,"1:2:3","4",TRUE,869,1,29
"143F",0.0580064580426789,0.466767371601208,0.295774647887324,"1:2:3","4",TRUE,816,1,30
"143F",0.0314376261408972,0.469788519637462,0.270531400966184,"1:2:3","4",TRUE,826,1,31
"143F",0.0735337388955544,0.472054380664653,0.306818181818182,"1:2:3","4",TRUE,848,1,32
"143F",0.0667547921863848,0.466767371601208,0.302059496567506,"1:2:3","4",TRUE,822,1,33
"143F",0.11311113246098,0.466767371601208,0.32648401826484,"1:2:3","4",TRUE,845,1,34
"143F",0.0627306442740827,0.440332326283988,0.296296296296296,"1:2:3","4",TRUE,836,1,35
"143F",0.0494845296829424,0.462990936555891,0.288636363636364,"1:2:3","4",TRUE,842,1,36
"143F",0.0666012450877784,0.482628398791541,0.302895322939866,"1:2:3","4",TRUE,848,1,37
"143F",0.0666012450877784,0.447885196374622,0.3,"1:2:3","4",TRUE,830,1,38
"143F",0.0854069374978285,0.493957703927492,0.314606741573034,"1:2:3","4",TRUE,845,1,39
"143F",0.0400368818128222,0.467522658610272,0.280092592592593,"1:2:3","4",TRUE,846,1,40
"143F",0.0804434242581186,0.467522658610272,0.310588235294118,"1:2:3","4",TRUE,825,1,41
"143F",0.0399447903413599,0.466012084592145,0.279909706546275,"1:2:3","4",TRUE,857,1,42
"143F",0.0239573040010328,0.472809667673716,0.260240963855422,"1:2:3","4",TRUE,816,1,43
"143F",0.0581401901271338,0.456948640483384,0.295045045045045,"1:2:3","4",TRUE,841,1,44
"143F",0.0541344024564357,0.470543806646526,0.293064876957494,"1:2:3","4",TRUE,835,1,45
"143F",0.0498275744790913,0.469788519637462,0.289473684210526,"1:2:3","4",TRUE,843,1,46
"143F",0.0455476365574344,0.45166163141994,0.284037558685446,"1:2:3","4",TRUE,816,1,47
"143F",0.0737032686429667,0.472809667673716,0.306954436450839,"1:2:3","4",TRUE,836,1,48
"143F",0.0643399691138755,0.481873111782477,0.301339285714286,"1:2:3","4",TRUE,847,1,49
"143F",0.0472571413205233,0.459969788519637,0.28641975308642,"1:2:3","4",TRUE,827,1,50
"143F",0.0806288840701764,0.453172205438066,0.309302325581395,"1:2:3","4",TRUE,838,1,51
"143F",0.0474752922393768,0.469033232628399,0.287305122494432,"1:2:3","4",TRUE,844,1,52
