egn,1,1158:280:743:1329:574:67:2580:2036:43:1700:443:312:1498:406:2451:1710:1440:1172:2172:2038:620:292:1774:1987:2112:1534:213:2062:174:639:634:1169:1569:2379:1323:429:1433:2094:2103:970:2633:2122:1143:2029:2469:1935:810:1136:1386:2467:179:2227:2626:778:561:1016:1509:8:1471:396:1212:2230:887:2099:1166:2178:2592:358:348:1220:377:1011:2343:2466:831:1083:2163:367:1009:838:584:1262:1039:1138:2265:1667:1884:1244:488:321:2330:211:2590:1245:2246:1198:26:2250:2331:1876:569:100:2088:376:2561:1031:1887:397:1813:943:2054:1188:2020:2549:363:2461:345:2460:2001:1126:833:374:1203:1917:2234:255:2190:915:1436:147:832:730:360:1608:862:1292:1372:1443:1866:1194:738:1905:1576:771:1603:2463:112:1201:148:2616:1191
bnn,2,614:2205:1369:399:1226:658:1222:1023:502:853:849:266:1717:1722:1173:2180:1046:41:1093:304:2179:1749:1941:645:2269:894:909:1388:1909:1726:2093:1141:1026:735:1037:1499:1795:1500:2395:1925:1602:1379:1350:467:1550:768:196:494:1529:1019:595:1757:1493:19:1624:757:218:143:1210:75:1506:1843:1931:173:1908:1742:400:1238:1752:560:1320:2213:1038:923:1042:699:1100:209:1874:1676:513:451:773:149:840:817:1767:2506:995:760:97:1841:1836:740:570:1420:1653:999:1072:1114:1395:1783:286
ard,3,1275:1453:910:519:2181:2517:950:25:239:712:2385:2366:329:31:2168:1810:765:1432:2030:1548:461:1087:484:2646:2198:1223:222:1346:1199:1780:942:2177:1086:1495:245:2324:2138:1770:977:1384:871:1416:816:126:91:1673:2056:22:1151:1080:221:335:898:2404:1680:230:2007:1090:540:2660:417:220:1899:1307:238:278:1343:1947:2314:1431:470:430:621:2579:562:654:626:1355:1043:820:1867:1068:976:379:1387:2602:201:1711:2518:791:1893:2587:1766:637:2116:51:1066:953:2578:997:2522:1902:473:2521:728:2520:1873:1979:496:1264:322:2523:2665:2513:248:2095:1128:1970:627
ktk,4,2563:431:472:1349:1033:1604:2321:1961:13:2123:1956:1316:1297:1782:2295:2335:234:2478:2066:1191:112:1201:771:2463:1359:1603:1801:1443:1597:2616:2573:1472:575:1561:2255:607:360:310:832:2193:2476:2190:1356:2252:1436:374:1126:1291:730:1193:1188:2020:255:363:708:2001:397:2088:2549:862:140:1876:290:1905:2330:1195:1194:1031:228:2265:367:930:1187:1884:100:1667:348:1039:2099:14:1220:462:1471:358:1138:584:488:831:8:1820:1196:567:1910:887:1166:778:1935:1386:2227:2163:171:1911:810:1950:2178:429:2230:1143:970:2469:1136:2592:2103:841:1794:1262:1433:377:2122:2029:561:321:634:2112:2054:2094:1987:2662:396:2246:2623:619:2475:1534:639:1172:2062:1016:1774:2465:2038:1710:1203:1011:1569
klw,5,481:1728:480:788:932:1560:466:558:774:905:559:2117:478:62:442:249:388:1980:662:577:576:1137:1219:1015:1998:495:785:661:1314:1698:1622:2130:300:1694:1606:499:931:289:1221:1232:1409:647:306:2359:1205:1218:1477:307:917:1541:83:2595:2354:1964:2104
irx,6,1751:998:1027:2100:1206:2537:573:1428:2536:2608:1992:2540:819:181:691:2271:2539:874:233:427:2109:512:40:2243:2069:1891:1832:1328:1088:95:510:195:1394:585:789:815:1056:1181:2606:2096:2362:10:1365:242:2402
mnm,7,1885:1554:1727:503:1462:1414:273:615:223:1488:883:989:372:1746:1628:872:413:2067:2528:1306:1239:1825:1903:199:700:933:152:648:2068:1485:2192:901:500:1919:1324:2398:1797:1878:2194:902:341:2527:1799:1503:351:2131:2672:219:1144:2525:2087:2346:235:465:2428:1653:2526:1371:1798:2639:2166:2403:967:1672:968:1767:1611:1545:701:1783:1720:1610:764:1420:516:1299:1452:2239:414:844:281:1072:1448:1117:1575:2189:2191:2061:1621:711:283:260:209:1385:1592:2519:1451:1942:1676:1060:149:627:1748:2095:1295:840:2524:740:2665:2506:2037:923:817:2523:578:2248:1100:286:17:173:1873:2521:2520:2513:728:560:1934:2522:1902:1066:1752:322:143:51:1047:757:2587:637:1893:2116:780:2518:773:201:1387:1012:1019:995:2419:1068:976:196:97:496:664:1867:699:621:654:562:1114:1431:1719:1874:430:425:1711:278:238:2395:1343:714:1307:1395:1947:1899:1500:2579:1115:1238:999:1043:2213:791:417:595:540:451:590:230:570:1836:1388:2660:1742:1841:1038:467:220:760:1530:1322:1042:1080:27:470:1795:626:1148:91:735:28:513:1624:2102:400:2093:816:2404:473:977:725:2324:1384:245:1766:218:41:2179:1495:645:1749:2180:1355:1210:1350:1941:1493:997:942:909:379:1346:1843:1046:1780:1379:1026:2646:1173:2198:1529:1093:2356:1550:2030:768:1432:2442:2342:1552:461
non,8,778:1386:887:2227:810:1220:358:1471:2469:1143:1935:970:2103:1884:2178:1433:2122:1138:2099:2029:634:2592:561:367:429:377:2112:1534:2062:1262:1774:1569:348:1987:1710:1016:174:292:1172:2451:2265:1169:2088:321:2020:1188:2001:1498:2330:2038:1166:1876:443:1667:1136:406:374:1039:397:2246:1509:838:213:831:2036:1700:584:2230:43:730:1126:2094:363:639:360:2549:574:620:743:2163:488:1:832:2190:1158:1194:1031:1329:280:2616:1443:1440:2463:396:312:1436:100:2172:1203:771:112:1191:255:1201:2066:2478:2580:67:1356:1603:1196:1316:1782:1083:13:1011:1956:1359:1604:234:862:2321:1961:2123:2633:179:2255:2295:1597:472:2335:1297:1033:1323:1905:431:2054:2563:2476:2623:4:1195:1193:2379:1198:1009:575:2343:1349:567:1291:194:345:1067:310:2573:1372:1866:2467:2626:841:1801:2590:2662:1212:2465:2384:805:1472:2250:2466
pil,9,375:15:456:108:1506:75:1931:2200:19:494:1231:1757:919:1103:35:1602:2045:458:1952:1925:1908:954:2507:1587:1214:102:1037:2508:1768:2509:1726:2185:1909:961:2269:2512:2510:894:1722:288:1717
cav,10,789:195:1365:2208:1986:1155:815:2534:2243:40:2096:1832:2069:1181:585:2333:101:1487:423:2402:819:426:1018:2622:1891:2608:691:2271:2537:2538:2100:1206:588:587:2207:2186:2606:272:1983:2553:1027:1405:1415:646:2055:1826:233:95:748:1056:2133:2079:6:2011:572:1751:1992
