wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	1	No person marking	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Simple Clauses
abi	Abipón	3	Zero in some 3sg forms	-29.0	-61.0	South Guaicuruan	Guaicuruan	Simple Clauses
abk	Abkhaz	2	No zero realization	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abu	Abun	1	No person marking	-0.5	132.5	North-Central Bird's Head	West Papuan	Simple Clauses
ace	Acehnese	5	Zero in all 3rd person forms	5.5	95.5	Malayo-Sumbawan	Austronesian	Simple Clauses
acm	Achumawi	2	No zero realization	41.5	-121.0	Palaihnihan	Hokan	Simple Clauses
aco	Acoma	2	No zero realization	34.9166666667	-107.583333333	Keresan	Keresan	Simple Clauses
adz	Adzera	1	No person marking	-6.25	146.25	Oceanic	Austronesian	Simple Clauses
ain	Ainu	5	Zero in all 3rd person forms	43.0	143.0	Ainu	Ainu	Simple Clauses
ala	Alamblak	2	No zero realization	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	2	No zero realization	41.0	20.0	Albanian	Indo-European	Simple Clauses
ame	Amele	2	No zero realization	-5.25	145.583333333	Madang	Trans-New Guinea	Simple Clauses
amh	Amharic	2	No zero realization	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
anj	Anejom	2	No zero realization	-20.2	169.8	Oceanic	Austronesian	Simple Clauses
ane	Anêm	2	No zero realization	-5.58333333333	149.083333333	Anêm	Anêm	Simple Clauses
apu	Apurinã	2	No zero realization	-9.0	-67.0	Purus	Arawakan	Simple Clauses
abn	Arabana	1	No person marking	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
aeg	Arabic (Egyptian)	4	Zero in all 3sg forms	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	1	No person marking	-12.3333333333	-67.75	Tacanan	Tacanan	Simple Clauses
arp	Arapesh (Mountain)	2	No zero realization	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
ara	Arawak	2	No zero realization	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Simple Clauses
arm	Armenian (Eastern)	4	Zero in all 3sg forms	40.0	45.0	Armenian	Indo-European	Simple Clauses
asm	Asmat	4	Zero in all 3sg forms	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
atk	Atakapa	4	Zero in all 3sg forms	30.0	-93.5	Atakapa	Atakapa	Simple Clauses
ata	Atayal	4	Zero in all 3sg forms	24.5	121.333333333	Atayalic	Austronesian	Simple Clauses
au	Au	2	No zero realization	-3.58333333333	142.083333333	Wapei-Palei	Torricelli	Simple Clauses
awp	Awa Pit	2	No zero realization	1.5	-78.25	Barbacoan	Barbacoan	Simple Clauses
awt	Awtuw	1	No person marking	-3.58333333333	142.0	Ram	Sepik	Simple Clauses
aym	Aymara (Central)	4	Zero in all 3sg forms	-17.0	-69.0	Aymaran	Aymaran	Simple Clauses
bab	Babungo	1	No person marking	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Simple Clauses
bag	Bagirmi	2	No zero realization	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Simple Clauses
bam	Bambara	1	No person marking	12.5	-7.5	Western Mande	Mande	Simple Clauses
bnj	Bandjalang	1	No person marking	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Simple Clauses
baa	Barai	2	No zero realization	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Simple Clauses
brs	Barasano	6	Zero only in 3rd nonsingular	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Simple Clauses
bar	Bari	1	No person marking	5.0	31.6666666667	Nilotic	Eastern Sudanic	Simple Clauses
