Jae Jung Song. 2013. Periphrastic Causative Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/110, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	2	Purposive but no sequential	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
aji	Ajië	2	Purposive but no sequential	-21.3333333333	165.5	Oceanic	Austronesian	Simple Clauses
ame	Amele	1	Sequential but no purposive	-5.25	145.583333333	Madang	Trans-New Guinea	Simple Clauses
aeg	Arabic (Egyptian)	2	Purposive but no sequential	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
arm	Armenian (Eastern)	2	Purposive but no sequential	40.0	45.0	Armenian	Indo-European	Simple Clauses
atc	Atchin	1	Sequential but no purposive	-16.0	167.333333333	Oceanic	Austronesian	Simple Clauses
awn	Awngi	2	Purposive but no sequential	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Simple Clauses
bab	Babungo	1	Sequential but no purposive	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Simple Clauses
bag	Bagirmi	1	Sequential but no purposive	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Simple Clauses
bsq	Basque	2	Purposive but no sequential	43.0	-3.0	Basque	Basque	Simple Clauses
bkr	Batak (Karo)	2	Purposive but no sequential	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Simple Clauses
brm	Burmese	2	Purposive but no sequential	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Simple Clauses
cha	Chamorro	2	Purposive but no sequential	13.45	144.75	Chamorro	Austronesian	Simple Clauses
die	Diegueño (Mesa Grande)	1	Sequential but no purposive	32.6666666667	-116.166666667	Yuman	Hokan	Simple Clauses
diy	Diyari	1	Sequential but no purposive	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
djr	Djaru	2	Purposive but no sequential	-18.75	128.0	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
eng	English	1	Sequential but no purposive	52.0	0.0	Germanic	Indo-European	Simple Clauses
epe	Epena Pedee	1	Sequential but no purposive	3.0	-77.0	Choco	Choco	Simple Clauses
ewe	Ewe	1	Sequential but no purposive	6.33333333333	0.416666666667	Kwa	Niger-Congo	Simple Clauses
fij	Fijian	2	Purposive but no sequential	-17.8333333333	178.0	Oceanic	Austronesian	Simple Clauses
fin	Finnish	2	Purposive but no sequential	62.0	25.0	Finnic	Uralic	Simple Clauses
geo	Georgian	2	Purposive but no sequential	42.0	44.0	Kartvelian	Kartvelian	Simple Clauses
ger	German	1	Sequential but no purposive	52.0	10.0	Germanic	Indo-European	Simple Clauses
goo	Gooniyandi	2	Purposive but no sequential	-18.3333333333	126.333333333	Bunuban	Bunuban	Simple Clauses
grk	Greek (Modern)	2	Purposive but no sequential	39.0	22.0	Greek	Indo-European	Simple Clauses
hau	Hausa	1	Sequential but no purposive	12.0	7.0	West Chadic	Afro-Asiatic	Simple Clauses
heb	Hebrew (Modern)	2	Purposive but no sequential	31.5	34.8333333333	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	2	Purposive but no sequential	25.0	77.0	Indic	Indo-European	Simple Clauses
hmo	Hmong Njua	1	Sequential but no purposive	28.0	105.0	Hmong-Mien	Hmong-Mien	Simple Clauses
hun	Hungarian	3	Both	47.0	20.0	Ugric	Uralic	Simple Clauses
igb	Igbo	1	Sequential but no purposive	6.0	7.33333333333	Igboid	Niger-Congo	Simple Clauses
ika	Ika	2	Purposive but no sequential	10.6666666667	-73.75	Arhuacic	Chibchan	Simple Clauses
ind	Indonesian	1	Sequential but no purposive	0.0	106.0	Malayo-Sumbawan	Austronesian	Simple Clauses
iri	Irish	2	Purposive but no sequential	53.0	-8.0	Celtic	Indo-European	Simple Clauses
jak	Jakaltek	3	Both	15.6666666667	-91.6666666667	Mayan	Mayan	Simple Clauses
knd	Kannada	2	Purposive but no sequential	14.0	76.0	Southern Dravidian	Dravidian	Simple Clauses
knr	Kanuri	1	Sequential but no purposive	12.0	13.0	Western Saharan	Saharan	Simple Clauses
kay	Kayardild	2	Purposive but no sequential	-17.05	139.5	Tangkic	Tangkic	Simple Clauses
khm	Khmer	3	Both	12.5	105.0	Khmer	Austro-Asiatic	Simple Clauses
kmu	Khmu'	1	Sequential but no purposive	21.0	102.0	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
klv	Kilivila	1	Sequential but no purposive	-8.5	151.083333333	Oceanic	Austronesian	Simple Clauses
kin	Kinyarwanda	3	Both	-2.0	30.0	Bantoid	Niger-Congo	Simple Clauses
krb	Kiribati	2	Purposive but no sequential	1.33333333333	173.0	Oceanic	Austronesian	Simple Clauses
kob	Kobon	1	Sequential but no purposive	-5.16666666667	144.333333333	Madang	Trans-New Guinea	Simple Clauses
kol	Kolami	2	Purposive but no sequential	20.0	78.5	Central Dravidian	Dravidian	Simple Clauses
kor	Korean	2	Purposive but no sequential	37.5	128.0	Korean	Korean	Simple Clauses
kfe	Koromfe	1	Sequential but no purposive	14.25	-0.916666666667	Gur	Niger-Congo	Simple Clauses
kse	Koyraboro Senni	3	Both	16.0	0.0	Songhay	Songhay	Simple Clauses
kro	Krongo	2	Purposive but no sequential	10.5	30.0	Kadugli	Kadu	Simple Clauses
knm	Kunama	3	Both	14.5	37.0	Kunama	Kunama	Simple Clauses
lah	Lahu	2	Purposive but no sequential	20.0	98.1666666667	Burmese-Lolo	Sino-Tibetan	Simple Clauses
lan	Lango	3	Both	2.16666666667	33.0	Nilotic	Eastern Sudanic	Simple Clauses
lat	Latvian	2	Purposive but no sequential	57.0	24.0	Baltic	Indo-European	Simple Clauses
lav	Lavukaleve	1	Sequential but no purposive	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Simple Clauses
lep	Lepcha	2	Purposive but no sequential	27.1666666667	88.5	Lepcha	Sino-Tibetan	Simple Clauses
let	Leti	1	Sequential but no purposive	-8.2	127.666666667	Central Malayo-Polynesian	Austronesian	Simple Clauses
lez	Lezgian	2	Purposive but no sequential	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Simple Clauses
lim	Limbu	2	Purposive but no sequential	27.1666666667	87.75	Mahakiranti	Sino-Tibetan	Simple Clauses
maa	Maasai	2	Purposive but no sequential	-3.0	36.0	Nilotic	Eastern Sudanic	Simple Clauses
mal	Malagasy	2	Purposive but no sequential	-20.0	47.0	Barito	Austronesian	Simple Clauses
mnm	Manam	1	Sequential but no purposive	-4.0	145.0	Oceanic	Austronesian	Simple Clauses
mao	Maori	2	Purposive but no sequential	-40.0	176.0	Oceanic	Austronesian	Simple Clauses
mhi	Marathi	2	Purposive but no sequential	19.0	76.0	Indic	Indo-European	Simple Clauses
mrt	Martuthunira	2	Purposive but no sequential	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
may	Maybrat	1	Sequential but no purposive	-1.33333333333	132.5	North-Central Bird's Head	West Papuan	Simple Clauses
mxc	Mixtec (Chalcatongo)	1	Sequential but no purposive	17.05	-97.5833333333	Mixtecan	Oto-Manguean	Simple Clauses
mul	Mulao	1	Sequential but no purposive	25.0	108.0	Kam-Tai	Tai-Kadai	Simple Clauses
mrl	Murle	2	Purposive but no sequential	6.5	33.5	Surmic	Eastern Sudanic	Simple Clauses
nht	Nahuatl (Tetelcingo)	2	Purposive but no sequential	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Simple Clauses
nav	Navajo	1	Sequential but no purposive	36.1666666667	-108.0	Athapaskan	Na-Dene	Simple Clauses
ndy	Ndyuka	1	Sequential but no purposive	4.5	-54.5	Creoles and Pidgins	other	Simple Clauses
ngi	Ngiyambaa	2	Purposive but no sequential	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Simple Clauses
nym	Nyamwezi	2	Purposive but no sequential	-5.0	33.0	Bantoid	Niger-Congo	Simple Clauses
ond	Oneida	2	Purposive but no sequential	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Simple Clauses
orh	Oromo (Harar)	2	Purposive but no sequential	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Simple Clauses
otm	Otomí (Mezquital)	2	Purposive but no sequential	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Simple Clauses
pms	Paamese	1	Sequential but no purposive	-16.5	168.25	Oceanic	Austronesian	Simple Clauses
psm	Passamaquoddy-Maliseet	1	Sequential but no purposive	45.0	-67.0	Algonquian	Algic	Simple Clauses
pau	Paumarí	2	Purposive but no sequential	-6.0	-64.0	Arauan	Arauan	Simple Clauses
prs	Persian	2	Purposive but no sequential	32.0	54.0	Iranian	Indo-European	Simple Clauses
prh	Pirahã	2	Purposive but no sequential	-7.0	-62.0	Mura	Mura	Simple Clauses
ram	Rama	2	Purposive but no sequential	11.75	-83.75	Rama	Chibchan	Simple Clauses
rej	Rejang	1	Sequential but no purposive	-3.41666666667	102.5	Rejang	Austronesian	Simple Clauses
ret	Retuarã	2	Purposive but no sequential	-0.5	-70.6666666667	Tucanoan	Tucanoan	Simple Clauses
rus	Russian	2	Purposive but no sequential	56.0	38.0	Slavic	Indo-European	Simple Clauses
src	Sarcee	2	Purposive but no sequential	52.5	-116.0	Athapaskan	Na-Dene	Simple Clauses
shk	Shipibo-Konibo	2	Purposive but no sequential	-7.5	-75.0	Panoan	Panoan	Simple Clauses
shn	Shona	2	Purposive but no sequential	-18.0	31.0	Bantoid	Niger-Congo	Simple Clauses
shu	Shuswap	2	Purposive but no sequential	52.0	-120.0	Interior Salish	Salishan	Simple Clauses
spa	Spanish	3	Both	40.0	-4.0	Romance	Indo-European	Simple Clauses
sup	Supyire	3	Both	11.5	-5.58333333333	Gur	Niger-Congo	Simple Clauses
swa	Swahili	2	Purposive but no sequential	-6.5	39.0	Bantoid	Niger-Congo	Simple Clauses
tab	Taba	1	Sequential but no purposive	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Simple Clauses
tag	Tagalog	2	Purposive but no sequential	15.0	121.0	Greater Central Philippine	Austronesian	Simple Clauses
tml	Tamil	2	Purposive but no sequential	11.0	78.5	Southern Dravidian	Dravidian	Simple Clauses
tha	Thai	3	Both	16.0	101.0	Kam-Tai	Tai-Kadai	Simple Clauses
tib	Tibetan (Standard Spoken)	2	Purposive but no sequential	30.0	91.0	Bodic	Sino-Tibetan	Simple Clauses
tuk	Tukang Besi	3	Both	-5.5	123.5	Celebic	Austronesian	Simple Clauses
tna	Turkana	1	Sequential but no purposive	3.0	35.5	Nilotic	Eastern Sudanic	Simple Clauses
tur	Turkish	2	Purposive but no sequential	39.0	35.0	Turkic	Altaic	Simple Clauses
tvl	Tuvaluan	3	Both	-8.5	179.166666667	Oceanic	Austronesian	Simple Clauses
tzo	Tzotzil	2	Purposive but no sequential	16.5	-92.6666666667	Mayan	Mayan	Simple Clauses
ung	Ungarinjin	2	Purposive but no sequential	-16.3333333333	126.0	Worrorran	Worrorran	Simple Clauses
vai	Vai	2	Purposive but no sequential	6.91666666667	-11.25	Western Mande	Mande	Simple Clauses
vie	Vietnamese	3	Both	10.5	106.5	Viet-Muong	Austro-Asiatic	Simple Clauses
wam	Wambaya	2	Purposive but no sequential	-18.6666666667	135.75	Wambayan	Mirndi	Simple Clauses
war	Wari'	2	Purposive but no sequential	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Simple Clauses
wrl	Warlpiri	2	Purposive but no sequential	-20.0	132.333333333	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
wic	Wichita	2	Purposive but no sequential	33.3333333333	-97.3333333333	Caddoan	Caddoan	Simple Clauses
wch	Wichí	1	Sequential but no purposive	-22.5	-62.5833333333	Matacoan	Matacoan	Simple Clauses
yap	Yapese	1	Sequential but no purposive	9.58333333333	138.166666667	Yapese	Austronesian	Simple Clauses
yaq	Yaqui	2	Purposive but no sequential	27.5	-110.25	Cahita	Uto-Aztecan	Simple Clauses
yay	Yay	1	Sequential but no purposive	22.4166666667	104.75	Kam-Tai	Tai-Kadai	Simple Clauses
yid	Yidiny	2	Purposive but no sequential	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Simple Clauses
yim	Yimas	3	Both	-4.66666666667	143.55	Lower Sepik	Lower Sepik-Ramu	Simple Clauses
yor	Yoruba	3	Both	8.0	4.33333333333	Defoid	Niger-Congo	Simple Clauses
yuw	Yuwaalaraay	2	Purposive but no sequential	-29.5	148.0	Southeastern Pama-Nyungan	Pama-Nyungan	Simple Clauses
zul	Zulu	2	Purposive but no sequential	-30.0	30.0	Bantoid	Niger-Congo	Simple Clauses
