Matti Miestamo. 2013. Subtypes of Asymmetric Standard Negation.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/114, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	3	A/Cat	-29.0	-61.0	South Guaicuruan	Guaicuruan	Simple Clauses
abk	Abkhaz	3	A/Cat	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
acm	Achumawi	1	A/Fin	41.5	-121.0	Palaihnihan	Hokan	Simple Clauses
aco	Acoma	3	A/Cat	34.9166666667	-107.583333333	Keresan	Keresan	Simple Clauses
ain	Ainu	7	Non-assignable	43.0	143.0	Ainu	Ainu	Simple Clauses
ala	Alamblak	2	A/NonReal	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	7	Non-assignable	41.0	20.0	Albanian	Indo-European	Simple Clauses
ame	Amele	3	A/Cat	-5.25	145.583333333	Madang	Trans-New Guinea	Simple Clauses
adk	Andoke	7	Non-assignable	-0.666666666667	-72.0	Andoke	Andoke	Simple Clauses
apl	Apalaí	1	A/Fin	0.0	-54.0	Cariban	Cariban	Simple Clauses
apu	Apurinã	7	Non-assignable	-9.0	-67.0	Purus	Arawakan	Simple Clauses
aeg	Arabic (Egyptian)	7	Non-assignable	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	1	A/Fin	-12.3333333333	-67.75	Tacanan	Tacanan	Simple Clauses
arp	Arapesh (Mountain)	2	A/NonReal	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
arm	Armenian (Eastern)	1	A/Fin	40.0	45.0	Armenian	Indo-European	Simple Clauses
asm	Asmat	2	A/NonReal	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
awp	Awa Pit	5	A/Fin and A/Cat	1.5	-78.25	Barbacoan	Barbacoan	Simple Clauses
aym	Aymara (Central)	2	A/NonReal	-17.0	-69.0	Aymaran	Aymaran	Simple Clauses
baf	Bafut	3	A/Cat	6.25	9.91666666667	Bantoid	Niger-Congo	Simple Clauses
bag	Bagirmi	3	A/Cat	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Simple Clauses
bam	Bambara	3	A/Cat	12.5	-7.5	Western Mande	Mande	Simple Clauses
