Leon Stassen. 2013. Comparative Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/121, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	3	Conjoined	-29.0	-61.0	South Guaicuruan	Guaicuruan	Simple Clauses
alb	Albanian	4	Particle	41.0	20.0	Albanian	Indo-European	Simple Clauses
ale	Aleut	1	Locational	54.0	-166.0	Aleut	Eskimo-Aleut	Simple Clauses
ame	Amele	2	Exceed	-5.25	145.583333333	Madang	Trans-New Guinea	Simple Clauses
amh	Amharic	1	Locational	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
adk	Andoke	1	Locational	-0.666666666667	-72.0	Andoke	Andoke	Simple Clauses
apl	Apalaí	3	Conjoined	0.0	-54.0	Cariban	Cariban	Simple Clauses
arg	Arabic (Gulf)	1	Locational	26.0	49.0	Semitic	Afro-Asiatic	Simple Clauses
ams	Arabic (Modern Standard)	1	Locational	25.0	42.0	Semitic	Afro-Asiatic	Simple Clauses
amr	Arabic (Moroccan)	1	Locational	34.0	-6.0	Semitic	Afro-Asiatic	Simple Clauses
arp	Arapesh (Mountain)	3	Conjoined	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
amp	Arrernte (Mparntwe)	1	Locational	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
aym	Aymara (Central)	1	Locational	-17.0	-69.0	Aymaran	Aymaran	Simple Clauses
bgi	Bagri	1	Locational	29.5833333333	74.3333333333	Indic	Indo-European	Simple Clauses
bar	Bari	2	Exceed	5.0	31.6666666667	Nilotic	Eastern Sudanic	Simple Clauses
bae	Baré	1	Locational	1.0	-67.0	Inland Northern Arawakan	Arawakan	Simple Clauses
bsq	Basque	4	Particle	43.0	-3.0	Basque	Basque	Simple Clauses
bto	Batak (Toba)	4	Particle	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Simple Clauses
bma	Berber (Middle Atlas)	1	Locational	33.0	-5.0	Berber	Afro-Asiatic	Simple Clauses
bln	Bilin	1	Locational	15.75	38.5	Central Cushitic	Afro-Asiatic	Simple Clauses
biu	Bisu	3	Conjoined	19.75	100.0	Burmese-Lolo	Sino-Tibetan	Simple Clauses
bre	Breton	1	Locational	48.0	-3.0	Celtic	Indo-European	Simple Clauses
brm	Burmese	1	Locational	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Simple Clauses
bur	Burushaski	1	Locational	36.5	74.5	Burushaski	Burushaski	Simple Clauses
car	Carib	1	Locational	5.5	-56.0	Cariban	Cariban	Simple Clauses
ceb	Cebuano	1	Locational	10.0	124.0	Greater Central Philippine	Austronesian	Simple Clauses
cic	Chichewa	2	Exceed	-14.0	34.0	Bantoid	Niger-Congo	Simple Clauses
chk	Chukchi	1	Locational	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
coe	Coeur d'Alene	1	Locational	47.25	-116.5	Interior Salish	Salishan	Simple Clauses
cmn	Comanche	4	Particle	33.5	-101.5	Numic	Uto-Aztecan	Simple Clauses
dga	Dagaare	2	Exceed	10.5	-2.66666666667	Gur	Niger-Congo	Simple Clauses
dgb	Dagbani	2	Exceed	9.58333333333	-0.5	Gur	Niger-Congo	Simple Clauses
dua	Duala	2	Exceed	4.0	9.41666666667	Bantoid	Niger-Congo	Simple Clauses
dut	Dutch	4	Particle	52.5	6.0	Germanic	Indo-European	Simple Clauses
eka	Ekari	3	Conjoined	-3.83333333333	135.5	Wissel Lakes-Kemandoga	Trans-New Guinea	Simple Clauses
eng	English	4	Particle	52.0	0.0	Germanic	Indo-European	Simple Clauses
evn	Even	1	Locational	68.0	130.0	Tungusic	Altaic	Simple Clauses
eve	Evenki	1	Locational	56.0	125.0	Tungusic	Altaic	Simple Clauses
fin	Finnish	4	Particle	62.0	25.0	Finnic	Uralic	Simple Clauses
fre	French	4	Particle	48.0	2.0	Romance	Indo-European	Simple Clauses
fus	Fula (Senegal)	2	Exceed	15.0	-14.0	Northern Atlantic	Niger-Congo	Simple Clauses
gae	Gaelic (Scots)	4	Particle	57.0	-4.0	Celtic	Indo-European	Simple Clauses
gbb	Gbeya Bossangoa	2	Exceed	6.66666666667	17.5	Gbaya-Manza-Ngbaka	Niger-Congo	Simple Clauses
geo	Georgian	1	Locational	42.0	44.0	Kartvelian	Kartvelian	Simple Clauses
goa	Goajiro	4	Particle	12.0	-72.0	Caribbean Arawakan	Arawakan	Simple Clauses
grk	Greek (Modern)	4	Particle	39.0	22.0	Greek	Indo-European	Simple Clauses
grw	Greenlandic (West)	1	Locational	64.0	-51.0	Eskimo	Eskimo-Aleut	Simple Clauses
gua	Guaraní	1	Locational	-26.0	-56.0	Tupi-Guaraní	Tupian	Simple Clauses
gum	Gumbaynggir	3	Conjoined	-30.1666666667	152.5	Southeastern Pama-Nyungan	Pama-Nyungan	Simple Clauses
hau	Hausa	2	Exceed	12.0	7.0	West Chadic	Afro-Asiatic	Simple Clauses
heb	Hebrew (Modern)	1	Locational	31.5	34.8333333333	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	1	Locational	25.0	77.0	Indic	Indo-European	Simple Clauses
hix	Hixkaryana	3	Conjoined	-1.0	-59.0	Cariban	Cariban	Simple Clauses
hun	Hungarian	4	Particle	47.0	20.0	Ugric	Uralic	Simple Clauses
hzb	Hunzib	1	Locational	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
igb	Igbo	2	Exceed	6.0	7.33333333333	Igboid	Niger-Congo	Simple Clauses
ilo	Ilocano	4	Particle	16.0	121.0	Northern Luzon	Austronesian	Simple Clauses
iri	Irish	4	Particle	53.0	-8.0	Celtic	Indo-European	Simple Clauses
jab	Jabêm	3	Conjoined	-6.58333333333	147.783333333	Oceanic	Austronesian	Simple Clauses
jak	Jakaltek	1	Locational	15.6666666667	-91.6666666667	Mayan	Mayan	Simple Clauses
jpn	Japanese	1	Locational	37.0	140.0	Japanese	Japanese	Simple Clauses
jav	Javanese	4	Particle	-7.0	111.0	Javanese	Austronesian	Simple Clauses
kbl	Kabyle	1	Locational	36.5	5.0	Berber	Afro-Asiatic	Simple Clauses
kms	Kamass	1	Locational	52.0	92.0	Samoyedic	Uralic	Simple Clauses
