Bernard Comrie. 2013. Numeral Bases.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/131, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	6	Restricted	-24.0	21.5	Tu	Tu	Lexicon
abk	Abkhaz	2	Hybrid vigesimal-decimal	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Lexicon
abu	Abun	1	Decimal	-0.5	132.5	North-Central Bird's Head	West Papuan	Lexicon
acg	Achagua	6	Restricted	4.41666666667	-72.25	Inland Northern Arawakan	Arawakan	Lexicon
aco	Acoma	1	Decimal	34.9166666667	-107.583333333	Keresan	Keresan	Lexicon
ain	Ainu	3	Pure vigesimal	43.0	143.0	Ainu	Ainu	Lexicon
abm	Alabama	1	Decimal	32.3333333333	-87.4166666667	Muskogean	Muskogean	Lexicon
ala	Alamblak	3	Pure vigesimal	-4.66666666667	143.333333333	Sepik Hill	Sepik	Lexicon
alb	Albanian	1	Decimal	41.0	20.0	Albanian	Indo-European	Lexicon
amh	Amharic	1	Decimal	10.0	38.0	Semitic	Afro-Asiatic	Lexicon
adk	Andoke	3	Pure vigesimal	-0.666666666667	-72.0	Andoke	Andoke	Lexicon
aeg	Arabic (Egyptian)	1	Decimal	30.0	31.0	Semitic	Afro-Asiatic	Lexicon
ana	Araona	6	Restricted	-12.3333333333	-67.75	Tacanan	Tacanan	Lexicon
ara	Arawak	3	Pure vigesimal	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Lexicon
arc	Archi	1	Decimal	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Lexicon
arm	Armenian (Eastern)	1	Decimal	40.0	45.0	Armenian	Indo-European	Lexicon
awp	Awa Pit	6	Restricted	1.5	-78.25	Barbacoan	Barbacoan	Lexicon
aym	Aymara (Central)	1	Decimal	-17.0	-69.0	Aymaran	Aymaran	Lexicon
bag	Bagirmi	1	Decimal	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Lexicon
bam	Bambara	1	Decimal	12.5	-7.5	Western Mande	Mande	Lexicon
brs	Barasano	6	Restricted	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Lexicon
bae	Baré	6	Restricted	1.0	-67.0	Inland Northern Arawakan	Arawakan	Lexicon
bas	Basaá	1	Decimal	3.91666666667	10.5	Bantoid	Niger-Congo	Lexicon
bsq	Basque	2	Hybrid vigesimal-decimal	43.0	-3.0	Basque	Basque	Lexicon
bkr	Batak (Karo)	1	Decimal	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Lexicon
