Paul Kay, Luisa Maffi. 2013. Green and Blue.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/134, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abd	Abidji	2	Green/blue	5.66666666667	-4.58333333333	Kwa	Niger-Congo	Lexicon
aga	Agarabi	2	Green/blue	-6.16666666667	146.0	Eastern Highlands	Trans-New Guinea	Lexicon
agc	Agta (Central)	2	Green/blue	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Lexicon
agu	Aguacatec	2	Green/blue	15.4166666667	-91.3333333333	Mayan	Mayan	Lexicon
amk	Amarakaeri	2	Green/blue	-12.5	-70.5	Harakmbet	Harakmbet	Lexicon
ape	Ampeeli	2	Green/blue	-6.75	146.083333333	Angan	Trans-New Guinea	Lexicon
amz	Amuzgo	1	Green vs. blue	16.8333333333	-98.0	Amuzgoan	Oto-Manguean	Lexicon
ant	Angaatiha	1	Green vs. blue	-7.21666666667	146.25	Angan	Trans-New Guinea	Lexicon
api	Apinayé	2	Green/blue	-5.5	-48.0	Ge-Kaingang	Macro-Ge	Lexicon
arb	Arabela	2	Green/blue	-2.0	-75.1666666667	Zaparoan	Zaparoan	Lexicon
arl	Arabic (Lebanese)	1	Green vs. blue	34.0	36.0	Semitic	Afro-Asiatic	Lexicon
bhn	Bahinemo	2	Green/blue	-4.58333333333	142.833333333	Sepik Hill	Sepik	Lexicon
bzi	Bauzi	2	Green/blue	-2.5	137.5	East Geelvink Bay	East Geelvink Bay	Lexicon
brk	Berik	2	Green/blue	-2.25	138.833333333	Tor	Tor-Orya	Lexicon
bhi	Bhili	2	Green/blue	22.0	73.0	Indic	Indo-European	Lexicon
bgl	Buglere	1	Green vs. blue	8.5	-81.25	Guaymiic	Chibchan	Lexicon
bet	Bété	3	Black/green/blue	6.25	-6.25	Kru	Niger-Congo	Lexicon
cah	Cahuilla	2	Green/blue	33.5	-116.25	California Uto-Aztecan	Uto-Aztecan	Lexicon
cak	Cakchiquel	1	Green vs. blue	14.5	-91.0	Mayan	Mayan	Lexicon
cax	Campa (Axininca)	3	Black/green/blue	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Lexicon
cam	Camsá	1	Green vs. blue	1.16666666667	-77.0	Camsá	Camsá	Lexicon
can	Candoshi	1	Green vs. blue	-4.16666666667	-77.0	Candoshi	Candoshi	Lexicon
cav	Cavineña	2	Green/blue	-13.3333333333	-66.5	Tacanan	Tacanan	Lexicon
cay	Cayapa	2	Green/blue	0.666666666667	-79.0	Barbacoan	Barbacoan	Lexicon
cvc	Chavacano	1	Green vs. blue	7.0	122.083333333	Creoles and Pidgins	other	Lexicon
chy	Chayahuita	2	Green/blue	-5.5	-77.0	Cahuapanan	Cahuapanan	Lexicon
cle	Chinantec (Lealao)	2	Green/blue	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Lexicon
cqt	Chiquitano	1	Green vs. blue	-17.5	-60.0	Chiquito	Chiquito	Lexicon
cum	Chumburung	1	Green vs. blue	7.75	0.25	Kwa	Niger-Congo	Lexicon
cbo	Chácobo	2	Green/blue	-12.1666666667	-66.75	Panoan	Panoan	Lexicon
cof	Cofán	2	Green/blue	0.166666666667	-77.1666666667	Cofán	Cofán	Lexicon
cea	Cree (Swampy)	6	Yellow/green vs. blue	56.0	-90.0	Algonquian	Algic	Lexicon
