Matthew S. Dryer. 2013. Order of Negative Morpheme and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/143, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	4	None	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
xam	/Xam	4	None	-31.0	21.0	Tu	Tu	Word Order
huc	=|Hoan	4	None	-25.5	25.0	=|Hoan	Kxa	Word Order
aar	Aari	4	None	6.0	36.5833333333	South Omotic	Afro-Asiatic	Word Order
aba	Abau	4	None	-4.0	141.25	Upper Sepik	Sepik	Word Order
abi	Abipón	4	None	-29.0	-61.0	South Guaicuruan	Guaicuruan	Word Order
abk	Abkhaz	4	None	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	4	None	-8.25	124.666666667	Greater Alor	Timor-Alor-Pantar	Word Order
abu	Abun	4	None	-0.5	132.5	North-Central Bird's Head	West Papuan	Word Order
ace	Acehnese	4	None	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
acg	Achagua	4	None	4.41666666667	-72.25	Inland Northern Arawakan	Arawakan	Word Order
acl	Acholi	4	None	3.0	32.6666666667	Nilotic	Eastern Sudanic	Word Order
acu	Achuar	4	None	-2.66667	-76.0	Jivaroan	Jivaroan	Word Order
acm	Achumawi	4	None	41.5	-121.0	Palaihnihan	Hokan	Word Order
aco	Acoma	4	None	34.9166666667	-107.583333333	Keresan	Keresan	Word Order
adg	Adang	4	None	-8.2	124.0	Greater Alor	Timor-Alor-Pantar	Word Order
adi	Adioukrou	4	None	5.41666666667	-4.58333333333	Kwa	Niger-Congo	Word Order
adz	Adzera	4	None	-6.25	146.25	Oceanic	Austronesian	Word Order
agh	Aghem	4	None	6.66666666667	10.0	Bantoid	Niger-Congo	Word Order
agc	Agta (Central)	4	None	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
agd	Agta (Dupaningan)	4	None	18.0	122.083333333	Greater Central Philippine	Austronesian	Word Order
ain	Ainu	4	None	43.0	143.0	Ainu	Ainu	Word Order
aja	Aja	4	None	7.33333333333	25.6666666667	Kresh	Central Sudanic	Word Order
ajg	Ajagbe	4	None	7.0	1.75	Kwa	Niger-Congo	Word Order
akn	Akan	4	None	6.5	-1.25	Kwa	Niger-Congo	Word Order
akh	Akha	4	None	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	4	None	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	4	None	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
alw	Alawa	4	None	-15.1666666667	134.25	Alawa	Mangarrayi-Maran	Word Order
alb	Albanian	4	None	41.0	20.0	Albanian	Indo-European	Word Order
als	Alsea	4	None	44.6666666667	-123.916666667	Alsea	Oregon Coast	Word Order
aln	Alune	4	None	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Word Order
aly	Alyawarra	4	None	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
amc	Amahuaca	4	None	-10.5	-72.5	Panoan	Panoan	Word Order
amn	Amanab	4	None	-3.58333333333	141.25	Border	Border	Word Order
aml	Ambae (Lolovoli Northeast)	4	None	-15.4166666667	167.883333333	Oceanic	Austronesian	Word Order
amq	Ambai	4	None	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
amb	Ambulas	4	None	-3.83333333333	143.0	Middle Sepik	Sepik	Word Order
amt	Amdo (Themchen)	4	None	38.0	98.0	Bodic	Sino-Tibetan	Word Order
ame	Amele	4	None	-5.25	145.583333333	Madang	Trans-New Guinea	Word Order
amh	Amharic	4	None	10.0	38.0	Semitic	Afro-Asiatic	Word Order
amo	Amo	4	None	10.3333333333	8.66666666667	Kainji	Niger-Congo	Word Order
amx	Anamuxra	4	None	-4.66666666667	145.0	Madang	Trans-New Guinea	Word Order
anj	Anejom	4	None	-20.2	169.8	Oceanic	Austronesian	Word Order
agm	Angami	4	None	25.6666666667	94.5	Kuki-Chin	Sino-Tibetan	Word Order
anc	Angas	4	None	9.5	9.5	West Chadic	Afro-Asiatic	Word Order
ang	Anggor	4	None	-3.75	141.166666667	Senagi	Senagi	Word Order
ann	Anindilyakwa	4	None	-14.0	136.5	Anindilyakwa	Gunwinyguan	Word Order
anu	Anufo	4	None	10.0833333333	0.25	Kwa	Niger-Congo	Word Order
any	Anywa	4	None	8.0	33.5	Nilotic	Eastern Sudanic	Word Order
ane	Anêm	4	None	-5.58333333333	149.083333333	Anêm	Anêm	Word Order
ao	Ao	4	None	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
apw	Apache (Western)	4	None	33.75	-110.0	Athapaskan	Na-Dene	Word Order
apl	Apalaí	4	None	0.0	-54.0	Cariban	Cariban	Word Order
apt	Apatani	4	None	27.5	93.75	Tani	Sino-Tibetan	Word Order
apu	Apurinã	4	None	-9.0	-67.0	Purus	Arawakan	Word Order
abn	Arabana	4	None	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Word Order
aeg	Arabic (Egyptian)	4	None	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	4	None	26.0	49.0	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	4	None	33.0	44.0	Semitic	Afro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	4	None	29.5	47.5	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	4	None	25.0	42.0	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	4	None	34.0	-6.0	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	4	None	34.0	38.0	Semitic	Afro-Asiatic	Word Order
ana	Araona	4	None	-12.3333333333	-67.75	Tacanan	Tacanan	Word Order
aab	Arapesh (Abu)	4	None	-3.45	142.95	Kombio-Arapesh	Torricelli	Word Order
arp	Arapesh (Mountain)	4	None	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Word Order
ara	Arawak	4	None	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Word Order
arc	Archi	4	None	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Word Order
arm	Armenian (Eastern)	4	None	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	4	None	38.5	43.5	Armenian	Indo-European	Word Order
alk	Arop-Lokep	4	None	-5.38333333333	147.05	Oceanic	Austronesian	Word Order
aro	Arosi	4	None	-10.25	161.333333333	Oceanic	Austronesian	Word Order
amp	Arrernte (Mparntwe)	4	None	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
awe	Arrernte (Western)	4	None	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	4	None	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Word Order
ass	Assamese	4	None	26.0	93.0	Indic	Indo-European	Word Order
asu	Asuriní	4	None	-3.5	-49.5	Tupi-Guaraní	Tupian	Word Order
ata	Atayal	4	None	24.5	121.333333333	Atayalic	Austronesian	Word Order
ath	Athpare	4	None	27.0	87.3333333333	Mahakiranti	Sino-Tibetan	Word Order
au	Au	4	None	-3.58333333333	142.083333333	Wapei-Palei	Torricelli	Word Order
ava	Avar	4	None	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Word Order
awa	Awa	4	None	-6.66666666667	145.75	Eastern Highlands	Trans-New Guinea	Word Order
awp	Awa Pit	4	None	1.5	-78.25	Barbacoan	Barbacoan	Word Order
awt	Awtuw	4	None	-3.58333333333	142.0	Ram	Sepik	Word Order
aym	Aymara (Central)	4	None	-17.0	-69.0	Aymaran	Aymaran	Word Order
azi	Azari (Iranian)	4	None	37.5	47.0	Turkic	Altaic	Word Order
aze	Azerbaijani	4	None	40.5	48.5	Turkic	Altaic	Word Order
bbl	Babole	4	None	1.08333333333	17.25	Bantoid	Niger-Congo	Word Order
bab	Babungo	4	None	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Word Order
bac	Bachamal	4	None	-13.1666666667	130.166666667	Anson Bay	Anson Bay	Word Order
bdm	Badimaya	4	None	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Word Order
baf	Bafut	4	None	6.25	9.91666666667	Bantoid	Niger-Congo	Word Order
bag	Bagirmi	4	None	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Word Order
bgr	Bagiro	4	None	4.33333333333	20.5833333333	Bongo-Bagirmi	Central Sudanic	Word Order
bai	Bai	4	None	26.0	100.0	Bai	Sino-Tibetan	Word Order
baj	Bajau (Sama)	4	None	-4.33333333333	123.0	Sama-Bajaw	Austronesian	Word Order
bwc	Bajau (West Coast)	4	None	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Word Order
bak	Baka (in Cameroon)	4	None	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Word Order
bka	Baka (in Sudan)	4	None	4.83333333333	29.25	Bongo-Bagirmi	Central Sudanic	Word Order
bku	Bakueri	4	None	4.25	9.25	Bantoid	Niger-Congo	Word Order
blz	Balanta	4	None	12.25	-15.3333333333	Northern Atlantic	Niger-Congo	Word Order
bvi	Bali-Vitu	4	None	-4.9	149.116666667	Oceanic	Austronesian	Word Order
blt	Balti	4	None	35.0	76.0	Bodic	Sino-Tibetan	Word Order
bam	Bambara	4	None	12.5	-7.5	Western Mande	Mande	Word Order
bnn	Banoni	4	None	-6.41666666667	155.25	Oceanic	Austronesian	Word Order
bao	Bao'an	4	None	35.75	102.833333333	Mongolic	Altaic	Word Order
brl	Baragaunle	4	None	28.8333333333	83.8333333333	Bodic	Sino-Tibetan	Word Order
baa	Barai	4	None	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Word Order
bbu	Barambu	4	None	3.5	27.0	Ubangi	Niger-Congo	Word Order
brs	Barasano	4	None	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Word Order
bar	Bari	4	None	5.0	31.6666666667	Nilotic	Eastern Sudanic	Word Order
brp	Barupu	4	None	-3.08333333333	142.083333333	Warapu	Skou	Word Order
bae	Baré	4	None	1.0	-67.0	Inland Northern Arawakan	Arawakan	Word Order
bas	Basaá	4	None	3.91666666667	10.5	Bantoid	Niger-Congo	Word Order
bsk	Bashkir	4	None	53.0	58.0	Turkic	Altaic	Word Order
bsq	Basque	4	None	43.0	-3.0	Basque	Basque	Word Order
bkr	Batak (Karo)	4	None	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
bto	Batak (Toba)	4	None	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
ble	Baule	1	NegTone	7.0	-5.0	Kwa	Niger-Congo	Word Order
baq	Baure	4	None	-13.0833333333	-64.1666666667	Bolivia-Parana	Arawakan	Word Order
bzi	Bauzi	4	None	-2.5	137.5	East Geelvink Bay	East Geelvink Bay	Word Order
baw	Bawm	4	None	22.5	92.25	Kuki-Chin	Sino-Tibetan	Word Order
bej	Beja	4	None	18.0	36.0	Beja	Afro-Asiatic	Word Order
bel	Belhare	4	None	26.9666666667	87.3	Mahakiranti	Sino-Tibetan	Word Order
bco	Bella Coola	4	None	52.5	-126.666666667	Bella Coola	Salishan	Word Order
blr	Belorussian	4	None	54.0	28.0	Slavic	Indo-European	Word Order
ben	Bengali	4	None	24.0	90.0	Indic	Indo-European	Word Order
bch	Berber (Chaouia)	4	None	35.0	7.0	Berber	Afro-Asiatic	Word Order
