wals code	name	value	description	latitude	longitude	genus	family	area
adz	Adzera	9	S[Neg-V]O(Neg)	-6.25	146.25	Oceanic	Austronesian	Word Order
aeg	Arabic (Egyptian)	15	SNeg[V-Neg]O/S[Neg-V-Neg]O	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arp	Arapesh (Mountain)	1	SNegVO(Neg)	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Word Order
bmb	Bimoba	1	SNegVO(Neg)	10.5	0.0	Gur	Niger-Congo	Word Order
bol	Bolia	9	S[Neg-V]O(Neg)	-1.25	18.3333333333	Bantoid	Niger-Congo	Word Order
bgo	Bongo	2	S(Neg)VONeg	7.5	28.5	Bongo-Bagirmi	Central Sudanic	Word Order
ctl	Catalan	4	SNegV(Neg)O	41.75	2.0	Romance	Indo-European	Word Order
chr	Chrau	1	SNegVO(Neg)	10.75	107.5	Bahnaric	Austro-Asiatic	Word Order
cop	Coptic	14	S[Neg-V]O/NegSVNegO	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Word Order
dma	Duma	3	S(Neg)VNegO	-0.95	13.0	Bantoid	Niger-Congo	Word Order
ewo	Ewondo	10	SNegVO/SVNegO&NegTone	4.0	12.0	Bantoid	Niger-Congo	Word Order
fre	French	3	S(Neg)VNegO	48.0	2.0	Romance	Indo-European	Word Order
fye	Fyem	5	(Neg)SVONeg	9.58333333333	9.33333333333	Platoid	Niger-Congo	Word Order
gbb	Gbeya Bossangoa	2	S(Neg)VONeg	6.66666666667	17.5	Gbaya-Manza-Ngbaka	Niger-Congo	Word Order
hau	Hausa	1	SNegVO(Neg)	12.0	7.0	West Chadic	Afro-Asiatic	Word Order
mxe	Ifira-Mele	8	S[(Neg-)V]NegO	-17.75	168.25	Oceanic	Austronesian	Word Order
ina	Inanwatan	17	SVO/SOV & (Neg)[V-Neg]	-2.08333333333	132.083333333	South Bird's Head	Marind	Word Order
kre	Kresh	13	(Neg)SVONeg/S(Neg)VONeg	8.5	24.5	Kresh	Central Sudanic	Word Order
lew	Lewo	6	SVNegO(Neg)	-16.75	168.333333333	Oceanic	Austronesian	Word Order
mbe	Mbere	3	S(Neg)VNegO	-0.5	14.0	Bantoid	Niger-Congo	Word Order
mum	Mumuye	2	S(Neg)VONeg	9.0	11.6666666667	Adamawa	Niger-Congo	Word Order
mgk	Mungaka	2	S(Neg)VONeg	5.91666666667	10.0	Bantoid	Niger-Congo	Word Order
mup	Mupun	5	(Neg)SVONeg	9.5	8.83333333333	West Chadic	Afro-Asiatic	Word Order
nke	Nkem	11	S(Neg)[V(-Neg)]O	6.58333333333	8.58333333333	Bantoid	Niger-Congo	Word Order
one	One	2	S(Neg)VONeg	-3.25	141.916666667	West Wapei	Torricelli	Word Order
paa	Pa'a	2	S(Neg)VONeg	11.0	9.25	West Chadic	Afro-Asiatic	Word Order
plh	Paulohi	1	SNegVO(Neg)	-3.25	128.75	Central Malayo-Polynesian	Austronesian	Word Order
rwe	Romani (Welsh)	18	SVO/VSO & NegV/VNeg/NegVNeg	52.0	-4.0	Indic	Indo-European	Word Order
tmn	Temein	7	NegS[V(-Neg)]O	11.9166666667	29.4166666667	Temein	Eastern Sudanic	Word Order
ter	Tera	2	S(Neg)VONeg	11.0	11.8333333333	Biu-Mandara	Afro-Asiatic	Word Order
tid	Tidore	2	S(Neg)VONeg	0.75	127.5	North Halmaheran	West Papuan	Word Order
urt	Urat	1	SNegVO(Neg)	-3.66666666667	142.833333333	Wapei-Palei	Torricelli	Word Order
wrn	Warndarang	12	S[Neg-V(-Neg)]O	-14.4166666667	135.583333333	Warndarang	Mangarrayi-Maran	Word Order
zch	Zoque (Chimalapa)	16	S[V(-Neg)]O & NegV	16.75	-94.75	Mixe-Zoque	Mixe-Zoque	Word Order
zul	Zulu	12	S[Neg-V(-Neg)]O	-30.0	30.0	Bantoid	Niger-Congo	Word Order
