wals code	name	value	description	latitude	longitude	genus	family	area
huc	=|Hoan	4	No NegSVO	-25.5	25.0	=|Hoan	Kxa	Word Order
abu	Abun	4	No NegSVO	-0.5	132.5	North-Central Bird's Head	West Papuan	Word Order
acg	Achagua	4	No NegSVO	4.41666666667	-72.25	Inland Northern Arawakan	Arawakan	Word Order
adi	Adioukrou	4	No NegSVO	5.41666666667	-4.58333333333	Kwa	Niger-Congo	Word Order
adz	Adzera	4	No NegSVO	-6.25	146.25	Oceanic	Austronesian	Word Order
agh	Aghem	4	No NegSVO	6.66666666667	10.0	Bantoid	Niger-Congo	Word Order
aja	Aja	4	No NegSVO	7.33333333333	25.6666666667	Kresh	Central Sudanic	Word Order
akn	Akan	4	No NegSVO	6.5	-1.25	Kwa	Niger-Congo	Word Order
alb	Albanian	4	No NegSVO	41.0	20.0	Albanian	Indo-European	Word Order
aln	Alune	4	No NegSVO	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Word Order
aml	Ambae (Lolovoli Northeast)	4	No NegSVO	-15.4166666667	167.883333333	Oceanic	Austronesian	Word Order
amq	Ambai	4	No NegSVO	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
anc	Angas	4	No NegSVO	9.5	9.5	West Chadic	Afro-Asiatic	Word Order
anu	Anufo	4	No NegSVO	10.0833333333	0.25	Kwa	Niger-Congo	Word Order
ane	Anêm	4	No NegSVO	-5.58333333333	149.083333333	Anêm	Anêm	Word Order
apu	Apurinã	1	NoDoubleNeg	-9.0	-67.0	Purus	Arawakan	Word Order
aeg	Arabic (Egyptian)	4	No NegSVO	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	4	No NegSVO	26.0	49.0	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	4	No NegSVO	33.0	44.0	Semitic	Afro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	4	No NegSVO	29.5	47.5	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	4	No NegSVO	34.0	38.0	Semitic	Afro-Asiatic	Word Order
aab	Arapesh (Abu)	4	No NegSVO	-3.45	142.95	Kombio-Arapesh	Torricelli	Word Order
arp	Arapesh (Mountain)	4	No NegSVO	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Word Order
ara	Arawak	4	No NegSVO	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Word Order
arm	Armenian (Eastern)	4	No NegSVO	40.0	45.0	Armenian	Indo-European	Word Order
alk	Arop-Lokep	4	No NegSVO	-5.38333333333	147.05	Oceanic	Austronesian	Word Order
aro	Arosi	4	No NegSVO	-10.25	161.333333333	Oceanic	Austronesian	Word Order
au	Au	4	No NegSVO	-3.58333333333	142.083333333	Wapei-Palei	Torricelli	Word Order
bbl	Babole	4	No NegSVO	1.08333333333	17.25	Bantoid	Niger-Congo	Word Order
bab	Babungo	4	No NegSVO	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Word Order
bag	Bagirmi	4	No NegSVO	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Word Order
bgr	Bagiro	4	No NegSVO	4.33333333333	20.5833333333	Bongo-Bagirmi	Central Sudanic	Word Order
bai	Bai	4	No NegSVO	26.0	100.0	Bai	Sino-Tibetan	Word Order
bak	Baka (in Cameroon)	4	No NegSVO	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Word Order
bka	Baka (in Sudan)	4	No NegSVO	4.83333333333	29.25	Bongo-Bagirmi	Central Sudanic	Word Order
bku	Bakueri	4	No NegSVO	4.25	9.25	Bantoid	Niger-Congo	Word Order
blz	Balanta	4	No NegSVO	12.25	-15.3333333333	Northern Atlantic	Niger-Congo	Word Order
bvi	Bali-Vitu	4	No NegSVO	-4.9	149.116666667	Oceanic	Austronesian	Word Order
bnn	Banoni	4	No NegSVO	-6.41666666667	155.25	Oceanic	Austronesian	Word Order
bar	Bari	4	No NegSVO	5.0	31.6666666667	Nilotic	Eastern Sudanic	Word Order
bae	Baré	4	No NegSVO	1.0	-67.0	Inland Northern Arawakan	Arawakan	Word Order
bas	Basaá	4	No NegSVO	3.91666666667	10.5	Bantoid	Niger-Congo	Word Order
bkr	Batak (Karo)	4	No NegSVO	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
ble	Baule	4	No NegSVO	7.0	-5.0	Kwa	Niger-Congo	Word Order
bch	Berber (Chaouia)	4	No NegSVO	35.0	7.0	Berber	Afro-Asiatic	Word Order
brf	Berber (Rif)	4	No NegSVO	34.5	-4.0	Berber	Afro-Asiatic	Word Order
ber	Berta	4	No NegSVO	10.3333333333	34.6666666667	Berta	Berta	Word Order
bik	Biak	4	No NegSVO	-1.0	136.0	South Halmahera - West New Guinea	Austronesian	Word Order
bmb	Bimoba	4	No NegSVO	10.5	0.0	Gur	Niger-Congo	Word Order
bni	Bini	4	No NegSVO	6.41666666667	5.83333333333	Edoid	Niger-Congo	Word Order
bia	Bira	4	No NegSVO	1.0	28.75	Bantoid	Niger-Congo	Word Order
bii	Biri	1	NoDoubleNeg	-20.5	146.5	Northern Pama-Nyungan	Pama-Nyungan	Word Order
bir	Birom	4	No NegSVO	9.66666666667	8.83333333333	Platoid	Niger-Congo	Word Order
bob	Bobangi	4	No NegSVO	-1.33333333333	17.3333333333	Bantoid	Niger-Congo	Word Order
bol	Bolia	4	No NegSVO	-1.25	18.3333333333	Bantoid	Niger-Congo	Word Order
bgo	Bongo	4	No NegSVO	7.5	28.5	Bongo-Bagirmi	Central Sudanic	Word Order
bra	Brao	4	No NegSVO	14.1666666667	107.5	Bahnaric	Austro-Asiatic	Word Order
bre	Breton	4	No NegSVO	48.0	-3.0	Celtic	Indo-European	Word Order
bud	Buduma	4	No NegSVO	13.5	14.5	Biu-Mandara	Afro-Asiatic	Word Order
bul	Bulgarian	4	No NegSVO	42.5	25.0	Slavic	Indo-European	Word Order
buy	Buli (in Ghana)	4	No NegSVO	10.5	-1.25	Gur	Niger-Congo	Word Order
bum	Buma	4	No NegSVO	-11.6333333333	166.833333333	Oceanic	Austronesian	Word Order
brn	Burunge	4	No NegSVO	-5.33333333333	36.0	Southern Cushitic	Afro-Asiatic	Word Order
bsh	Bushoong	4	No NegSVO	-4.5	21.5	Bantoid	Niger-Congo	Word Order
cnt	Cantonese	4	No NegSVO	23.0	113.0	Chinese	Sino-Tibetan	Word Order
ctl	Catalan	4	No NegSVO	41.75	2.0	Romance	Indo-European	Word Order
cga	Chaga	4	No NegSVO	-3.0	37.0	Bantoid	Niger-Congo	Word Order
cai	Chai	4	No NegSVO	5.33333333333	35.3333333333	Surmic	Eastern Sudanic	Word Order
chw	Cham (Western)	4	No NegSVO	12.0	105.5	Malayo-Sumbawan	Austronesian	Word Order
cic	Chichewa	4	No NegSVO	-14.0	34.0	Bantoid	Niger-Congo	Word Order
cmy	Chontal Maya	4	No NegSVO	18.1666666667	-92.5833333333	Mayan	Mayan	Word Order
chr	Chrau	4	No NegSVO	10.75	107.5	Bahnaric	Austro-Asiatic	Word Order
coc	Cocama	1	NoDoubleNeg	-5.0	-74.5	Tupi-Guaraní	Tupian	Word Order
cop	Coptic	3	OnlyWithAnotherNeg	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Word Order
cze	Czech	4	No NegSVO	50.0	15.0	Slavic	Indo-European	Word Order
dga	Dagaare	4	No NegSVO	10.5	-2.66666666667	Gur	Niger-Congo	Word Order
dgb	Dagbani	4	No NegSVO	9.58333333333	-0.5	Gur	Niger-Congo	Word Order
dsh	Danish	4	No NegSVO	56.0	10.0	Germanic	Indo-European	Word Order
deg	Degema	4	No NegSVO	4.75	6.75	Edoid	Niger-Congo	Word Order
dio	Diola-Fogny	4	No NegSVO	13.0	-16.25	Northern Atlantic	Niger-Congo	Word Order
dgo	Dongo	4	No NegSVO	3.0	30.0	Ubangi	Niger-Congo	Word Order
doy	Doyayo	4	No NegSVO	8.66666666667	13.0833333333	Adamawa	Niger-Congo	Word Order
dre	Drehu	1	NoDoubleNeg	-21.0	167.25	Oceanic	Austronesian	Word Order
dua	Duala	4	No NegSVO	4.0	9.41666666667	Bantoid	Niger-Congo	Word Order
duk	Duka	4	No NegSVO	11.1666666667	5.08333333333	Kainji	Niger-Congo	Word Order
dma	Duma	4	No NegSVO	-0.95	13.0	Bantoid	Niger-Congo	Word Order
dut	Dutch	4	No NegSVO	52.5	6.0	Germanic	Indo-European	Word Order
ebi	Ebira	4	No NegSVO	8.16666666667	7.0	Nupoid	Niger-Congo	Word Order
erk	Efate (South)	4	No NegSVO	-17.75	168.416666667	Oceanic	Austronesian	Word Order
ega	Ega	4	No NegSVO	5.5	-5.5	Kwa	Niger-Congo	Word Order
eko	Ekoti	4	No NegSVO	-16.5	39.5	Bantoid	Niger-Congo	Word Order
egn	Engenni	4	No NegSVO	5.16666666667	6.38333333333	Edoid	Niger-Congo	Word Order
eng	English	4	No NegSVO	52.0	0.0	Germanic	Indo-European	Word Order
err	Erromangan	4	No NegSVO	-18.8333333333	169.166666667	Oceanic	Austronesian	Word Order
est	Estonian	4	No NegSVO	59.0	26.0	Finnic	Uralic	Word Order
ewe	Ewe	4	No NegSVO	6.33333333333	0.416666666667	Kwa	Niger-Congo	Word Order
ewo	Ewondo	4	No NegSVO	4.0	12.0	Bantoid	Niger-Congo	Word Order
fin	Finnish	4	No NegSVO	62.0	25.0	Finnic	Uralic	Word Order
fon	Fongbe	4	No NegSVO	6.41666666667	2.16666666667	Kwa	Niger-Congo	Word Order
fre	French	4	No NegSVO	48.0	2.0	Romance	Indo-European	Word Order
fua	Fula (Cameroonian)	4	No NegSVO	9.16666666667	13.5	Northern Atlantic	Niger-Congo	Word Order
fut	Futuna-Aniwa	4	No NegSVO	-19.5333333333	170.216666667	Oceanic	Austronesian	Word Order
