Matthew S. Dryer. 2013. Position of Negative Morpheme With Respect to Subject, Object, and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/144, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	6	SO[Neg-V]/SO[V-Neg]	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
ajg	Ajagbe	23	SOV & NegV/VNeg (b)	7.0	1.75	Kwa	Niger-Congo	Word Order
amb	Ambulas	21	SOV & NegV/[Neg-V]	-3.83333333333	143.0	Middle Sepik	Sepik	Word Order
apl	Apalaí	19	SO[V-Neg]/O[V-Neg]S	0.0	-54.0	Cariban	Cariban	Word Order
arm	Armenian (Eastern)	16	SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	22	SOV & NegV/[V-Neg]	38.5	43.5	Armenian	Indo-European	Word Order
aym	Aymara (Central)	2	SNegOV/SONegV	-17.0	-69.0	Aymaran	Aymaran	Word Order
blt	Balti	20	SOV & NegV/VNeg (a)	35.0	76.0	Bodic	Sino-Tibetan	Word Order
bod	Bodo	24	SV & OV & NegV/VNeg	26.8333333333	92.0	Bodo-Garo	Sino-Tibetan	Word Order
cai	Chai	13	SONegV/SOVNeg/SNegVO/SVONeg	5.33333333333	35.3333333333	Surmic	Eastern Sudanic	Word Order
cmn	Comanche	3	NegSOV/SNegOV/SONegV	33.5	-101.5	Numic	Uto-Aztecan	Word Order
cup	Cupeño	4	NegSOV/2ndPos	33.1666666667	-116.5	California Uto-Aztecan	Uto-Aztecan	Word Order
dmi	Dumi	26	SV & OV & [Neg-V]/[V-Neg]	27.25	86.6666666667	Mahakiranti	Sino-Tibetan	Word Order
dut	Dutch	9	SONegV/SVONeg	52.5	6.0	Germanic	Indo-European	Word Order
eip	Eipo	1	SONegV/SOVNeg	-4.33333333333	140.083333333	Mek	Trans-New Guinea	Word Order
eka	Ekari	20	SOV & NegV/VNeg (a)	-3.83333333333	135.5	Wissel Lakes-Kemandoga	Trans-New Guinea	Word Order
ger	German	9	SONegV/SVONeg	52.0	10.0	Germanic	Indo-European	Word Order
gug	Gugada	21	SOV & NegV/[Neg-V]	-30.0	134.0	Western Pama-Nyungan	Pama-Nyungan	Word Order
ijo	Ijo (Kolokuma)	5	SOVNeg/SO[V-Neg]	4.91666666667	5.66666666667	Ijoid	Ijoid	Word Order
kae	Kaki Ae	2	SNegOV/SONegV	-8.0	145.833333333	Tate	Eleman	Word Order
kmk	Kalmyk	24	SV & OV & NegV/VNeg	44.0	83.0	Mongolic	Altaic	Word Order
kll	Kaluli	6	SO[Neg-V]/SO[V-Neg]	-6.5	142.75	Bosavi	Bosavi	Word Order
