wals code	name	value	description	latitude	longitude	genus	family	area
apl	Apalaí	9	O[V-Neg]S/SO[V-Neg]	0.0	-54.0	Cariban	Cariban	Word Order
asu	Asuriní	6	O[Neg-V-Neg]S	-3.5	-49.5	Tupi-Guaraní	Tupian	Word Order
cub	Cubeo	4	O[V-Neg]S	1.33333333333	-70.5	Tucanoan	Tucanoan	Word Order
hix	Hixkaryana	4	O[V-Neg]S	-1.0	-59.0	Cariban	Cariban	Word Order
kxo	Kxoe	3	OSVNeg	-17.5	22.5	Khoe-Kwadi	Khoe-Kwadi	Word Order
mac	Macushi	7	OVNegS/SOVNeg	4.0	-60.0	Cariban	Cariban	Word Order
myi	Mangarrayi	1	ONegVS	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Word Order
nad	Nadëb	10	O[Neg-V]S/NegSVO	-1.0	-66.5	Nadahup	Nadahup	Word Order
par	Päri	11	OVS & NegV	5.0	32.5	Nilotic	Eastern Sudanic	Word Order
sel	Selknam	2	OVNegS	-53.0	-70.0	Chon Proper	Chon	Word Order
tir	Tiriyo	4	O[V-Neg]S	3.25	-55.75	Cariban	Cariban	Word Order
tbt	Tobati	5	OS(Neg)[V(-Neg)]	-2.58333333333	140.666666667	Oceanic	Austronesian	Word Order
tvl	Tuvaluan	1	ONegVS	-8.5	179.166666667	Oceanic	Austronesian	Word Order
ung	Ungarinjin	1	ONegVS	-16.3333333333	126.0	Worrorran	Worrorran	Word Order
urn	Urarina	4	O[V-Neg]S	-4.5	-75.5	Urarina	Urarina	Word Order
wic	Wichita	8	NegOVS/NegSOV	33.3333333333	-97.3333333333	Caddoan	Caddoan	Word Order
