Balthasar Bickel, Johanna Nichols. 2013. Exponence of Selected Inflectional Formatives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/21, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	monoexponential TAM	-29.0	-61.0	South Guaicuruan	Guaicuruan	Morphology
abk	Abkhaz	1	monoexponential TAM	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Morphology
aco	Acoma	2	TAM+agreement	34.9166666667	-107.583333333	Keresan	Keresan	Morphology
ala	Alamblak	1	monoexponential TAM	-4.66666666667	143.333333333	Sepik Hill	Sepik	Morphology
ame	Amele	1	monoexponential TAM	-5.25	145.583333333	Madang	Trans-New Guinea	Morphology
apu	Apurinã	1	monoexponential TAM	-9.0	-67.0	Purus	Arawakan	Morphology
aeg	Arabic (Egyptian)	3	TAM+agreement+diathesis	30.0	31.0	Semitic	Afro-Asiatic	Morphology
ana	Araona	1	monoexponential TAM	-12.3333333333	-67.75	Tacanan	Tacanan	Morphology
arp	Arapesh (Mountain)	1	monoexponential TAM	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Morphology
amp	Arrernte (Mparntwe)	1	monoexponential TAM	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Morphology
asm	Asmat	1	monoexponential TAM	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Morphology
atk	Atakapa	1	monoexponential TAM	30.0	-93.5	Atakapa	Atakapa	Morphology
awp	Awa Pit	1	monoexponential TAM	1.5	-78.25	Barbacoan	Barbacoan	Morphology
aym	Aymara (Central)	2	TAM+agreement	-17.0	-69.0	Aymaran	Aymaran	Morphology
bag	Bagirmi	2	TAM+agreement	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Morphology
bnj	Bandjalang	1	monoexponential TAM	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Morphology
brs	Barasano	1	monoexponential TAM	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Morphology
bsq	Basque	1	monoexponential TAM	43.0	-3.0	Basque	Basque	Morphology
bej	Beja	1	monoexponential TAM	18.0	36.0	Beja	Afro-Asiatic	Morphology
bel	Belhare	1	monoexponential TAM	26.9666666667	87.3	Mahakiranti	Sino-Tibetan	Morphology
bma	Berber (Middle Atlas)	1	monoexponential TAM	33.0	-5.0	Berber	Afro-Asiatic	Morphology
bbw	Bininj Gun-Wok	1	monoexponential TAM	-12.5	133.75	Gunwinygic	Gunwinyguan	Morphology
brr	Bororo	6	no TAM	-16.0	-57.0	Bororoan	Bororoan	Morphology
brh	Brahui	2	TAM+agreement	28.5	67.0	Northern Dravidian	Dravidian	Morphology
brm	Burmese	1	monoexponential TAM	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Morphology
bur	Burushaski	1	monoexponential TAM	36.5	74.5	Burushaski	Burushaski	Morphology
ckr	Canela-Krahô	1	monoexponential TAM	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Morphology
cyv	Cayuvava	1	monoexponential TAM	-13.5	-65.5	Cayuvava	Cayuvava	Morphology
cha	Chamorro	2	TAM+agreement	13.45	144.75	Chamorro	Austronesian	Morphology
cku	Chinook (Upper)	1	monoexponential TAM	45.5	-122.5	Chinookan	Penutian	Morphology
cho	Chontal (Highland)	1	monoexponential TAM	16.25	-95.75	Tequistlatecan	Tequistlatecan	Morphology
chk	Chukchi	1	monoexponential TAM	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
cre	Cree (Plains)	1	monoexponential TAM	54.0	-110.0	Algonquian	Algic	Morphology
dag	Daga	2	TAM+agreement	-10.0	149.333333333	Dagan	Dagan	Morphology
dni	Dani (Lower Grand Valley)	1	monoexponential TAM	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Morphology
dig	Digaro	1	monoexponential TAM	28.4166666667	96.0	Digaroan	Sino-Tibetan	Morphology
eka	Ekari	1	monoexponential TAM	-3.83333333333	135.5	Wissel Lakes-Kemandoga	Trans-New Guinea	Morphology
eng	English	1	monoexponential TAM	52.0	0.0	Germanic	Indo-European	Morphology
epe	Epena Pedee	1	monoexponential TAM	3.0	-77.0	Choco	Choco	Morphology
eve	Evenki	1	monoexponential TAM	56.0	125.0	Tungusic	Altaic	Morphology
fij	Fijian	1	monoexponential TAM	-17.8333333333	178.0	Oceanic	Austronesian	Morphology
fin	Finnish	1	monoexponential TAM	62.0	25.0	Finnic	Uralic	Morphology
fre	French	2	TAM+agreement	48.0	2.0	Romance	Indo-European	Morphology
gar	Garo	1	monoexponential TAM	25.6666666667	90.5	Bodo-Garo	Sino-Tibetan	Morphology
geo	Georgian	2	TAM+agreement	42.0	44.0	Kartvelian	Kartvelian	Morphology
ger	German	1	monoexponential TAM	52.0	10.0	Germanic	Indo-European	Morphology
goo	Gooniyandi	1	monoexponential TAM	-18.3333333333	126.333333333	Bunuban	Bunuban	Morphology
grb	Grebo	1	monoexponential TAM	5.0	-8.0	Kru	Niger-Congo	Morphology
grk	Greek (Modern)	3	TAM+agreement+diathesis	39.0	22.0	Greek	Indo-European	Morphology
grw	Greenlandic (West)	1	monoexponential TAM	64.0	-51.0	Eskimo	Eskimo-Aleut	Morphology
gua	Guaraní	1	monoexponential TAM	-26.0	-56.0	Tupi-Guaraní	Tupian	Morphology
hai	Haida	1	monoexponential TAM	53.0	-132.0	Haida	Haida	Morphology
hat	Hatam	1	monoexponential TAM	-1.0	134.0	Hatam	West Papuan	Morphology
hau	Hausa	1	monoexponential TAM	12.0	7.0	West Chadic	Afro-Asiatic	Morphology
heb	Hebrew (Modern)	3	TAM+agreement+diathesis	31.5	34.8333333333	Semitic	Afro-Asiatic	Morphology
