"value","latitude","longitude"
-1,43.0833333333,41
-1,5.5,95.5
-1,34.9166666667,-107.583333333
-1,43,143
-1,-4.66666666667,143.333333333
-1,-3.83333333333,143
-1,-5.25,145.583333333
-1,-5.58333333333,149.083333333
-1,-9,-67
-1,30,31
-1,-3.46666666667,143.166666667
-1,-24,136
-1,-5.5,138.5
-1,30,-93.5
-1,1.5,-78.25
-1,-3.58333333333,142
-1,-17,-69
-1,11.6666666667,16
-1,-0.166666666667,-70.6666666667
-1,43,-3
1,-2.5,137.5
-1,18,36
-1,26.9666666667,87.3
-1,33,-5
-1,-12.5,133.75
-1,-16,-57
-1,28.5,67
-1,9.41666666667,-83
-1,21,96
1,-3.5,126.5
-1,36.5,74.5
-1,-6,-46
-1,-13.5,-65.5
-1,13.45,144.75
-1,-5.5,-77
-1,21.6666666667,-100.5
-1,45.5,-122.5
-1,29.6666666667,-91
-1,16.25,-95.75
-1,67,-173
-1,34.6666666667,-120.25
-1,43.5,-124.166666667
-1,54,-110
-1,-10,149.333333333
-1,-4.33333333333,138.833333333
-1,-28,139
-1,6.16666666667,36.5
-1,-12.6666666667,136
-1,-17.75,134
-1,-2.68333333333,141.3
-1,-17.8333333333,145.583333333
-1,-3.83333333333,135.5
-1,52,0
-1,3,-77
-1,56,125
1,6.33333333333,0.416666666667
-1,-17.8333333333,178
-1,62,25
-1,48,2
-1,13.5,25
-1,-17.0833333333,137.166666667
-1,42,44
-1,52,10
-1,-18.3333333333,126.333333333
-1,5,-8
-1,39,22
-1,64,-51
-1,-26,-56
-1,12.5,35.8333333333
-1,-41,-67
1,53,-132
-1,-1,134
-1,12,7
-1,31.5,34.8333333333
-1,25,77
-1,-1,-59
1,28,105
-1,-6.33333333333,145.333333333
-1,16.2166666667,-95
-1,47,20
1,-3.16666666667,137.5
-1,65,-17
1,4.91666666667,5.66666666667
-1,3.75,34.1666666667
-1,10.6666666667,-73.75
-1,-3.33333333333,141.166666667
1,0,106
-1,43.1666666667,45.0833333333
-1,15.6666666667,-91.6666666667
-1,37,140
1,9.5,-5.66666666667
-1,-2.5,-78
1,-19,21
-1,14,76
-1,-8.66666666667,140.916666667
-1,12,13
-1,41.6666666667,-123
-1,-17.05,139.5
-1,64,87
-1,-6.5,143.833333333
-1,47,105
-1,-25.5,18
-1,-8,138.5
-1,37,-99
-1,-10,-37
-1,-3,137.166666667
1,8.83333333333,-10.1666666667
-1,34.8333333333,-85.1666666667
-1,-5.16666666667,144.333333333
-1,-5.58333333333,140
-1,37.5,128
-1,17,-3
-1,10.5,30
-1,20,83.5
-1,14.5,37
-1,49.5,-116
-1,22.6666666667,93.6666666667
-1,43.8333333333,-101.833333333
1,-8.25,122.916666667
-1,2.16666666667,33
-1,-9.08333333333,159.2
-1,41.6666666667,47.8333333333
-1,3.08333333333,30.9166666667
-1,-12,22
-1,26,86
-1,-20,47
-1,-13.4166666667,130.416666667
-1,34,110
-1,-14.6666666667,133.5
-1,-40,176
-1,-38,-72
-1,33.1666666667,-113.166666667
-1,-13.8333333333,130
-1,-20.8333333333,116.5
-1,-11.9166666667,133.5
-1,-1.33333333333,132.5
-1,24.75,94
-1,14,-83.6666666667
-1,37.5,-120
-1,17.05,-97.5833333333
-1,-6.61666666667,155.416666667
-1,23,84.6666666667
-1,-14.6666666667,129.666666667
-1,19.75,77.8333333333
-1,-12.1166666667,134.416666667
-1,-14,-59.5
-1,15.0833333333,37.5833333333
-1,31.75,-91.3333333333
-1,69,72
-1,28,85
-1,-31.75,145.5
-1,9,93
-1,55,-130
-1,53.3333333333,142
-1,18.25,30.75
-1,-13.75,135.666666667
-1,49.6666666667,-126.666666667
-1,-18,124.333333333
-1,43,-75.6666666667
-1,12.1666666667,30.8333333333
-1,9,42
-1,20.1666666667,-99.1666666667
-1,22.5,120.833333333
-1,-6,-64
-1,32,54
-1,13.8333333333,-89.5833333333
1,-7,-62
-1,39,-122.5
-1,19.5,-101.666666667
-1,0.333333333333,-78
-1,47.9166666667,-124.25
-1,11.75,-83.75
-1,-27.1166666667,-109.366666667
-1,56,38
-1,1.16666666667,127.5
-1,-6.28333333333,145.033333333
-1,-5,35
-1,5,18
-1,4.5,-64.6666666667
-1,3,103
-1,-7.5,-75
-1,44,-124
-1,67,-125
-1,40,-4
-1,49.6666666667,-123.166666667
-1,-7.75,147.55
1,11.5,-5.58333333333
-1,-6.5,39
-1,15,121
-1,42.5,-123
-1,-8.28333333333,125.083333333
-1,-5.75,145.333333333
-1,-5,141.75
1,16,101
-1,30,91
-1,30.25,-82.5
-1,-11.5,131
-1,59,-135
-1,30.25,-96.75
-1,-11.9166666667,-53.5833333333
-1,-5.5,123.5
-1,32.6666666667,-91
-1,39,35
-1,37,-117
-1,-16.3333333333,126
-1,-11.9166666667,142.416666667
-1,-4.83333333333,145.166666667
1,10.5,106.5
-1,-1,-76.5
-1,9.33333333333,-61.6666666667
-1,-13.1666666667,131.25
-1,-11.3333333333,-65
-1,-20,132.333333333
-1,-14.4166666667,135.583333333
-1,39.25,-120
-1,-4.5,146
-1,-35.3333333333,144
-1,33.3333333333,-97.3333333333
-1,-22.5,-62.5833333333
-1,41,-122.5
-1,-24.5,-50
-1,-3.5,-72
-1,-4,139.333333333
-1,-27,132
-1,27.5,-110.25
-1,-4.16666666667,142.583333333
-1,-4.66666666667,143.55
-1,8,4.33333333333
-1,35.75,-86.75
-1,65.75,150.833333333
-1,59.5,-160
-1,41.3333333333,-124
-1,17,-93.25
-1,-30,30
-1,35.0833333333,-108.833333333
