Ekkehard König, Peter Siemund (with Stephan Töpper). 2013. Intensifiers and Reflexive Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/47, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	2	Differentiated	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
afr	Afrikaans	1	Identical	-31.0	22.0	Germanic	Indo-European	Nominal Categories
ala	Alamblak	1	Identical	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
ame	Amele	1	Identical	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Categories
amh	Amharic	1	Identical	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
apu	Apurinã	2	Differentiated	-9.0	-67.0	Purus	Arawakan	Nominal Categories
arg	Arabic (Gulf)	1	Identical	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arm	Armenian (Eastern)	1	Identical	40.0	45.0	Armenian	Indo-European	Nominal Categories
asm	Asmat	1	Identical	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
awp	Awa Pit	2	Differentiated	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
bag	Bagirmi	1	Identical	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bgv	Bagvalal	1	Identical	42.5833333333	46.1666666667	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
bsq	Basque	2	Differentiated	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	2	Differentiated	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
ben	Bengali	1	Identical	24.0	90.0	Indic	Indo-European	Nominal Categories
brh	Brahui	1	Identical	28.5	67.0	Northern Dravidian	Dravidian	Nominal Categories
bul	Bulgarian	2	Differentiated	42.5	25.0	Slavic	Indo-European	Nominal Categories
brm	Burmese	1	Identical	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	1	Identical	36.5	74.5	Burushaski	Burushaski	Nominal Categories
ckr	Canela-Krahô	2	Differentiated	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Nominal Categories
cnt	Cantonese	1	Identical	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
ctl	Catalan	2	Differentiated	41.75	2.0	Romance	Indo-European	Nominal Categories
cha	Chamorro	1	Identical	13.45	144.75	Chamorro	Austronesian	Nominal Categories
cle	Chinantec (Lealao)	1	Identical	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
cmn	Comanche	2	Differentiated	33.5	-101.5	Numic	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	2	Differentiated	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cub	Cubeo	2	Differentiated	1.33333333333	-70.5	Tucanoan	Tucanoan	Nominal Categories
dsh	Danish	1	Identical	56.0	10.0	Germanic	Indo-European	Nominal Categories
dre	Drehu	2	Differentiated	-21.0	167.25	Oceanic	Austronesian	Nominal Categories
dut	Dutch	1	Identical	52.5	6.0	Germanic	Indo-European	Nominal Categories
