wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	None reported	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
aco	Acoma	1	None reported	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Syntax
ain	Ainu	1	None reported	43.0	143.0	Ainu	Ainu	Nominal Syntax
ala	Alamblak	1	None reported	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Syntax
alw	Alawa	1	None reported	-15.1666666667	134.25	Alawa	Mangarrayi-Maran	Nominal Syntax
ame	Amele	1	None reported	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Syntax
amh	Amharic	1	None reported	10.0	38.0	Semitic	Afro-Asiatic	Nominal Syntax
ane	Anêm	1	None reported	-5.58333333333	149.083333333	Anêm	Anêm	Nominal Syntax
apu	Apurinã	1	None reported	-9.0	-67.0	Purus	Arawakan	Nominal Syntax
aeg	Arabic (Egyptian)	1	None reported	30.0	31.0	Semitic	Afro-Asiatic	Nominal Syntax
arp	Arapesh (Mountain)	1	None reported	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Syntax
arm	Armenian (Eastern)	1	None reported	40.0	45.0	Armenian	Indo-European	Nominal Syntax
amp	Arrernte (Mparntwe)	1	None reported	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Syntax
asm	Asmat	1	None reported	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Nominal Syntax
awp	Awa Pit	1	None reported	1.5	-78.25	Barbacoan	Barbacoan	Nominal Syntax
awt	Awtuw	1	None reported	-3.58333333333	142.0	Ram	Sepik	Nominal Syntax
aym	Aymara (Central)	1	None reported	-17.0	-69.0	Aymaran	Aymaran	Nominal Syntax
bag	Bagirmi	1	None reported	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Syntax
baa	Barai	1	None reported	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Nominal Syntax
brs	Barasano	1	None reported	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Syntax
bsq	Basque	1	None reported	43.0	-3.0	Basque	Basque	Nominal Syntax
bzi	Bauzi	1	None reported	-2.5	137.5	East Geelvink Bay	East Geelvink Bay	Nominal Syntax
bej	Beja	1	None reported	18.0	36.0	Beja	Afro-Asiatic	Nominal Syntax
bel	Belhare	1	None reported	26.9666666667	87.3	Mahakiranti	Sino-Tibetan	Nominal Syntax
bma	Berber (Middle Atlas)	1	None reported	33.0	-5.0	Berber	Afro-Asiatic	Nominal Syntax
brk	Berik	1	None reported	-2.25	138.833333333	Tor	Tor-Orya	Nominal Syntax
boa	Boazi	1	None reported	-7.0	141.333333333	Marind Proper	Marind	Nominal Syntax
brr	Bororo	1	None reported	-16.0	-57.0	Bororoan	Bororoan	Nominal Syntax
brh	Brahui	1	None reported	28.5	67.0	Northern Dravidian	Dravidian	Nominal Syntax
brm	Burmese	1	None reported	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Syntax
buu	Buru	1	None reported	-3.5	126.5	Central Malayo-Polynesian	Austronesian	Nominal Syntax
bur	Burushaski	1	None reported	36.5	74.5	Burushaski	Burushaski	Nominal Syntax
cax	Campa (Axininca)	1	None reported	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Nominal Syntax
ckr	Canela-Krahô	1	None reported	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Nominal Syntax
cyv	Cayuvava	1	None reported	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Syntax
cha	Chamorro	3	Two to four	13.45	144.75	Chamorro	Austronesian	Nominal Syntax
chy	Chayahuita	1	None reported	-5.5	-77.0	Cahuapanan	Cahuapanan	Nominal Syntax
cjo	Chichimeca-Jonaz	3	Two to four	21.6666666667	-100.5	Chichimec	Oto-Manguean	Nominal Syntax
chi	Chimariko	1	None reported	41.0	-123.0	Chimariko	Hokan	Nominal Syntax
ctm	Chitimacha	1	None reported	29.6666666667	-91.0	Chitimacha	Chitimacha	Nominal Syntax
cho	Chontal (Highland)	1	None reported	16.25	-95.75	Tequistlatecan	Tequistlatecan	Nominal Syntax
chk	Chukchi	1	None reported	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Syntax
cin	Chumash (Ineseño)	1	None reported	34.6666666667	-120.25	Chumash	Chumash	Nominal Syntax
cre	Cree (Plains)	1	None reported	54.0	-110.0	Algonquian	Algic	Nominal Syntax
dag	Daga	1	None reported	-10.0	149.333333333	Dagan	Dagan	Nominal Syntax
dni	Dani (Lower Grand Valley)	1	None reported	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Nominal Syntax
die	Diegueño (Mesa Grande)	1	None reported	32.6666666667	-116.166666667	Yuman	Hokan	Nominal Syntax
dig	Digaro	1	None reported	28.4166666667	96.0	Digaroan	Sino-Tibetan	Nominal Syntax
diy	Diyari	1	None reported	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Syntax
diz	Dizi	1	None reported	6.16666666667	36.5	Dizoid	Afro-Asiatic	Nominal Syntax
djp	Djapu	1	None reported	-12.6666666667	136.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Syntax
dre	Drehu	1	None reported	-21.0	167.25	Oceanic	Austronesian	Nominal Syntax
dum	Dumo	1	None reported	-2.68333333333	141.3	Western Skou	Skou	Nominal Syntax
dyi	Dyirbal	1	None reported	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Syntax
eka	Ekari	1	None reported	-3.83333333333	135.5	Wissel Lakes-Kemandoga	Trans-New Guinea	Nominal Syntax
eng	English	1	None reported	52.0	0.0	Germanic	Indo-European	Nominal Syntax
epe	Epena Pedee	1	None reported	3.0	-77.0	Choco	Choco	Nominal Syntax
eve	Evenki	1	None reported	56.0	125.0	Tungusic	Altaic	Nominal Syntax
ewe	Ewe	1	None reported	6.33333333333	0.416666666667	Kwa	Niger-Congo	Nominal Syntax
fij	Fijian	3	Two to four	-17.8333333333	178.0	Oceanic	Austronesian	Nominal Syntax
fin	Finnish	1	None reported	62.0	25.0	Finnic	Uralic	Nominal Syntax
fre	French	1	None reported	48.0	2.0	Romance	Indo-European	Nominal Syntax
fua	Fula (Cameroonian)	1	None reported	9.16666666667	13.5	Northern Atlantic	Niger-Congo	Nominal Syntax
fur	Fur	1	None reported	13.5	25.0	Fur	Fur	Nominal Syntax
grr	Garrwa	1	None reported	-17.0833333333	137.166666667	Garrwan	Garrwan	Nominal Syntax
gbb	Gbeya Bossangoa	1	None reported	6.66666666667	17.5	Gbaya-Manza-Ngbaka	Niger-Congo	Nominal Syntax
geo	Georgian	1	None reported	42.0	44.0	Kartvelian	Kartvelian	Nominal Syntax
ger	German	1	None reported	52.0	10.0	Germanic	Indo-European	Nominal Syntax
goo	Gooniyandi	1	None reported	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Syntax
grb	Grebo	1	None reported	5.0	-8.0	Kru	Niger-Congo	Nominal Syntax
grk	Greek (Modern)	1	None reported	39.0	22.0	Greek	Indo-European	Nominal Syntax
grw	Greenlandic (West)	1	None reported	64.0	-51.0	Eskimo	Eskimo-Aleut	Nominal Syntax
gua	Guaraní	2	One	-26.0	-56.0	Tupi-Guaraní	Tupian	Nominal Syntax
gmz	Gumuz	1	None reported	12.5	35.8333333333	Gumuz	Gumuz	Nominal Syntax
hai	Haida	1	None reported	53.0	-132.0	Haida	Haida	Nominal Syntax
hat	Hatam	1	None reported	-1.0	134.0	Hatam	West Papuan	Nominal Syntax
hau	Hausa	1	None reported	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Syntax
heb	Hebrew (Modern)	1	None reported	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Syntax
hin	Hindi	1	None reported	25.0	77.0	Indic	Indo-European	Nominal Syntax
hix	Hixkaryana	1	None reported	-1.0	-59.0	Cariban	Cariban	Nominal Syntax
hmo	Hmong Njua	1	None reported	28.0	105.0	Hmong-Mien	Hmong-Mien	Nominal Syntax
hua	Hua	1	None reported	-6.33333333333	145.333333333	Eastern Highlands	Trans-New Guinea	Nominal Syntax
hve	Huave (San Mateo del Mar)	1	None reported	16.2166666667	-95.0	Huavean	Huavean	Nominal Syntax
hun	Hungarian	1	None reported	47.0	20.0	Ugric	Uralic	Nominal Syntax
iau	Iau	1	None reported	-3.16666666667	137.5	Lakes Plain	Lakes Plain	Nominal Syntax
ijo	Ijo (Kolokuma)	1	None reported	4.91666666667	5.66666666667	Ijoid	Ijoid	Nominal Syntax
ik	Ik	1	None reported	3.75	34.1666666667	Kuliak	Eastern Sudanic	Nominal Syntax
imo	Imonda	1	None reported	-3.33333333333	141.166666667	Border	Border	Nominal Syntax
ind	Indonesian	1	None reported	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Syntax
ing	Ingush	1	None reported	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Syntax
jak	Jakaltek	1	None reported	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Syntax
jpn	Japanese	1	None reported	37.0	140.0	Japanese	Japanese	Nominal Syntax
juh	Ju|'hoan	1	None reported	-19.0	21.0	Ju-Kung	Kxa	Nominal Syntax
knk	Kanakuru	1	None reported	10.0	12.0	West Chadic	Afro-Asiatic	Nominal Syntax
knd	Kannada	1	None reported	14.0	76.0	Southern Dravidian	Dravidian	Nominal Syntax
knp	Kanum (Ngkâlmpw)	1	None reported	-8.66666666667	140.916666667	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers	Nominal Syntax
knr	Kanuri	1	None reported	12.0	13.0	Western Saharan	Saharan	Nominal Syntax
krk	Karok	1	None reported	41.6666666667	-123.0	Karok	Karok	Nominal Syntax
kay	Kayardild	1	None reported	-17.05	139.5	Tangkic	Tangkic	Nominal Syntax
ket	Ket	1	None reported	64.0	87.0	Yeniseian	Yeniseian	Nominal Syntax
kew	Kewa	1	None reported	-6.5	143.833333333	Engan	Trans-New Guinea	Nominal Syntax
kha	Khalkha	1	None reported	47.0	105.0	Mongolic	Altaic	Nominal Syntax
khs	Khasi	1	None reported	25.5	92.0	Khasian	Austro-Asiatic	Nominal Syntax
kho	Khoekhoe	1	None reported	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Syntax
kim	Kimaghama	1	None reported	-8.0	138.5	Kolopom	Kolopom	Nominal Syntax
kio	Kiowa	1	None reported	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Syntax
kri	Kipea	4	Five or more	-10.0	-37.0	Kariri	Kariri	Nominal Syntax
koa	Koasati	1	None reported	34.8333333333	-85.1666666667	Muskogean	Muskogean	Nominal Syntax
kob	Kobon	1	None reported	-5.16666666667	144.333333333	Madang	Trans-New Guinea	Nominal Syntax
koi	Koiari	1	None reported	-9.5	147.333333333	Koiarian	Trans-New Guinea	Nominal Syntax
kln	Kolana	1	None reported	-8.25	125.116666667	Kolana-Tanglapui	Timor-Alor-Pantar	Nominal Syntax
kzy	Komi-Zyrian	1	None reported	65.0	55.0	Permic	Uralic	Nominal Syntax
knu	Konua	1	None reported	-5.83333333333	154.833333333	West Bougainville	West Bougainville	Nominal Syntax
kor	Korean	1	None reported	37.5	128.0	Korean	Korean	Nominal Syntax
kch	Koyra Chiini	1	None reported	17.0	-3.0	Songhay	Songhay	Nominal Syntax
kro	Krongo	1	None reported	10.5	30.0	Kadugli	Kadu	Nominal Syntax
kui	Kui (in India)	1	None reported	20.0	83.5	South-Central Dravidian	Dravidian	Nominal Syntax
knm	Kunama	1	None reported	14.5	37.0	Kunama	Kunama	Nominal Syntax
kut	Kutenai	1	None reported	49.5	-116.0	Kutenai	Kutenai	Nominal Syntax
kat	Kâte	1	None reported	-6.5	147.75	Finisterre-Huon	Trans-New Guinea	Nominal Syntax
lkt	Lakhota	1	None reported	43.8333333333	-101.833333333	Core Siouan	Siouan	Nominal Syntax
lan	Lango	1	None reported	2.16666666667	33.0	Nilotic	Eastern Sudanic	Nominal Syntax
lav	Lavukaleve	1	None reported	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Nominal Syntax
lez	Lezgian	1	None reported	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Nominal Syntax
lim	Limbu	1	None reported	27.1666666667	87.75	Mahakiranti	Sino-Tibetan	Nominal Syntax
lda	Luganda	1	None reported	0.5	32.1666666667	Bantoid	Niger-Congo	Nominal Syntax
lug	Lugbara	1	None reported	3.08333333333	30.9166666667	Moru-Ma'di	Central Sudanic	Nominal Syntax
luv	Luvale	1	None reported	-12.0	22.0	Bantoid	Niger-Congo	Nominal Syntax
maa	Maasai	1	None reported	-3.0	36.0	Nilotic	Eastern Sudanic	Nominal Syntax
mne	Maidu (Northeast)	1	None reported	40.0	-120.666666667	Maiduan	Penutian	Nominal Syntax
mal	Malagasy	1	None reported	-20.0	47.0	Barito	Austronesian	Nominal Syntax
mlk	Malakmalak	1	None reported	-13.4166666667	130.416666667	Northern Daly	Northern Daly	Nominal Syntax
mto	Malto	1	None reported	25.0	87.3333333333	Northern Dravidian	Dravidian	Nominal Syntax
mnd	Mandarin	1	None reported	34.0	110.0	Chinese	Sino-Tibetan	Nominal Syntax
mdk	Mandinka	1	None reported	13.0	-15.6666666667	Western Mande	Mande	Nominal Syntax
myi	Mangarrayi	1	None reported	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Nominal Syntax
mao	Maori	1	None reported	-40.0	176.0	Oceanic	Austronesian	Nominal Syntax
map	Mapudungun	1	None reported	-38.0	-72.0	Araucanian	Araucanian	Nominal Syntax
mrg	Margi	1	None reported	11.0	13.0	Biu-Mandara	Afro-Asiatic	Nominal Syntax
mar	Maricopa	1	None reported	33.1666666667	-113.166666667	Yuman	Hokan	Nominal Syntax
mrh	Marrithiyel	1	None reported	-13.8333333333	130.0	Bringen	Western Daly	Nominal Syntax
mrt	Martuthunira	1	None reported	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Syntax
mau	Maung	1	None reported	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Nominal Syntax
may	Maybrat	1	None reported	-1.33333333333	132.5	North-Central Bird's Head	West Papuan	Nominal Syntax
mei	Meithei	1	None reported	24.75	94.0	Kuki-Chin	Sino-Tibetan	Nominal Syntax
mss	Miwok (Southern Sierra)	1	None reported	37.5	-120.0	Miwok	Penutian	Nominal Syntax
mxc	Mixtec (Chalcatongo)	1	None reported	17.05	-97.5833333333	Mixtecan	Oto-Manguean	Nominal Syntax
mot	Motuna	1	None reported	-6.61666666667	155.416666667	East Bougainville	East Bougainville	Nominal Syntax
mpa	Murrinh-Patha	1	None reported	-14.6666666667	129.666666667	Murrinh-Patha	Southern Daly	Nominal Syntax
nah	Nahali	1	None reported	19.75	77.8333333333	Nahali	Nahali	Nominal Syntax
nkk	Nakkara	1	None reported	-12.1166666667	134.416666667	Nakkara	Mangrida	Nominal Syntax
nai	Nanai	1	None reported	49.5	137.0	Tungusic	Altaic	Nominal Syntax
nan	Nandi	1	None reported	0.25	35.0	Nilotic	Eastern Sudanic	Nominal Syntax
nar	Nara (in Ethiopia)	1	None reported	15.0833333333	37.5833333333	Nara	Eastern Sudanic	Nominal Syntax
nen	Nenets	1	None reported	69.0	72.0	Samoyedic	Uralic	Nominal Syntax
nez	Nez Perce	1	None reported	46.0	-116.0	Sahaptian	Penutian	Nominal Syntax
ngi	Ngiyambaa	1	None reported	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Syntax
nca	Nicobarese (Car)	1	None reported	9.0	93.0	Nicobarese	Austro-Asiatic	Nominal Syntax
nim	Nimboran	1	None reported	-2.5	140.166666667	Nimboran	Nimboran	Nominal Syntax
nbd	Nubian (Dongolese)	1	None reported	18.25	30.75	Nubian	Eastern Sudanic	Nominal Syntax
nug	Nunggubuyu	1	None reported	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Nominal Syntax
nyn	Nyigina	1	None reported	-18.0	124.333333333	Nyulnyulan	Nyulnyulan	Nominal Syntax
ond	Oneida	1	None reported	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Nominal Syntax
ori	Orig	1	None reported	12.1666666667	30.8333333333	Rashad	Kordofanian	Nominal Syntax
orh	Oromo (Harar)	1	None reported	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Nominal Syntax
oss	Ossetic	1	None reported	43.0	44.0	Iranian	Indo-European	Nominal Syntax
otm	Otomí (Mezquital)	1	None reported	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Nominal Syntax
pms	Paamese	3	Two to four	-16.5	168.25	Oceanic	Austronesian	Nominal Syntax
pai	Paiwan	1	None reported	22.5	120.833333333	Paiwan	Austronesian	Nominal Syntax
pnr	Panare	4	Five or more	6.5	-66.0	Cariban	Cariban	Nominal Syntax
pau	Paumarí	1	None reported	-6.0	-64.0	Arauan	Arauan	Nominal Syntax
pwn	Pawnee	1	None reported	41.0	-98.6666666667	Caddoan	Caddoan	Nominal Syntax
prs	Persian	1	None reported	32.0	54.0	Iranian	Indo-European	Nominal Syntax
prh	Pirahã	1	None reported	-7.0	-62.0	Mura	Mura	Nominal Syntax
poh	Pohnpeian	4	Five or more	6.88333333333	158.25	Oceanic	Austronesian	Nominal Syntax
pso	Pomo (Southeastern)	1	None reported	39.0	-122.5	Pomoan	Hokan	Nominal Syntax
qim	Quechua (Imbabura)	1	None reported	0.333333333333	-78.0	Quechuan	Quechuan	Nominal Syntax
qui	Quileute	1	None reported	47.9166666667	-124.25	Chimakuan	Chimakuan	Nominal Syntax
ram	Rama	1	None reported	11.75	-83.75	Rama	Chibchan	Nominal Syntax
rap	Rapanui	1	None reported	-27.1166666667	-109.366666667	Oceanic	Austronesian	Nominal Syntax
res	Resígaro	1	None reported	-2.41666666667	-71.5	Inland Northern Arawakan	Arawakan	Nominal Syntax
rus	Russian	1	None reported	56.0	38.0	Slavic	Indo-European	Nominal Syntax
sah	Sahu	1	None reported	1.16666666667	127.5	North Halmaheran	West Papuan	Nominal Syntax
sal	Salinan	1	None reported	36.0	-121.0	Salinan	Salinan	Nominal Syntax
syu	Salt-Yui	1	None reported	-6.28333333333	145.033333333	Chimbu	Trans-New Guinea	Nominal Syntax
sam	Samoan	1	None reported	-13.9166666667	-171.833333333	Oceanic	Austronesian	Nominal Syntax
san	Sango	1	None reported	5.0	18.0	Ubangi	Niger-Congo	Nominal Syntax
snm	Sanuma	1	None reported	4.5	-64.6666666667	Yanomam	Yanomam	Nominal Syntax
snt	Sentani	1	None reported	-2.58333333333	140.583333333	Sentani	Sentani	Nominal Syntax
siu	Siuslaw	1	None reported	44.0	-124.0	Siuslawan	Oregon Coast	Nominal Syntax
sla	Slave	1	None reported	67.0	-125.0	Athapaskan	Na-Dene	Nominal Syntax
spa	Spanish	1	None reported	40.0	-4.0	Romance	Indo-European	Nominal Syntax
squ	Squamish	1	None reported	49.6666666667	-123.166666667	Central Salish	Salishan	Nominal Syntax
sue	Suena	1	None reported	-7.75	147.55	Binanderean	Trans-New Guinea	Nominal Syntax
sul	Sulka	1	None reported	-5.08333333333	151.916666667	Sulka	Sulka	Nominal Syntax
sup	Supyire	1	None reported	11.5	-5.58333333333	Gur	Niger-Congo	Nominal Syntax
swa	Swahili	1	None reported	-6.5	39.0	Bantoid	Niger-Congo	Nominal Syntax
tag	Tagalog	1	None reported	15.0	121.0	Greater Central Philippine	Austronesian	Nominal Syntax
tkl	Takelma	1	None reported	42.5	-123.0	Takelma	Takelma	Nominal Syntax
tgp	Tanglapui	1	None reported	-8.28333333333	125.083333333	Kolana-Tanglapui	Timor-Alor-Pantar	Nominal Syntax
tau	Tauya	1	None reported	-5.75	145.333333333	Madang	Trans-New Guinea	Nominal Syntax
taw	Tawala	1	None reported	-10.3333333333	150.666666667	Oceanic	Austronesian	Nominal Syntax
tht	Tehit	1	None reported	-1.5	132.0	West Bird's Head	West Papuan	Nominal Syntax
tlf	Telefol	1	None reported	-5.0	141.75	Ok	Trans-New Guinea	Nominal Syntax
ter	Tera	1	None reported	11.0	11.8333333333	Biu-Mandara	Afro-Asiatic	Nominal Syntax
tha	Thai	1	None reported	16.0	101.0	Kam-Tai	Tai-Kadai	Nominal Syntax
tib	Tibetan (Standard Spoken)	1	None reported	30.0	91.0	Bodic	Sino-Tibetan	Nominal Syntax
tiw	Tiwi	1	None reported	-11.5	131.0	Tiwian	Tiwian	Nominal Syntax
tli	Tlingit	1	None reported	59.0	-135.0	Tlingit	Na-Dene	Nominal Syntax
ton	Tonkawa	1	None reported	30.25	-96.75	Tonkawa	Tonkawa	Nominal Syntax
tot	Totonac (Misantla)	1	None reported	19.9166666667	-96.9166666667	Totonacan	Totonacan	Nominal Syntax
tru	Trumai	2	One	-11.9166666667	-53.5833333333	Trumai	Trumai	Nominal Syntax
tuk	Tukang Besi	1	None reported	-5.5	123.5	Celebic	Austronesian	Nominal Syntax
tun	Tunica	1	None reported	32.6666666667	-91.0	Tunica	Tunica	Nominal Syntax
tur	Turkish	1	None reported	39.0	35.0	Turkic	Altaic	Nominal Syntax
tuv	Tuvan	1	None reported	52.0	95.0	Turkic	Altaic	Nominal Syntax
ung	Ungarinjin	1	None reported	-16.3333333333	126.0	Worrorran	Worrorran	Nominal Syntax
uhi	Uradhi	1	None reported	-11.9166666667	142.416666667	Northern Pama-Nyungan	Pama-Nyungan	Nominal Syntax
vie	Vietnamese	1	None reported	10.5	106.5	Viet-Muong	Austro-Asiatic	Nominal Syntax
wap	Wappo	1	None reported	38.5	-122.5	Wappo	Wappo-Yukian	Nominal Syntax
wra	Warao	1	None reported	9.33333333333	-61.6666666667	Warao	Warao	Nominal Syntax
wry	Waray (in Australia)	1	None reported	-13.1666666667	131.25	Warayic	Gunwinyguan	Nominal Syntax
war	Wari'	1	None reported	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Nominal Syntax
wrs	Waris	1	None reported	-3.16666666667	141.0	Border	Border	Nominal Syntax
wrl	Warlpiri	1	None reported	-20.0	132.333333333	Western Pama-Nyungan	Pama-Nyungan	Nominal Syntax
wrn	Warndarang	1	None reported	-14.4166666667	135.583333333	Warndarang	Mangarrayi-Maran	Nominal Syntax
was	Washo	2	One	39.25	-120.0	Washo	Washo	Nominal Syntax
wsk	Waskia	1	None reported	-4.5	146.0	Madang	Trans-New Guinea	Nominal Syntax
wem	Wembawemba	1	None reported	-35.3333333333	144.0	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Syntax
wic	Wichita	1	None reported	33.3333333333	-97.3333333333	Caddoan	Caddoan	Nominal Syntax
wch	Wichí	1	None reported	-22.5	-62.5833333333	Matacoan	Matacoan	Nominal Syntax
win	Wintu	1	None reported	41.0	-122.5	Wintuan	Penutian	Nominal Syntax
yag	Yagua	1	None reported	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Nominal Syntax
yli	Yali	1	None reported	-4.0	139.333333333	Dani	Trans-New Guinea	Nominal Syntax
yaq	Yaqui	1	None reported	27.5	-110.25	Cahita	Uto-Aztecan	Nominal Syntax
yes	Yessan-Mayo	1	None reported	-4.16666666667	142.583333333	Tama Sepik	Sepik	Nominal Syntax
yim	Yimas	1	None reported	-4.66666666667	143.55	Lower Sepik	Lower Sepik-Ramu	Nominal Syntax
yor	Yoruba	1	None reported	8.0	4.33333333333	Defoid	Niger-Congo	Nominal Syntax
yuc	Yuchi	1	None reported	35.75	-86.75	Yuchi	Yuchi	Nominal Syntax
yko	Yukaghir (Kolyma)	1	None reported	65.75	150.833333333	Yukaghir	Yukaghir	Nominal Syntax
yur	Yurok	1	None reported	41.3333333333	-124.0	Yurok	Algic	Nominal Syntax
zqc	Zoque (Copainalá)	1	None reported	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Nominal Syntax
zul	Zulu	1	None reported	-30.0	30.0	Bantoid	Niger-Congo	Nominal Syntax
