Leon Stassen. 2013. Noun Phrase Conjunction.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/63, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	'And' different from 'with'	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
ace	Acehnese	2	'And' identical to 'with'	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Syntax
acl	Acholi	2	'And' identical to 'with'	3.0	32.6666666667	Nilotic	Eastern Sudanic	Nominal Syntax
ahu	Aghu	1	'And' different from 'with'	-6.16666666667	140.166666667	Awju-Dumut	Trans-New Guinea	Nominal Syntax
ain	Ainu	1	'And' different from 'with'	43.0	143.0	Ainu	Ainu	Nominal Syntax
akn	Akan	2	'And' identical to 'with'	6.5	-1.25	Kwa	Niger-Congo	Nominal Syntax
abm	Alabama	1	'And' different from 'with'	32.3333333333	-87.4166666667	Muskogean	Muskogean	Nominal Syntax
ala	Alamblak	1	'And' different from 'with'	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Syntax
alb	Albanian	1	'And' different from 'with'	41.0	20.0	Albanian	Indo-European	Nominal Syntax
ale	Aleut	1	'And' different from 'with'	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Syntax
ame	Amele	2	'And' identical to 'with'	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Syntax
amh	Amharic	1	'And' different from 'with'	10.0	38.0	Semitic	Afro-Asiatic	Nominal Syntax
adk	Andoke	1	'And' different from 'with'	-0.666666666667	-72.0	Andoke	Andoke	Nominal Syntax
apl	Apalaí	2	'And' identical to 'with'	0.0	-54.0	Cariban	Cariban	Nominal Syntax
aeg	Arabic (Egyptian)	1	'And' different from 'with'	30.0	31.0	Semitic	Afro-Asiatic	Nominal Syntax
arc	Archi	1	'And' different from 'with'	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Nominal Syntax
arm	Armenian (Eastern)	1	'And' different from 'with'	40.0	45.0	Armenian	Indo-European	Nominal Syntax
amp	Arrernte (Mparntwe)	1	'And' different from 'with'	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Syntax
asm	Asmat	1	'And' different from 'with'	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Nominal Syntax
ava	Avar	1	'And' different from 'with'	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
awt	Awtuw	1	'And' different from 'with'	-3.58333333333	142.0	Ram	Sepik	Nominal Syntax
bab	Babungo	2	'And' identical to 'with'	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Nominal Syntax
bam	Bambara	1	'And' different from 'with'	12.5	-7.5	Western Mande	Mande	Nominal Syntax
bgg	Banggai	2	'And' identical to 'with'	-1.41666666667	123.166666667	Celebic	Austronesian	Nominal Syntax
