Martin Haspelmath. 2013. Nominal and Verbal Conjunction.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/64, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Identity	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
abu	Abun	1	Identity	-0.5	132.5	North-Central Bird's Head	West Papuan	Nominal Syntax
ace	Acehnese	1	Identity	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Syntax
aco	Acoma	1	Identity	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Syntax
aga	Agarabi	2	Differentiation	-6.16666666667	146.0	Eastern Highlands	Trans-New Guinea	Nominal Syntax
ain	Ainu	2	Differentiation	43.0	143.0	Ainu	Ainu	Nominal Syntax
ala	Alamblak	2	Differentiation	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Syntax
aly	Alyawarra	2	Differentiation	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Syntax
aml	Ambae (Lolovoli Northeast)	1	Identity	-15.4166666667	167.883333333	Oceanic	Austronesian	Nominal Syntax
ame	Amele	2	Differentiation	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Syntax
apu	Apurinã	3	Both expressed by juxtaposition	-9.0	-67.0	Purus	Arawakan	Nominal Syntax
aeg	Arabic (Egyptian)	1	Identity	30.0	31.0	Semitic	Afro-Asiatic	Nominal Syntax
ana	Araona	3	Both expressed by juxtaposition	-12.3333333333	-67.75	Tacanan	Tacanan	Nominal Syntax
ara	Arawak	1	Identity	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Nominal Syntax
alk	Arop-Lokep	1	Identity	-5.38333333333	147.05	Oceanic	Austronesian	Nominal Syntax
amp	Arrernte (Mparntwe)	3	Both expressed by juxtaposition	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Syntax
bab	Babungo	2	Differentiation	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Nominal Syntax
bdm	Badimaya	2	Differentiation	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Syntax
bag	Bagirmi	2	Differentiation	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Syntax
bak	Baka (in Cameroon)	2	Differentiation	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Nominal Syntax
bvi	Bali-Vitu	2	Differentiation	-4.9	149.116666667	Oceanic	Austronesian	Nominal Syntax
bnn	Banoni	2	Differentiation	-6.41666666667	155.25	Oceanic	Austronesian	Nominal Syntax
bsq	Basque	1	Identity	43.0	-3.0	Basque	Basque	Nominal Syntax
bkr	Batak (Karo)	1	Identity	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Syntax
baw	Bawm	1	Identity	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Syntax
bma	Berber (Middle Atlas)	2	Differentiation	33.0	-5.0	Berber	Afro-Asiatic	Nominal Syntax
bbw	Bininj Gun-Wok	1	Identity	-12.5	133.75	Gunwinygic	Gunwinyguan	Nominal Syntax
boz	Bozo (Tigemaxo)	1	Identity	15.0	-4.0	Western Mande	Mande	Nominal Syntax
brh	Brahui	1	Identity	28.5	67.0	Northern Dravidian	Dravidian	Nominal Syntax
bkt	Brokskat	2	Differentiation	35.3333333333	76.5	Indic	Indo-European	Nominal Syntax
bud	Buduma	2	Differentiation	13.5	14.5	Biu-Mandara	Afro-Asiatic	Nominal Syntax
bum	Buma	1	Identity	-11.6333333333	166.833333333	Oceanic	Austronesian	Nominal Syntax
bur	Burushaski	1	Identity	36.5	74.5	Burushaski	Burushaski	Nominal Syntax
bus	Busa	2	Differentiation	9.66666666667	4.0	Eastern Mande	Mande	Nominal Syntax
cah	Cahuilla	1	Identity	33.5	-116.25	California Uto-Aztecan	Uto-Aztecan	Nominal Syntax
ckr	Canela-Krahô	2	Differentiation	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Nominal Syntax
cnt	Cantonese	2	Differentiation	23.0	113.0	Chinese	Sino-Tibetan	Nominal Syntax
cyg	Cayuga	2	Differentiation	42.75	-76.75	Northern Iroquoian	Iroquoian	Nominal Syntax
cha	Chamorro	1	Identity	13.45	144.75	Chamorro	Austronesian	Nominal Syntax
chc	Chechen	1	Identity	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Nominal Syntax
cmh	Chemehuevi	2	Differentiation	34.3333333333	-115.166666667	Numic	Uto-Aztecan	Nominal Syntax
cic	Chichewa	1	Identity	-14.0	34.0	Bantoid	Niger-Congo	Nominal Syntax
cch	Chocho	2	Differentiation	17.6666666667	-97.4166666667	Popolocan	Oto-Manguean	Nominal Syntax
chk	Chukchi	1	Identity	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Syntax
coa	Coahuilteco	1	Identity	28.0	-100.0	Coahuiltecan	Coahuiltecan	Nominal Syntax
coo	Coos (Hanis)	1	Identity	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Syntax
cop	Coptic	2	Differentiation	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Nominal Syntax
dgb	Dagbani	2	Differentiation	9.58333333333	-0.5	Gur	Niger-Congo	Nominal Syntax
drg	Dargwa	1	Identity	42.25	47.4166666667	Lak-Dargwa	Nakh-Daghestanian	Nominal Syntax
deg	Degema	2	Differentiation	4.75	6.75	Edoid	Niger-Congo	Nominal Syntax
dha	Dhaasanac	2	Differentiation	4.66666666667	36.3333333333	Lowland East Cushitic	Afro-Asiatic	Nominal Syntax
dhi	Dhivehi	2	Differentiation	4.16666666667	73.5	Indic	Indo-European	Nominal Syntax
dja	Djabugay	2	Differentiation	-16.75	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Syntax
doy	Doyayo	2	Differentiation	8.66666666667	13.0833333333	Adamawa	Niger-Congo	Nominal Syntax
dre	Drehu	2	Differentiation	-21.0	167.25	Oceanic	Austronesian	Nominal Syntax
dug	Dullay (Gollango)	1	Identity	5.5	37.25	Lowland East Cushitic	Afro-Asiatic	Nominal Syntax
eng	English	1	Identity	52.0	0.0	Germanic	Indo-European	Nominal Syntax
err	Erromangan	1	Identity	-18.8333333333	169.166666667	Oceanic	Austronesian	Nominal Syntax
eve	Evenki	1	Identity	56.0	125.0	Tungusic	Altaic	Nominal Syntax
ewo	Ewondo	2	Differentiation	4.0	12.0	Bantoid	Niger-Congo	Nominal Syntax
fij	Fijian	2	Differentiation	-17.8333333333	178.0	Oceanic	Austronesian	Nominal Syntax
fin	Finnish	1	Identity	62.0	25.0	Finnic	Uralic	Nominal Syntax
fon	Fongbe	2	Differentiation	6.41666666667	2.16666666667	Kwa	Niger-Congo	Nominal Syntax
fre	French	1	Identity	48.0	2.0	Romance	Indo-European	Nominal Syntax
gap	Gapapaiwa	1	Identity	-9.75	149.833333333	Oceanic	Austronesian	Nominal Syntax
gar	Garo	1	Identity	25.6666666667	90.5	Bodo-Garo	Sino-Tibetan	Nominal Syntax
geo	Georgian	1	Identity	42.0	44.0	Kartvelian	Kartvelian	Nominal Syntax
ger	German	1	Identity	52.0	10.0	Germanic	Indo-European	Nominal Syntax
gol	Gola	1	Identity	7.25	-10.8333333333	Mel	Niger-Congo	Nominal Syntax
goo	Gooniyandi	3	Both expressed by juxtaposition	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Syntax
grk	Greek (Modern)	1	Identity	39.0	22.0	Greek	Indo-European	Nominal Syntax
grw	Greenlandic (West)	1	Identity	64.0	-51.0	Eskimo	Eskimo-Aleut	Nominal Syntax
gua	Guaraní	1	Identity	-26.0	-56.0	Tupi-Guaraní	Tupian	Nominal Syntax
guj	Gujarati	1	Identity	23.0	72.0	Indic	Indo-European	Nominal Syntax
gnb	Gunbalang	1	Identity	-12.0	134.0	Gunwinygic	Gunwinyguan	Nominal Syntax
grg	Gurr-goni	1	Identity	-12.25	134.416666667	Burarran	Mangrida	Nominal Syntax
hai	Haida	2	Differentiation	53.0	-132.0	Haida	Haida	Nominal Syntax
ham	Hamtai	2	Differentiation	-7.5	146.25	Angan	Trans-New Guinea	Nominal Syntax
hat	Hatam	2	Differentiation	-1.0	134.0	Hatam	West Papuan	Nominal Syntax
hau	Hausa	2	Differentiation	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Syntax
haw	Hawaiian	1	Identity	19.5833333333	-155.5	Oceanic	Austronesian	Nominal Syntax
heb	Hebrew (Modern)	1	Identity	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Syntax
hin	Hindi	1	Identity	25.0	77.0	Indic	Indo-European	Nominal Syntax
hix	Hixkaryana	3	Both expressed by juxtaposition	-1.0	-59.0	Cariban	Cariban	Nominal Syntax
hmo	Hmong Njua	1	Identity	28.0	105.0	Hmong-Mien	Hmong-Mien	Nominal Syntax
hoa	Hoava	2	Differentiation	-8.08333333333	157.5	Oceanic	Austronesian	Nominal Syntax
hun	Hungarian	1	Identity	47.0	20.0	Ugric	Uralic	Nominal Syntax
hzb	Hunzib	1	Identity	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
ika	Ika	2	Differentiation	10.6666666667	-73.75	Arhuacic	Chibchan	Nominal Syntax
imo	Imonda	2	Differentiation	-3.33333333333	141.166666667	Border	Border	Nominal Syntax
ind	Indonesian	1	Identity	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Syntax
irq	Iraqw	1	Identity	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Syntax
ita	Italian	1	Identity	43.0	12.0	Romance	Indo-European	Nominal Syntax
itz	Itzaj	1	Identity	17.0	-89.8333333333	Mayan	Mayan	Nominal Syntax
jab	Jabêm	1	Identity	-6.58333333333	147.783333333	Oceanic	Austronesian	Nominal Syntax
jak	Jakaltek	2	Differentiation	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Syntax
jam	Jaminjung	3	Both expressed by juxtaposition	-15.0833333333	130.5	Jaminjungan	Mirndi	Nominal Syntax
jpn	Japanese	2	Differentiation	37.0	140.0	Japanese	Japanese	Nominal Syntax
juh	Ju|'hoan	2	Differentiation	-19.0	21.0	Ju-Kung	Kxa	Nominal Syntax
krr	Kairiru	2	Differentiation	-3.33333333333	143.583333333	Oceanic	Austronesian	Nominal Syntax
kgu	Kalkatungu	1	Identity	-21.0	139.5	Northern Pama-Nyungan	Pama-Nyungan	Nominal Syntax
kma	Kamaiurá	2	Differentiation	-12.0833333333	-52.5833333333	Tupi-Guaraní	Tupian	Nominal Syntax
kam	Kambera	1	Identity	-9.83333333333	120.166666667	Central Malayo-Polynesian	Austronesian	Nominal Syntax
kan	Kana	2	Differentiation	4.75	7.41666666667	Cross River	Niger-Congo	Nominal Syntax
knd	Kannada	2	Differentiation	14.0	76.0	Southern Dravidian	Dravidian	Nominal Syntax
knr	Kanuri	2	Differentiation	12.0	13.0	Western Saharan	Saharan	Nominal Syntax
kpw	Karen (Pwo)	1	Identity	13.0	99.1666666667	Karen	Sino-Tibetan	Nominal Syntax
krk	Karok	2	Differentiation	41.6666666667	-123.0	Karok	Karok	Nominal Syntax
kas	Kashmiri	1	Identity	34.0	76.0	Indic	Indo-European	Nominal Syntax
ker	Kera	1	Identity	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Nominal Syntax
ket	Ket	1	Identity	64.0	87.0	Yeniseian	Yeniseian	Nominal Syntax
kmh	Kham	1	Identity	28.5	82.75	Mahakiranti	Sino-Tibetan	Nominal Syntax
kty	Khanty	2	Differentiation	65.0	65.0	Ugric	Uralic	Nominal Syntax
khs	Khasi	1	Identity	25.5	92.0	Khasian	Austro-Asiatic	Nominal Syntax
kmu	Khmu'	2	Differentiation	21.0	102.0	Palaung-Khmuic	Austro-Asiatic	Nominal Syntax
kho	Khoekhoe	1	Identity	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Syntax
krb	Kiribati	2	Differentiation	1.33333333333	173.0	Oceanic	Austronesian	Nominal Syntax
koa	Koasati	2	Differentiation	34.8333333333	-85.1666666667	Muskogean	Muskogean	Nominal Syntax
kob	Kobon	2	Differentiation	-5.16666666667	144.333333333	Madang	Trans-New Guinea	Nominal Syntax
kol	Kolami	1	Identity	20.0	78.5	Central Dravidian	Dravidian	Nominal Syntax
kmb	Kombai	2	Differentiation	-5.58333333333	140.0	Awju-Dumut	Trans-New Guinea	Nominal Syntax
kor	Korean	2	Differentiation	37.5	128.0	Korean	Korean	Nominal Syntax
kku	Korku	1	Identity	22.5	78.5	Munda	Austro-Asiatic	Nominal Syntax
kfe	Koromfe	2	Differentiation	14.25	-0.916666666667	Gur	Niger-Congo	Nominal Syntax
krw	Korowai	1	Identity	-5.25	140.0	Awju-Dumut	Trans-New Guinea	Nominal Syntax
kse	Koyraboro Senni	2	Differentiation	16.0	0.0	Songhay	Songhay	Nominal Syntax
kro	Krongo	2	Differentiation	10.5	30.0	Kadugli	Kadu	Nominal Syntax
knc	Kugu Nganhcara	3	Both expressed by juxtaposition	-14.4166666667	142.0	Northern Pama-Nyungan	Pama-Nyungan	Nominal Syntax
kuk	Kukú	1	Identity	5.83333333333	31.6666666667	Nilotic	Eastern Sudanic	Nominal Syntax
kuo	Kuot	1	Identity	-3.05	151.5	Kuot	Kuot	Nominal Syntax
kut	Kutenai	1	Identity	49.5	-116.0	Kutenai	Kutenai	Nominal Syntax
kwa	Kwaio	1	Identity	-8.95	161.0	Oceanic	Austronesian	Nominal Syntax
kat	Kâte	1	Identity	-6.5	147.75	Finisterre-Huon	Trans-New Guinea	Nominal Syntax
lai	Lai	2	Differentiation	22.6666666667	93.6666666667	Kuki-Chin	Sino-Tibetan	Nominal Syntax
lak	Lak	1	Identity	42.1666666667	47.1666666667	Lak-Dargwa	Nakh-Daghestanian	Nominal Syntax
lkt	Lakhota	1	Identity	43.8333333333	-101.833333333	Core Siouan	Siouan	Nominal Syntax
lmg	Lamang	2	Differentiation	11.25	13.5833333333	Biu-Mandara	Afro-Asiatic	Nominal Syntax
lan	Lango	2	Differentiation	2.16666666667	33.0	Nilotic	Eastern Sudanic	Nominal Syntax
lat	Latvian	1	Identity	57.0	24.0	Baltic	Indo-European	Nominal Syntax
lav	Lavukaleve	1	Identity	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Nominal Syntax
laz	Laz	1	Identity	41.5	41.5	Kartvelian	Kartvelian	Nominal Syntax
lel	Lele	2	Differentiation	9.08333333333	15.5833333333	East Chadic	Afro-Asiatic	Nominal Syntax
lep	Lepcha	2	Differentiation	27.1666666667	88.5	Lepcha	Sino-Tibetan	Nominal Syntax
lez	Lezgian	1	Identity	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Nominal Syntax
lil	Lillooet	2	Differentiation	50.75	-122.0	Interior Salish	Salishan	Nominal Syntax
lgu	Longgu	1	Identity	-9.75	160.666666667	Oceanic	Austronesian	Nominal Syntax
lug	Lugbara	2	Differentiation	3.08333333333	30.9166666667	Moru-Ma'di	Central Sudanic	Nominal Syntax
luv	Luvale	2	Differentiation	-12.0	22.0	Bantoid	Niger-Congo	Nominal Syntax
mad	Ma'di	2	Differentiation	3.25	31.5	Moru-Ma'di	Central Sudanic	Nominal Syntax
mle	Maale	2	Differentiation	6.0	36.9166666667	North Omotic	Afro-Asiatic	Nominal Syntax
mdr	Madurese	1	Identity	-7.0	113.5	Malayo-Sumbawan	Austronesian	Nominal Syntax
mai	Maithili	1	Identity	26.0	86.0	Indic	Indo-European	Nominal Syntax
mym	Malayalam	1	Identity	10.0	76.5	Southern Dravidian	Dravidian	Nominal Syntax
mam	Mam	1	Identity	15.0	-91.8333333333	Mayan	Mayan	Nominal Syntax
mnd	Mandarin	2	Differentiation	34.0	110.0	Chinese	Sino-Tibetan	Nominal Syntax
myi	Mangarrayi	2	Differentiation	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Nominal Syntax
mgg	Mangghuer	2	Differentiation	36.0	102.0	Mongolic	Altaic	Nominal Syntax
mao	Maori	2	Differentiation	-40.0	176.0	Oceanic	Austronesian	Nominal Syntax
map	Mapudungun	1	Identity	-38.0	-72.0	Araucanian	Araucanian	Nominal Syntax
mhi	Marathi	1	Identity	19.0	76.0	Indic	Indo-European	Nominal Syntax
