Matthew S. Dryer. 2013. Order of Relative Clause and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/90, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Relative clause-Noun (RelN) dominant	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
acn	Achang	1	Relative clause-Noun (RelN) dominant	25.0	98.5	Burmese-Lolo	Sino-Tibetan	Word Order
ain	Ainu	1	Relative clause-Noun (RelN) dominant	43.0	143.0	Ainu	Ainu	Word Order
akh	Akha	1	Relative clause-Noun (RelN) dominant	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
ala	Alamblak	1	Relative clause-Noun (RelN) dominant	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
amb	Ambulas	1	Relative clause-Noun (RelN) dominant	-3.83333333333	143.0	Middle Sepik	Sepik	Word Order
amt	Amdo (Themchen)	3	RelN or internally-headed	38.0	98.0	Bodic	Sino-Tibetan	Word Order
amh	Amharic	1	Relative clause-Noun (RelN) dominant	10.0	38.0	Semitic	Afro-Asiatic	Word Order
ami	Amis	1	Relative clause-Noun (RelN) dominant	23.3333333333	121.333333333	East Formosan	Austronesian	Word Order
ao	Ao	3	RelN or internally-headed	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
apt	Apatani	1	Relative clause-Noun (RelN) dominant	27.5	93.75	Tani	Sino-Tibetan	Word Order
ara	Arawak	2	RelN or NRel	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Word Order
arm	Armenian (Eastern)	2	RelN or NRel	40.0	45.0	Armenian	Indo-European	Word Order
asm	Asmat	1	Relative clause-Noun (RelN) dominant	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Word Order
ath	Athpare	1	Relative clause-Noun (RelN) dominant	27.0	87.3333333333	Mahakiranti	Sino-Tibetan	Word Order
awa	Awa	1	Relative clause-Noun (RelN) dominant	-6.66666666667	145.75	Eastern Highlands	Trans-New Guinea	Word Order
awt	Awtuw	1	Relative clause-Noun (RelN) dominant	-3.58333333333	142.0	Ram	Sepik	Word Order
azi	Azari (Iranian)	2	RelN or NRel	37.5	47.0	Turkic	Altaic	Word Order
bai	Bai	1	Relative clause-Noun (RelN) dominant	26.0	100.0	Bai	Sino-Tibetan	Word Order
blt	Balti	1	Relative clause-Noun (RelN) dominant	35.0	76.0	Bodic	Sino-Tibetan	Word Order
brl	Baragaunle	1	Relative clause-Noun (RelN) dominant	28.8333333333	83.8333333333	Bodic	Sino-Tibetan	Word Order
bsk	Bashkir	1	Relative clause-Noun (RelN) dominant	53.0	58.0	Turkic	Altaic	Word Order
bsq	Basque	1	Relative clause-Noun (RelN) dominant	43.0	-3.0	Basque	Basque	Word Order
baw	Bawm	3	RelN or internally-headed	22.5	92.25	Kuki-Chin	Sino-Tibetan	Word Order
bel	Belhare	1	Relative clause-Noun (RelN) dominant	26.9666666667	87.3	Mahakiranti	Sino-Tibetan	Word Order
bil	Bilua	2	RelN or NRel	-7.75	156.666666667	Bilua	Solomons East Papuan	Word Order
bla	Blackfoot	2	RelN or NRel	50.0	-112.666666667	Algonquian	Algic	Word Order
bod	Bodo	1	Relative clause-Noun (RelN) dominant	26.8333333333	92.0	Bodo-Garo	Sino-Tibetan	Word Order
brm	Burmese	1	Relative clause-Noun (RelN) dominant	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Word Order
bur	Burushaski	1	Relative clause-Noun (RelN) dominant	36.5	74.5	Burushaski	Burushaski	Word Order
bya	Byansi	3	RelN or internally-headed	30.1666666667	80.5	Bodic	Sino-Tibetan	Word Order
cml	Camling	1	Relative clause-Noun (RelN) dominant	27.0	86.6666666667	Mahakiranti	Sino-Tibetan	Word Order
cnt	Cantonese	1	Relative clause-Noun (RelN) dominant	23.0	113.0	Chinese	Sino-Tibetan	Word Order
chh	Chaha	1	Relative clause-Noun (RelN) dominant	8.112935	37.93267	Semitic	Afro-Asiatic	Word Order
chg	Chang	3	RelN or internally-headed	26.3333333333	94.75	Northern Naga	Sino-Tibetan	Word Order
chn	Chantyal	1	Relative clause-Noun (RelN) dominant	28.5833333333	83.4166666667	Bodic	Sino-Tibetan	Word Order
chc	Chechen	1	Relative clause-Noun (RelN) dominant	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Word Order
cpn	Chepang	1	Relative clause-Noun (RelN) dominant	27.6666666667	84.75	Mahakiranti	Sino-Tibetan	Word Order
che	Cherokee	1	Relative clause-Noun (RelN) dominant	35.5	-83.5	Southern Iroquoian	Iroquoian	Word Order
chs	Chin (Siyin)	1	Relative clause-Noun (RelN) dominant	23.8333333333	94.0	Kuki-Chin	Sino-Tibetan	Word Order
cpy	Chipaya	1	Relative clause-Noun (RelN) dominant	-18.75	-67.8333333333	Uru-Chipaya	Uru-Chipaya	Word Order
chk	Chukchi	2	RelN or NRel	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
chv	Chuvash	1	Relative clause-Noun (RelN) dominant	55.5	47.5	Turkic	Altaic	Word Order
dgr	Dagur	1	Relative clause-Noun (RelN) dominant	48.0	124.0	Mongolic	Altaic	Word Order
drg	Dargwa	1	Relative clause-Noun (RelN) dominant	42.25	47.4166666667	Lak-Dargwa	Nakh-Daghestanian	Word Order
drm	Darma	4	RelN or correlative	30.0	79.75	Bodic	Sino-Tibetan	Word Order
dhm	Dhimal	1	Relative clause-Noun (RelN) dominant	26.6666666667	87.75	Dhimalic	Sino-Tibetan	Word Order
dhi	Dhivehi	1	Relative clause-Noun (RelN) dominant	4.16666666667	73.5	Indic	Indo-European	Word Order
dig	Digaro	1	Relative clause-Noun (RelN) dominant	28.4166666667	96.0	Digaroan	Sino-Tibetan	Word Order
dms	Dimasa	1	Relative clause-Noun (RelN) dominant	25.5	93.0	Bodo-Garo	Sino-Tibetan	Word Order
dlm	Dla (Menggwa)	3	RelN or internally-headed	-3.55	141.033333333	Senagi	Senagi	Word Order
eip	Eipo	1	Relative clause-Noun (RelN) dominant	-4.33333333333	140.083333333	Mek	Trans-New Guinea	Word Order
evn	Even	1	Relative clause-Noun (RelN) dominant	68.0	130.0	Tungusic	Altaic	Word Order
eve	Evenki	1	Relative clause-Noun (RelN) dominant	56.0	125.0	Tungusic	Altaic	Word Order
gah	Gahuku	2	RelN or NRel	-6.0	145.416666667	Eastern Highlands	Trans-New Guinea	Word Order
gal	Galo	1	Relative clause-Noun (RelN) dominant	28.1666666667	94.6666666667	Tani	Sino-Tibetan	Word Order
