Matthew S. Dryer. 2013. Relationship between the Order of Object and Verb and the Order of Adjective and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/97, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	4	VO and NAdj	-24.0	21.5	Tu	Tu	Word Order
ani	//Ani	5	Other	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
xam	/Xam	4	VO and NAdj	-31.0	21.0	Tu	Tu	Word Order
huc	=|Hoan	4	VO and NAdj	-25.5	25.0	=|Hoan	Kxa	Word Order
aar	Aari	2	OV and NAdj	6.0	36.5833333333	South Omotic	Afro-Asiatic	Word Order
abi	Abipón	5	Other	-29.0	-61.0	South Guaicuruan	Guaicuruan	Word Order
abk	Abkhaz	2	OV and NAdj	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	2	OV and NAdj	-8.25	124.666666667	Greater Alor	Timor-Alor-Pantar	Word Order
abu	Abun	4	VO and NAdj	-0.5	132.5	North-Central Bird's Head	West Papuan	Word Order
ace	Acehnese	5	Other	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
acg	Achagua	4	VO and NAdj	4.41666666667	-72.25	Inland Northern Arawakan	Arawakan	Word Order
acn	Achang	5	Other	25.0	98.5	Burmese-Lolo	Sino-Tibetan	Word Order
acl	Acholi	4	VO and NAdj	3.0	32.6666666667	Nilotic	Eastern Sudanic	Word Order
aco	Acoma	5	Other	34.9166666667	-107.583333333	Keresan	Keresan	Word Order
adg	Adang	2	OV and NAdj	-8.2	124.0	Greater Alor	Timor-Alor-Pantar	Word Order
adi	Adioukrou	4	VO and NAdj	5.41666666667	-4.58333333333	Kwa	Niger-Congo	Word Order
ady	Adyghe (Abzakh)	2	OV and NAdj	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	Word Order
adn	Adynyamathanha	5	Other	-30.5	139.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
adz	Adzera	4	VO and NAdj	-6.25	146.25	Oceanic	Austronesian	Word Order
awi	Aekyom	2	OV and NAdj	-5.75	141.416666667	Awin-Pare	Awin-Pare	Word Order
aga	Agarabi	1	OV and AdjN	-6.16666666667	146.0	Eastern Highlands	Trans-New Guinea	Word Order
