"feature","featurereal","id","nn","famagr","dist"
36,"4A","xoo","kho",0,390.789241648108
36,"4A","ani","juh",0,96.843777524595
36,"4A","abi","gua",0,595.27093721863
36,"4A","abk","kab",1,207.567020778754
36,"4A","acm","klm",0,118.622299354145
36,"4A","ach","gua",1,118.046980590574
36,"4A","aco","zun",0,115.354514389261
36,"4A","adz","gds",0,27.6335051424909
36,"4A","agh","non",1,70.181591779868
36,"4A","aht","eya",1,166.792389966838
36,"4A","aik","nmb",0,194.715926917022
36,"4A","ain","jpn",0,714.299857961365
36,"4A","aiz","ald",1,20.6515393138483
36,"4A","akn","ga",1,151.439716936062
36,"4A","akw","wps",0,374.771650208481
36,"4A","abm","cck",1,193.113737038702
36,"4A","ala","yim",0,24.0123655952362
36,"4A","alw","myi",1,97.9035264600109
36,"4A","alb","grk",1,280.124187852244
36,"4A","aea","yus",1,1242.67160390905
36,"4A","ald","aiz",1,20.6515393138483
36,"4A","amc","cax",0,233.621082615416
36,"4A","ame","usa",1,65.3955366414647
36,"4A","amh","awn",1,172.766638331447
36,"4A","amo","bir",1,76.3435803331895
36,"4A","amz","mxm",1,48.0445849735749
36,"4A","adk","mui",0,66.8148768897275
36,"4A","ant","ham",1,31.5052292155876
36,"4A","anc","fye",0,20.4909471177959
36,"4A","ao","nis",1,154.076366264298
36,"4A","api","ckr",1,228.14802272446
36,"4A","apu","war",0,339.449150114451
36,"4A","arb","wao",0,185.282726600267
36,"4A","aeg","hba",1,442.664582172908
36,"4A","ana","tac",1,132.526710166505
36,"4A","arp","kwo",0,90.5293135594034
36,"4A","arc","lak",1,33.1688148416632
36,"4A","arm","geo",0,237.69177347869
36,"4A","amp","kgu",1,490.41795565665
36,"4A","asm","dni",1,134.880965033823
36,"4A","ata","tso",1,125.997744333459
36,"4A","ava","hzb",1,42.3805037785083
36,"4A","awp","cay",1,124.654097732078
36,"4A","awn","amh",1,172.766638331447
36,"4A","aym","qco",0,323.390629947457
36,"4A","aze","lez",0,141.247785549276
36,"4A","bag","ktk",0,81.5513343044464
36,"4A","bai","nax",1,166.792389966838
36,"4A","bng","tgk",0,246.604172090793
36,"4A","baj","tuk",1,141.058376216404
36,"4A","bki","tru",0,277.899580024109
36,"4A","bam","sup",0,236.264897268358
36,"4A","byu","ngi",1,839.334260791161
36,"4A","brd","ung",0,329.972584375853
36,"4A","brb","yor",1,299.989281162979
36,"4A","bsk","chv",1,735.684340659299
36,"4A","bsq","spa",0,343.815347227513
36,"4A","bkr","bto",1,117.865405556657
36,"4A","bto","bkr",1,117.865405556657
36,"4A","baw","cti",1,172.155624314318
36,"4A","bee","tks",1,182.034907983258
36,"4A","bej","tgr",1,313.520302419499
36,"4A","bco","tsi",0,157.93922228754
36,"4A","ben","gar",0,192.069976722568
36,"4A","bma","tas",1,222.389853289118
36,"4A","ber","igs",0,148.75200128417
36,"4A","bir","fye",1,55.5925129646831
36,"4A","bis","tmp",0,120.80418606069
36,"4A","bbf","sup",0,169.937640345717
36,"4A","bod","khs",0,148.259902189038
36,"4A","brr","bki",0,309.185183125242
36,"4A","brh","sdh",0,341.106414796207
36,"4A","bra","sed",1,91.6106273806199
36,"4A","bre","fre",1,371.954432347418
36,"4A","bri","ram",1,272.095743818651
36,"4A","brw","pac",1,251.408369582273
36,"4A","bul","rom",1,389.182243255955
36,"4A","bua","mau",0,123.485888836135
36,"4A","brm","sha",0,234.895995310678
36,"4A","bur","kal",0,211.497615459505
36,"4A","bet","aiz",1,223.26872584472
36,"4A","cac","cub",0,62.148756227266
36,"4A","cad","tun",0,244.633316522037
36,"4A","cah","lui",1,87.0733352146076
36,"4A","cax","amu",1,227.350327408539
36,"4A","cam","cof",0,112.728477313394
36,"4A","ckr","api",1,228.14802272446
36,"4A","cnt","mie",0,301.206194677774
36,"4A","car","ndy",0,199.929893357654
36,"4A","ctl","bsq",0,433.523956148964
36,"4A","cay","awp",1,124.654097732078
36,"4A","cyv","mov",0,41.207902146107
36,"4A","chw","khm",0,77.7365761101763
36,"4A","cha","yap",1,836.139968279526
36,"4A","cso","mxm",1,87.5467038522403
36,"4A","chl","lus",1,174.646055434267
36,"4A","che","koa",0,168.6598265057
36,"4A","cck","abm",1,193.113737038702
36,"4A","cti","mei",1,161.121650234999
36,"4A","cle","mtp",0,12.8117359057123
36,"4A","chq","mzc",1,32.3272370930747
36,"4A","chp","cre",0,607.4998163121
36,"4A","cve","ygr",1,40.9894929924244
36,"4A","chk","yus",0,222.389853289118
36,"4A","chu","wch",1,240.485562269957
36,"4A","chv","mme",0,169.627130176084
36,"4A","cil","luv",1,667.169559867352
36,"4A","ccp","die",1,115.51789134989
