"feature_ID","temperature.x","feature_frequency.x","isogloss_density.x","value_ID_up.x","value_ID_down.x","resampled.x","sample_size.x","neighbourhood_size.x","temperature.y","feature_frequency.y","isogloss_density.y","value_ID_up.y","value_ID_down.y","resampled.y","sample_size.y","neighbourhood_size.y","rep"
"4A",0.667701663526871,0.884057971014493,0.169927536231884,"2:3:4","1",FALSE,276,10,10000,0.524096385542169,0.499397590361446,"2:3:4","1",FALSE,166,10,"r.148940.51"
"6A",0.0672175607369654,0.199275362318841,0.193840579710145,"2:3:4","1",FALSE,276,10,0.0274437746406774,0.228915662650602,0.187951807228916,"2:3:4","1",FALSE,166,10,"r.148940.51"
"7A",0.106048016568363,0.333333333333333,0.288768115942029,"2:3:4:5:6:7:8","1",FALSE,276,10,0.126622315490924,0.373493975903614,0.312048192771084,"2:3:4:5:6:7:8","1",FALSE,166,10,"r.148940.51"
"8A",2.18089051348799,0.942028985507246,0.10036231884058,"2:3:4:5","1",FALSE,276,10,0.584220319187379,0.704819277108434,0.339759036144578,"2:3:4:5","1",FALSE,166,10,"r.148940.51"
"9A",0.0159742450379047,0.63013698630137,0.229680365296804,"1:2","3",FALSE,219,10,2.1312424767463,0.216374269005848,0.311111111111111,"1:2","3",FALSE,171,10,"r.148940.51"
"11A",0.604753175970481,0.109489051094891,0.15985401459854,"2:3:4","1",FALSE,274,10,10000,0.0245398773006135,0.0595092024539877,"2:3:4","1",FALSE,163,10,"r.148940.51"
"13A",0.00194235600629276,0.592452830188679,0.181509433962264,"2:3","1",FALSE,265,10,0.775512779583187,0.302013422818792,0.35503355704698,"2:3","1",FALSE,149,10,"r.148940.51"
"26A",0.074556798116244,0.85,0.157272727272727,"2:3:4:5:6","1",FALSE,440,10,10000,0.946938775510204,0.106530612244898,"2:3:4:5:6","1",FALSE,245,10,"r.148940.51"
"27A",0.0255529322844235,0.794871794871795,0.171794871794872,"1:2","3",FALSE,117,10,1.06072440280719,0.7578125,0.31875,"1:2","3",FALSE,128,10,"r.148940.51"
"33A",0.227790576421012,0.943636363636364,0.0770909090909091,"1:2:3:4:5:6:7:8","9",FALSE,550,10,1.03896677653223,0.908,0.1448,"1:2:3:4:5:6:7:8","9",FALSE,250,10,"r.148940.51"
"37A",0.230428532298546,0.62962962962963,0.33858024691358,"1:2:3","4:5",FALSE,324,10,1.11071991934768,0.569230769230769,0.427692307692308,"1:2:3","4:5",FALSE,130,10,"r.148940.51"
"38A",1.05585033058545,0.458483754512635,0.431046931407942,"1:2:3","4:5",FALSE,277,10,0.678552036591935,0.345454545454545,0.375454545454545,"1:2:3","4:5",FALSE,110,10,"r.148940.51"
"44A",1.00600527979987,0.439189189189189,0.425675675675676,"1:2:3:4:5","6",FALSE,148,10,3.40920616659883,0.252032520325203,0.355284552845528,"1:2:3:4:5","6",FALSE,123,10,"r.148940.51"
"48A",10000,0.966216216216216,0.0716216216216216,"2:3:4","1",FALSE,148,10,0.617417674863579,0.733870967741935,0.320967741935484,"2:3:4","1",FALSE,124,10,"r.148940.51"
"53A",12.7265436395674,0.980392156862745,0.0377450980392157,"2:3:4:5:6:7:8","1",FALSE,204,10,0.603362143319462,0.823529411764706,0.238235294117647,"2:3:4:5:6:7:8","1",FALSE,68,10,"r.148940.51"
"57A",0.186864650406919,0.60054347826087,0.338315217391304,"1:2:3","4",FALSE,368,10,1.26069508885537,0.827067669172932,0.252255639097744,"1:2:3","4",FALSE,266,10,"r.148940.51"
"69A",0.0768225199437053,0.87246963562753,0.137854251012146,"1:2:3:4","5",FALSE,494,10,8.42737984611473,0.939716312056738,0.110283687943262,"1:2:3:4","5",FALSE,282,10,"r.148940.51"
