"feature_ID","temperature.x","feature_frequency.x","isogloss_density.x","value_ID_up.x","value_ID_down.x","resampled.x","sample_size.x","neighbourhood_size.x","temperature.y","feature_frequency.y","isogloss_density.y","value_ID_up.y","value_ID_down.y","resampled.y","sample_size.y","neighbourhood_size.y","rep"
"4A",0.253244693577353,0.68,0.32,"2:3:4","1",FALSE,150,10,0.273869553893664,0.653333333333333,0.336666666666667,"2:3:4","1",FALSE,150,10,"r.148939.86"
"6A",0.150493503172397,0.133333333333333,0.158,"2:3:4","1",FALSE,150,10,0.0808147714540611,0.206666666666667,0.204666666666667,"2:3:4","1",FALSE,150,10,"r.148939.86"
"7A",0.348782153977801,0.266666666666667,0.3,"2:3:4:5:6:7:8","1",FALSE,150,10,0.65100055397578,0.293333333333333,0.342666666666667,"2:3:4:5:6:7:8","1",FALSE,150,10,"r.148939.86"
"8A",0.735506743078835,0.826666666666667,0.24,"2:3:4:5","1",FALSE,150,10,1.6241310233314,0.833333333333333,0.25,"2:3:4:5","1",FALSE,150,10,"r.148939.86"
"9A",0.0956088401704786,0.5,0.32,"1:2","3",FALSE,150,10,0.0465014769268367,0.486666666666667,0.287333333333333,"1:2","3",FALSE,150,10,"r.148939.86"
"11A",1.45752617114992,0.06,0.100666666666667,"2:3:4","1",FALSE,150,10,0.615997511763695,0.06,0.0926666666666667,"2:3:4","1",FALSE,150,10,"r.148939.86"
"13A",0.113371906658017,0.44,0.323333333333333,"2:3","1",FALSE,150,10,0.104352257834285,0.393333333333333,0.309333333333333,"2:3","1",FALSE,150,10,"r.148939.86"
"26A",0.27640389227845,0.84,0.2,"2:3:4:5:6","1",FALSE,150,10,0.16051682174439,0.873333333333333,0.152666666666667,"2:3:4:5:6","1",FALSE,150,10,"r.148939.86"
"27A",0.159045048176379,0.893333333333333,0.131333333333333,"1:2","3",FALSE,150,10,0.177633532513537,0.8,0.224,"1:2","3",FALSE,150,10,"r.148939.86"
"33A",1.37915780451428,0.893333333333333,0.169333333333333,"1:2:3:4:5:6:7:8","9",FALSE,150,10,3.3857350174073,0.886666666666667,0.189333333333333,"1:2:3:4:5:6:7:8","9",FALSE,150,10,"r.148939.86"
"37A",0.424192275972032,0.573333333333333,0.384666666666667,"1:2:3","4:5",FALSE,150,10,64.3844333920821,0.633333333333333,0.462666666666667,"1:2:3","4:5",FALSE,150,10,"r.148939.86"
"38A",10000,0.433333333333333,0.492666666666667,"1:2:3","4:5",FALSE,150,10,0.813937502255502,0.473333333333333,0.422,"1:2:3","4:5",FALSE,150,10,"r.148939.86"
"44A",2.91505306282518,0.413333333333333,0.453333333333333,"1:2:3:4:5","6",FALSE,150,10,1.97528407748632,0.286666666666667,0.373333333333333,"1:2:3:4:5","6",FALSE,150,10,"r.148939.86"
"48A",0.300294760512689,0.846666666666667,0.195333333333333,"2:3:4","1",FALSE,150,10,0.120090305820473,0.82,0.195333333333333,"2:3:4","1",FALSE,150,10,"r.148939.86"
"53A",0.055395482240398,0.88,0.124666666666667,"2:3:4:5:6:7:8","1",FALSE,150,10,0.51235497441619,0.913333333333333,0.127333333333333,"2:3:4:5:6:7:8","1",FALSE,150,10,"r.148939.86"
"57A",7.27254083745023,0.706666666666667,0.402,"1:2:3","4",FALSE,150,10,0.702400251605414,0.7,0.35,"1:2:3","4",FALSE,150,10,"r.148939.86"
"69A",0.727086629838012,0.88,0.176666666666667,"1:2:3:4","5",FALSE,150,10,0.475957041987391,0.86,0.192,"1:2:3:4","5",FALSE,150,10,"r.148939.86"
"70A",1.29900661044377,0.826666666666667,0.253333333333333,"1:2:3:4","5",FALSE,150,10,1.89072193550618,0.76,0.332,"1:2:3:4","5",FALSE,150,10,"r.148939.86"
"73A",0.941016762661388,0.12,0.181333333333333,"1","2",FALSE,150,10,0.105317914398911,0.173333333333333,0.186,"1","2",FALSE,150,10,"r.148939.86"
"77A",0.588270347379741,0.553333333333333,0.404,"2:3","1",FALSE,150,10,0.501845526322076,0.566666666666667,0.394,"2:3","1",FALSE,150,10,"r.148939.86"
"92A",1.76045351702651,0.62,0.426666666666667,"1:2:3:4:5","6",FALSE,150,10,2.99673033957637,0.586666666666667,0.454,"1:2:3:4:5","6",FALSE,150,10,"r.148939.86"
"100A",1.82232596266259,0.753333333333333,0.337333333333333,"2:3:4:5:6","1",FALSE,150,10,4.7497162641916,0.826666666666667,0.274,"2:3:4:5:6","1",FALSE,150,10,"r.148939.86"
"82A",0.676991254316092,0.899280575539568,0.150359712230216,"1","2",FALSE,139,10,0.525499197573165,0.867647058823529,0.185294117647059,"1","2",FALSE,136,10,"r.148939.86"
"83A",0.114684823514433,0.441379310344828,0.324137931034483,"1","2",FALSE,145,10,0.0432975822967116,0.460431654676259,0.28273381294964,"1","2",FALSE,139,10,"r.148939.86"
"86A",0.111046417050523,0.693430656934307,0.278102189781022,"1","2",FALSE,137,10,0.188593861447551,0.619402985074627,0.332835820895522,"1","2",FALSE,134,10,"r.148939.86"
"87A",0.669241028940147,0.297872340425532,0.346808510638298,"1","2",FALSE,141,10,0.117356446473192,0.307142857142857,0.280714285714286,"1","2",FALSE,140,10,"r.148939.86"
"89A",0.0692602489746362,0.542857142857143,0.302857142857143,"1","2",FALSE,140,10,0.00944925436086635,0.394160583941606,0.218978102189781,"1","2",FALSE,137,10,"r.148939.86"
"91A",0.157950080646842,0.558139534883721,0.33953488372093,"1","2",FALSE,129,10,0.0599070242878286,0.556390977443609,0.294736842105263,"1","2",FALSE,133,10,"r.148939.86"
"143E",0.727086629838012,0.7,0.351333333333333,"1:2:3","4",FALSE,150,10,3.79016280904719,0.713333333333333,0.387333333333333,"1:2:3","4",FALSE,150,10,"r.148939.86"
"143F",0.649503144681553,0.473333333333333,0.412,"1:2:3","4",FALSE,150,10,1.49836479943127,0.546666666666667,0.443333333333333,"1:2:3","4",FALSE,150,10,"r.148939.86"
"107A",0.436077778284881,0.406666666666667,0.380666666666667,"1","2",FALSE,150,10,0.744024366443044,0.466666666666667,0.417333333333333,"1","2",FALSE,150,10,"r.148939.86"
"119A",0.270734283308182,0.313333333333333,0.319333333333333,"2","1",FALSE,150,10,0.297541367526635,0.313333333333333,0.323333333333333,"2","1",FALSE,150,10,"r.148939.86"
"120A",0.770173655089085,0.44,0.414666666666667,"2","1",FALSE,150,10,0.336165124321661,0.42,0.372,"2","1",FALSE,150,10,"r.148939.86"
"129A",0.112074020130978,0.353333333333333,0.299333333333333,"1","2",FALSE,150,10,0.470508265033253,0.34,0.357333333333333,"1","2",FALSE,150,10,"r.148939.86"
"130A",1.6241310233314,0.1,0.162,"1","2",FALSE,150,10,1.20672458490987,0.0933333333333333,0.148666666666667,"1","2",FALSE,150,10,"r.148939.86"
