"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.246910326596256,0.663333333333333,0.327291666666667,"2:3:4","1",TRUE,300,64,"r.148941.216.64"
"6A",0.858209582333503,0.166666666666667,0.236354166666667,"2:3:4","1",TRUE,300,64,"r.148941.216.64"
"7A",1.83073828029537,0.276666666666667,0.363385416666667,"2:3:4:5:6:7:8","1",TRUE,300,64,"r.148941.216.64"
"8A",0.850340686317711,0.833333333333333,0.236145833333333,"2:3:4:5","1",TRUE,300,64,"r.148941.216.64"
"9A",0.270734283308182,0.506666666666667,0.370989583333333,"1:2","3",TRUE,300,64,"r.148941.216.64"
"11A",0.91326341350373,0.06,0.0965625,"2:3:4","1",TRUE,300,64,"r.148941.216.64"
"13A",0.231492248694552,0.423333333333333,0.354635416666667,"2:3","1",TRUE,300,64,"r.148941.216.64"
"26A",1.76045351702651,0.85,0.230885416666667,"2:3:4:5:6","1",TRUE,300,64,"r.148941.216.64"
"27A",0.830982655560938,0.85,0.21625,"1:2","3",TRUE,300,64,"r.148941.216.64"
"33A",6.30492562702752,0.943333333333333,0.103229166666667,"1:2:3:4:5:6:7:8","9",TRUE,300,64,"r.148941.216.64"
"37A",2.68313709965329,0.61,0.442708333333333,"1:2:3","4:5",TRUE,300,64,"r.148941.216.64"
"38A",17.8535741872931,0.43,0.483697916666667,"1:2:3","4:5",TRUE,300,64,"r.148941.216.64"
"44A",12.0145627719622,0.32,0.426822916666667,"1:2:3:4:5","6",TRUE,300,64,"r.148941.216.64"
"48A",1.59816038797939,0.84,0.241614583333333,"2:3:4","1",TRUE,300,64,"r.148941.216.64"
"53A",0.430093972605396,0.896666666666667,0.1459375,"2:3:4:5:6:7:8","1",TRUE,300,64,"r.148941.216.64"
"57A",3.45663772463405,0.73,0.37171875,"1:2:3","4",TRUE,300,64,"r.148941.216.64"
"69A",2.2995145591757,0.863333333333333,0.217552083333333,"1:2:3:4","5",TRUE,300,64,"r.148941.216.64"
"70A",1.76045351702651,0.81,0.278697916666667,"1:2:3:4","5",TRUE,300,64,"r.148941.216.64"
"73A",2.08752633597718,0.146666666666667,0.229322916666667,"1","2",TRUE,300,64,"r.148941.216.64"
"77A",0.906975925806589,0.57,0.419375,"2:3","1",TRUE,300,64,"r.148941.216.64"
"92A",39.4238992202188,0.586666666666667,0.481979166666667,"1:2:3:4:5","6",TRUE,300,64,"r.148941.216.64"
"100A",2.689322988765,0.773333333333333,0.32625,"2:3:4:5:6","1",TRUE,300,64,"r.148941.216.64"
"82A",0.63764720156802,0.873333333333333,0.182447916666667,"1","2",TRUE,300,64,"r.148941.216.64"
"83A",1.20950665089956,0.48,0.438645833333333,"1","2",TRUE,300,64,"r.148941.216.64"
"86A",0.868148180529452,0.543333333333333,0.422708333333333,"1","2",TRUE,300,64,"r.148941.216.64"
"87A",0.74918221453722,0.303333333333333,0.354635416666667,"1","2",TRUE,300,64,"r.148941.216.64"
"89A",0.221582038500218,0.38,0.340208333333333,"1","2",TRUE,300,64,"r.148941.216.64"
"91A",0.342415531413405,0.53,0.38125,"1","2",TRUE,300,64,"r.148941.216.64"
"143E",562.179477454385,0.72,0.403020833333333,"1:2:3","4",TRUE,300,64,"r.148941.216.64"
"143F",98.3556425462428,0.49,0.498541666666667,"1:2:3","4",TRUE,300,64,"r.148941.216.64"
"107A",0.723745636894028,0.436666666666667,0.411354166666667,"1","2",TRUE,300,64,"r.148941.216.64"
"119A",0.976335228327277,0.316666666666667,0.372916666666667,"2","1",TRUE,300,64,"r.148941.216.64"
"120A",0.980842238722258,0.446666666666667,0.426145833333333,"2","1",TRUE,300,64,"r.148941.216.64"
"129A",1.8349589904469,0.346666666666667,0.411354166666667,"1","2",TRUE,300,64,"r.148941.216.64"
"130A",3.67837977182864,0.103333333333333,0.175260416666667,"1","2",TRUE,300,64,"r.148941.216.64"
