iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,rho,sigma,tau,tau_actual
12249999,1,12250000,2500,49,0,0.5,0.01,0.01,0.4968,0.2692,0.0296857,0.02
12249999,2,12250000,2500,49,0,0.5,0.173333,0.01,0.9316,0.09,0.189072,0.183333
12249999,3,12250000,2500,49,0,0.5,0.336667,0.01,0.9684,0.0448,0.244703,0.346667
12249999,4,12250000,2500,49,0,0.5,0.5,0.01,0.978,0.0324,0.302446,0.51
12249999,5,12250000,2500,49,0,0.5,0.663333,0.01,0.9804,0.032,0.69612,0.673333
12249999,6,12250000,2500,49,0,0.5,0.826667,0.01,0.9792,0.0296,0.232079,0.836667
12249999,7,12250000,2500,49,0,0.5,0.99,0.01,0.9932,0.0132,10.0184,1
12249999,8,12250000,2500,49,0,0.5,0.01,0.173333,0.0456,0.0672,0.366992,0.183333
12249999,9,12250000,2500,49,0,0.5,0.173333,0.173333,0.5048,0.396,0.450469,0.346667
12249999,10,12250000,2500,49,0,0.5,0.336667,0.173333,0.6416,0.3676,0.486036,0.51
12249999,11,12250000,2500,49,0,0.5,0.5,0.173333,0.7132,0.3576,1.13948,0.673333
12249999,12,12250000,2500,49,0,0.5,0.663333,0.173333,0.7916,0.2684,0.564515,0.836667
12249999,13,12250000,2500,49,0,0.5,0.826667,0.173333,0.8244,0.2516,1.06832,1
12249999,14,12250000,2500,49,0,0.5,0.99,0.173333,0.8484,0.224,1.09321,1.16333
12249999,15,12250000,2500,49,0,0.5,0.01,0.336667,0.0288,0.0464,0.672485,0.346667
12249999,16,12250000,2500,49,0,0.5,0.173333,0.336667,0.3416,0.3624,0.519603,0.51
12249999,17,12250000,2500,49,0,0.5,0.336667,0.336667,0.4912,0.4076,0.576336,0.673333
12249999,18,12250000,2500,49,0,0.5,0.5,0.336667,0.5924,0.4084,0.80852,0.836667
12249999,19,12250000,2500,49,0,0.5,0.663333,0.336667,0.6672,0.386,1.07079,1
12249999,20,12250000,2500,49,0,0.5,0.826667,0.336667,0.696,0.3664,1.02731,1.16333
12249999,21,12250000,2500,49,0,0.5,0.99,0.336667,0.7472,0.3272,1.03205,1.32667
12249999,22,12250000,2500,49,0,0.5,0.01,0.5,0.0228,0.038,0.878404,0.51
12249999,23,12250000,2500,49,0,0.5,0.173333,0.5,0.2844,0.3384,0.686568,0.673333
12249999,24,12250000,2500,49,0,0.5,0.336667,0.5,0.384,0.4008,0.821659,0.836667
12249999,25,12250000,2500,49,0,0.5,0.5,0.5,0.4896,0.4272,0.898867,1
12249999,26,12250000,2500,49,0,0.5,0.663333,0.5,0.5728,0.4316,1.26099,1.16333
12249999,27,12250000,2500,49,0,0.5,0.826667,0.5,0.6128,0.424,1.47814,1.32667
12249999,28,12250000,2500,49,0,0.5,0.99,0.5,0.6704,0.3944,1.45786,1.49
12249999,29,12250000,2500,49,0,0.5,0.01,0.663333,0.0168,0.0276,0.718928,0.673333
12249999,30,12250000,2500,49,0,0.5,0.173333,0.663333,0.1848,0.2548,0.80852,0.836667
12249999,31,12250000,2500,49,0,0.5,0.336667,0.663333,0.3232,0.3844,1.20979,1
12249999,32,12250000,2500,49,0,0.5,0.5,0.663333,0.4392,0.4236,0.956529,1.16333
12249999,33,12250000,2500,49,0,0.5,0.663333,0.663333,0.518,0.4388,1.20979,1.32667
12249999,34,12250000,2500,49,0,0.5,0.826667,0.663333,0.574,0.4392,1.58023,1.49
12249999,35,12250000,2500,49,0,0.5,0.99,0.663333,0.604,0.4412,2.31599,1.65333
12249999,36,12250000,2500,49,0,0.5,0.01,0.826667,0.008,0.014,1.26389,0.836667
12249999,37,12250000,2500,49,0,0.5,0.173333,0.826667,0.168,0.2404,0.956529,1
12249999,38,12250000,2500,49,0,0.5,0.336667,0.826667,0.3068,0.3712,1.12126,1.16333
12249999,39,12250000,2500,49,0,0.5,0.5,0.826667,0.378,0.4168,1.33879,1.32667
12249999,40,12250000,2500,49,0,0.5,0.663333,0.826667,0.4292,0.4328,1.28739,1.49
12249999,41,12250000,2500,49,0,0.5,0.826667,0.826667,0.5272,0.4424,1.36055,1.65333
12249999,42,12250000,2500,49,0,0.5,0.99,0.826667,0.532,0.4584,2.24768,1.81667
12249999,43,12250000,2500,49,0,0.5,0.01,0.99,0.0068,0.01,0.266466,1
