iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,rho,sigma,tau,tau_actual
12249999,1,12250000,2679,49,0,0.5,0.01,0.01,0.553938,0.118141,1.57116e-05,0.02
12249999,2,12250000,2679,49,0,0.5,0.173333,0.01,0.955954,0.0529115,0.0844486,0.183333
12249999,3,12250000,2679,49,0,0.5,0.336667,0.01,0.95558,0.0552445,0.107301,0.346667
12249999,4,12250000,2679,49,0,0.5,0.5,0.01,0.976857,0.0337813,0.284869,0.51
12249999,5,12250000,2679,49,0,0.5,0.663333,0.01,0.979843,0.0308884,0.406126,0.673333
12249999,6,12250000,2679,49,0,0.5,0.826667,0.01,0.987309,0.02053,0.600728,0.836667
12249999,7,12250000,2679,49,0,0.5,0.99,0.01,0.994401,0.0100784,1.75277,1
12249999,8,12250000,2679,49,0,0.5,0.01,0.173333,0.0630832,0.0698022,0.055536,0.183333
12249999,9,12250000,2679,49,0,0.5,0.173333,0.173333,0.488242,0.35545,0.198898,0.346667
12249999,10,12250000,2679,49,0,0.5,0.336667,0.173333,0.652856,0.336506,0.272047,0.51
12249999,11,12250000,2679,49,0,0.5,0.5,0.173333,0.764838,0.286581,0.472789,0.673333
12249999,12,12250000,2679,49,0,0.5,0.663333,0.173333,0.787607,0.278089,0.684989,0.836667
12249999,13,12250000,2679,49,0,0.5,0.826667,0.173333,0.832027,0.232549,0.691328,1
12249999,14,12250000,2679,49,0,0.5,0.99,0.173333,0.845465,0.218738,0.732296,1.16333
12249999,15,12250000,2679,49,0,0.5,0.01,0.336667,0.0294886,0.0424599,0.270174,0.346667
12249999,16,12250000,2679,49,0,0.5,0.173333,0.336667,0.350131,0.353583,0.386063,0.51
12249999,17,12250000,2679,49,0,0.5,0.336667,0.336667,0.525196,0.389698,0.40333,0.673333
12249999,18,12250000,2679,49,0,0.5,0.5,0.336667,0.597238,0.391097,0.561921,0.836667
12249999,19,12250000,2679,49,0,0.5,0.663333,0.336667,0.679731,0.373554,0.934753,1
12249999,20,12250000,2679,49,0,0.5,0.826667,0.336667,0.699888,0.368141,1.17411,1.16333
12249999,21,12250000,2679,49,0,0.5,0.99,0.336667,0.773796,0.31159,1.40836,1.32667
12249999,22,12250000,2679,49,0,0.5,0.01,0.5,0.0126913,0.0213699,0.876384,0.51
12249999,23,12250000,2679,49,0,0.5,0.173333,0.5,0.262785,0.313923,0.545348,0.673333
12249999,24,12250000,2679,49,0,0.5,0.336667,0.5,0.407615,0.405002,0.745911,0.836667
12249999,25,12250000,2679,49,0,0.5,0.5,0.5,0.50168,0.423199,0.814125,1
12249999,26,12250000,2679,49,0,0.5,0.663333,0.5,0.556924,0.429358,1.08319,1.16333
12249999,27,12250000,2679,49,0,0.5,0.826667,0.5,0.617768,0.426185,1.6816,1.32667
12249999,28,12250000,2679,49,0,0.5,0.99,0.5,0.674879,0.381766,1.0807,1.49
12249999,29,12250000,2679,49,0,0.5,0.01,0.663333,0.0134378,0.0209966,0.449433,0.673333
12249999,30,12250000,2679,49,0,0.5,0.173333,0.663333,0.198955,0.265584,0.700946,0.836667
12249999,31,12250000,2679,49,0,0.5,0.336667,0.663333,0.350131,0.405935,1.44783,1
12249999,32,12250000,2679,49,0,0.5,0.5,0.663333,0.398283,0.41704,1.08319,1.16333
12249999,33,12250000,2679,49,0,0.5,0.663333,0.663333,0.492721,0.435517,1.09826,1.32667
12249999,34,12250000,2679,49,0,0.5,0.826667,0.663333,0.544233,0.441956,1.42467,1.49
12249999,35,12250000,2679,49,0,0.5,0.99,0.663333,0.589399,0.434024,1.54781,1.65333
12249999,36,12250000,2679,49,0,0.5,0.01,0.826667,0.0153042,0.0229563,0.330105,0.836667
12249999,37,12250000,2679,49,0,0.5,0.173333,0.826667,0.167973,0.241788,1.01789,1
12249999,38,12250000,2679,49,0,0.5,0.336667,0.826667,0.286301,0.365622,1.50217,1.16333
12249999,39,12250000,2679,49,0,0.5,0.5,0.826667,0.35461,0.394177,0.969837,1.32667
12249999,40,12250000,2679,49,0,0.5,0.663333,0.826667,0.463979,0.441209,1.35118,1.49
12249999,41,12250000,2679,49,0,0.5,0.826667,0.826667,0.50168,0.453061,1.78125,1.65333
12249999,42,12250000,2679,49,0,0.5,0.99,0.826667,0.542367,0.454554,2.06886,1.81667
12249999,43,12250000,2679,49,0,0.5,0.01,0.99,0.00933184,0.0167973,1.84385,1
12249999,44,12250000,2679,49,0,0.5,0.173333,0.99,0.135872,0.2081,1.33571,1.16333
12249999,45,12250000,2679,49,0,0.5,0.336667,0.99,0.266517,0.338559,1.02968,1.32667
12249999,46,12250000,2679,49,0,0.5,0.5,0.99,0.339679,0.411254,2.10733,1.49
12249999,47,12250000,2679,49,0,0.5,0.663333,0.99,0.412841,0.436543,1.63577,1.65333
12249999,48,12250000,2679,49,0,0.5,0.826667,0.99,0.45726,0.463326,2.84279,1.81667
12249999,49,12250000,2679,49,0,0.5,0.99,0.99,0.462859,0.442516,1.40836,1.98
12250000,1,12250000,2679,49,0,0.5,0.01,0.01,0.553938,0.118141,1.57116e-05,0.02
12250000,2,12250000,2679,49,0,0.5,0.173333,0.01,0.955954,0.0529115,0.0844486,0.183333
12250000,3,12250000,2679,49,0,0.5,0.336667,0.01,0.95558,0.0552445,0.107301,0.346667
12250000,4,12250000,2679,49,0,0.5,0.5,0.01,0.976857,0.0337813,0.284869,0.51
12250000,5,12250000,2679,49,0,0.5,0.663333,0.01,0.979843,0.0308884,0.406126,0.673333
12250000,6,12250000,2679,49,0,0.5,0.826667,0.01,0.987309,0.02053,0.600728,0.836667
12250000,7,12250000,2679,49,0,0.5,0.99,0.01,0.994401,0.0100784,1.75277,1
12250000,8,12250000,2679,49,0,0.5,0.01,0.173333,0.0630832,0.0698022,0.055536,0.183333
12250000,9,12250000,2679,49,0,0.5,0.173333,0.173333,0.488242,0.35545,0.198898,0.346667
12250000,10,12250000,2679,49,0,0.5,0.336667,0.173333,0.652856,0.336506,0.272047,0.51
12250000,11,12250000,2679,49,0,0.5,0.5,0.173333,0.764838,0.286581,0.472789,0.673333
12250000,12,12250000,2679,49,0,0.5,0.663333,0.173333,0.787607,0.278089,0.684989,0.836667
12250000,13,12250000,2679,49,0,0.5,0.826667,0.173333,0.832027,0.232549,0.691328,1
12250000,14,12250000,2679,49,0,0.5,0.99,0.173333,0.845465,0.218738,0.732296,1.16333
12250000,15,12250000,2679,49,0,0.5,0.01,0.336667,0.0294886,0.0424599,0.270174,0.346667
12250000,16,12250000,2679,49,0,0.5,0.173333,0.336667,0.350131,0.353583,0.386063,0.51
12250000,17,12250000,2679,49,0,0.5,0.336667,0.336667,0.525196,0.389698,0.40333,0.673333
12250000,18,12250000,2679,49,0,0.5,0.5,0.336667,0.597238,0.391097,0.561921,0.836667
12250000,19,12250000,2679,49,0,0.5,0.663333,0.336667,0.679731,0.373554,0.934753,1
12250000,20,12250000,2679,49,0,0.5,0.826667,0.336667,0.699888,0.368141,1.17411,1.16333
12250000,21,12250000,2679,49,0,0.5,0.99,0.336667,0.773796,0.31159,1.40836,1.32667
12250000,22,12250000,2679,49,0,0.5,0.01,0.5,0.0126913,0.0213699,0.876384,0.51
12250000,23,12250000,2679,49,0,0.5,0.173333,0.5,0.262785,0.313923,0.545348,0.673333
12250000,24,12250000,2679,49,0,0.5,0.336667,0.5,0.407615,0.405002,0.745911,0.836667
12250000,25,12250000,2679,49,0,0.5,0.5,0.5,0.50168,0.423199,0.814125,1
12250000,26,12250000,2679,49,0,0.5,0.663333,0.5,0.556924,0.429358,1.08319,1.16333
12250000,27,12250000,2679,49,0,0.5,0.826667,0.5,0.617768,0.426185,1.6816,1.32667
12250000,28,12250000,2679,49,0,0.5,0.99,0.5,0.674879,0.381766,1.0807,1.49
12250000,29,12250000,2679,49,0,0.5,0.01,0.663333,0.0134378,0.0209966,0.449433,0.673333
12250000,30,12250000,2679,49,0,0.5,0.173333,0.663333,0.198955,0.265584,0.700946,0.836667
12250000,31,12250000,2679,49,0,0.5,0.336667,0.663333,0.350131,0.405935,1.44783,1
12250000,32,12250000,2679,49,0,0.5,0.5,0.663333,0.398283,0.41704,1.08319,1.16333
12250000,33,12250000,2679,49,0,0.5,0.663333,0.663333,0.492721,0.435517,1.09826,1.32667
12250000,34,12250000,2679,49,0,0.5,0.826667,0.663333,0.544233,0.441956,1.42467,1.49
12250000,35,12250000,2679,49,0,0.5,0.99,0.663333,0.589399,0.434024,1.54781,1.65333
12250000,36,12250000,2679,49,0,0.5,0.01,0.826667,0.0153042,0.0229563,0.330105,0.836667
12250000,37,12250000,2679,49,0,0.5,0.173333,0.826667,0.167973,0.241788,1.01789,1
12250000,38,12250000,2679,49,0,0.5,0.336667,0.826667,0.286301,0.365622,1.50217,1.16333
12250000,39,12250000,2679,49,0,0.5,0.5,0.826667,0.35461,0.394177,0.969837,1.32667
12250000,40,12250000,2679,49,0,0.5,0.663333,0.826667,0.463979,0.441209,1.35118,1.49
12250000,41,12250000,2679,49,0,0.5,0.826667,0.826667,0.50168,0.453061,1.78125,1.65333
12250000,42,12250000,2679,49,0,0.5,0.99,0.826667,0.542367,0.454554,2.06886,1.81667
12250000,43,12250000,2679,49,0,0.5,0.01,0.99,0.00933184,0.0167973,1.84385,1
12250000,44,12250000,2679,49,0,0.5,0.173333,0.99,0.135872,0.2081,1.33571,1.16333
12250000,45,12250000,2679,49,0,0.5,0.336667,0.99,0.266517,0.338559,1.02968,1.32667
12250000,46,12250000,2679,49,0,0.5,0.5,0.99,0.339679,0.411254,2.10733,1.49
12250000,47,12250000,2679,49,0,0.5,0.663333,0.99,0.412841,0.436543,1.63577,1.65333
12250000,48,12250000,2679,49,0,0.5,0.826667,0.99,0.45726,0.463326,2.84279,1.81667
12250000,49,12250000,2679,49,0,0.5,0.99,0.99,0.462859,0.442516,1.40836,1.98
