"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.326250627109581,0.67,0.336333333333333,"2:3:4","1",TRUE,300,10,"r.148944.7"
"6A",0.155066881102297,0.18,0.202666666666667,"2:3:4","1",TRUE,300,10,"r.148944.7"
"7A",0.162002214833789,0.27,0.272333333333333,"2:3:4:5:6:7:8","1",TRUE,300,10,"r.148944.7"
"8A",1.20672458490987,0.85,0.224,"2:3:4:5","1",TRUE,300,10,"r.148944.7"
"9A",0.121481025897885,0.523333333333333,0.330666666666667,"1:2","3",TRUE,300,10,"r.148944.7"
"11A",0.757858208326048,0.0633333333333333,0.0996666666666667,"2:3:4","1",TRUE,300,10,"r.148944.7"
"13A",0.0478044082692293,0.403333333333333,0.278,"2:3","1",TRUE,300,10,"r.148944.7"
"26A",0.119814078190583,0.85,0.168666666666667,"2:3:4:5:6","1",TRUE,300,10,"r.148944.7"
"27A",0.107276118244045,0.843333333333333,0.172,"1:2","3",TRUE,300,10,"r.148944.7"
"33A",2.12634026541416,0.896666666666667,0.17,"1:2:3:4:5:6:7:8","9",TRUE,300,10,"r.148944.7"
"37A",0.705642708851218,0.596666666666667,0.401333333333333,"1:2:3","4:5",TRUE,300,10,"r.148944.7"
"38A",1.71247153906245,0.463333333333333,0.449333333333333,"1:2:3","4:5",TRUE,300,10,"r.148944.7"
"44A",2.08752633597718,0.346666666666667,0.415,"1:2:3:4:5","6",TRUE,300,10,"r.148944.7"
"48A",0.270734283308182,0.826666666666667,0.212666666666667,"2:3:4","1",TRUE,300,10,"r.148944.7"
"53A",0.135679192851568,0.906666666666667,0.114,"2:3:4:5:6:7:8","1",TRUE,300,10,"r.148944.7"
"57A",1.72434301594204,0.753333333333333,0.336,"1:2:3","4",TRUE,300,10,"r.148944.7"
"69A",0.330028811320951,0.853333333333333,0.190666666666667,"1:2:3:4","5",TRUE,300,10,"r.148944.7"
"70A",1.04376290999747,0.76,0.316333333333333,"1:2:3:4","5",TRUE,300,10,"r.148944.7"
"73A",0.0504046086348741,0.146666666666667,0.145666666666667,"1","2",TRUE,300,10,"r.148944.7"
"77A",0.487044627264939,0.583333333333333,0.388666666666667,"2:3","1",TRUE,300,10,"r.148944.7"
"92A",370.558590420986,0.636666666666667,0.462333333333333,"1:2:3:4:5","6",TRUE,300,10,"r.148944.7"
"100A",0.663104779503368,0.776666666666667,0.287333333333333,"2:3:4:5:6","1",TRUE,300,10,"r.148944.7"
"82A",0.0817506565319178,0.873333333333333,0.138333333333333,"1","2",TRUE,300,10,"r.148944.7"
"83A",0.00675123053734908,0.433333333333333,0.215333333333333,"1","2",TRUE,300,10,"r.148944.7"
"86A",0.00373557306862864,0.566666666666667,0.199666666666667,"1","2",TRUE,300,10,"r.148944.7"
"87A",0.147067514142375,0.273333333333333,0.270666666666667,"1","2",TRUE,300,10,"r.148944.7"
"89A",0.00530117861367057,0.47,0.211666666666667,"1","2",TRUE,300,10,"r.148944.7"
"91A",0.0320221542408158,0.56,0.268333333333333,"1","2",TRUE,300,10,"r.148944.7"
"143E",0.906975925806589,0.66,0.384,"1:2:3","4",TRUE,300,10,"r.148944.7"
"143F",0.554082402661288,0.453333333333333,0.402333333333333,"1:2:3","4",TRUE,300,10,"r.148944.7"
"107A",0.445209944530278,0.43,0.387666666666667,"1","2",TRUE,300,10,"r.148944.7"
"119A",0.187727264903869,0.326666666666667,0.310333333333333,"2","1",TRUE,300,10,"r.148944.7"
"120A",0.194773089402581,0.463333333333333,0.352666666666667,"2","1",TRUE,300,10,"r.148944.7"
"129A",0.140771536691173,0.376666666666667,0.318,"1","2",TRUE,300,10,"r.148944.7"
"130A",0.764871288532589,0.0933333333333333,0.142333333333333,"1","2",TRUE,300,10,"r.148944.7"
