"genus","sigma","rep"
"Sentani",0.9,"r.148946.0"
"Bororoan",1,"r.148946.0"
"Central Malayo-Polynesian",0.413793103448276,"r.148946.0"
"Yawa",1,"r.148946.0"
"Border",0.72,"r.148946.0"
"Cross River",0.522222222222222,"r.148946.0"
"Oceanic",0.267114093959732,"r.148946.0"
"Eastern Highlands",0.257142857142857,"r.148946.0"
"Tucanoan",0.4,"r.148946.0"
"East Bougainville",0.8,"r.148946.0"
"Madang",0.4,"r.148946.0"
"Wissel Lakes-Kemandoga",0.9,"r.148946.0"
"Pawaian",1,"r.148946.0"
"Cacua-Nukak",0.95,"r.148946.0"
"South Halmahera - West New Guinea",0.78,"r.148946.0"
"Tupi-Guaraní",0.844444444444444,"r.148946.0"
"Zaparoan",0.866666666666667,"r.148946.0"
"Northern Iroquoian",0.571428571428571,"r.148946.0"
"Yareban",1,"r.148946.0"
"Southern Iroquoian",1,"r.148946.0"
"Ge-Kaingang",0.69,"r.148946.0"
"Angan",0.64,"r.148946.0"
"Binanderean",0.74,"r.148946.0"
"Nilotic",0.678947368421053,"r.148946.0"
"Chimbu",0.5375,"r.148946.0"
"Kuki-Chin",0.173913043478261,"r.148946.0"
"Panoan",0.709090909090909,"r.148946.0"
"Asmat-Kamoro",1,"r.148946.0"
"Lower Sepik",0.966666666666667,"r.148946.0"
"Kru",0.563636363636364,"r.148946.0"
"Western Skou",0.9,"r.148946.0"
"Northern Daly",0.9,"r.148946.0"
"Mura",1,"r.148946.0"
"Muskogean",0.414285714285714,"r.148946.0"
"Senagi",0.8,"r.148946.0"
"Eleman Proper",0.9,"r.148946.0"
"Koiarian",0.6,"r.148946.0"
"Northern Pama-Nyungan",0.172727272727273,"r.148946.0"
"Andoke",1,"r.148946.0"
"Caribbean Arawakan",1,"r.148946.0"
"Yanomam",0.8,"r.148946.0"
"Numic",0.78,"r.148946.0"
"Kiwaian",1,"r.148946.0"
"Warao",1,"r.148946.0"
"Ainu",1,"r.148946.0"
"Purus",1,"r.148946.0"
"Fasu",1,"r.148946.0"
"Cariban",0.74,"r.148946.0"
"Algonquian",0.531034482758621,"r.148946.0"
"Barbacoan",0.8,"r.148946.0"
"Chinese",0.68,"r.148946.0"
"Wagaydy",0.9,"r.148946.0"
"North-Central Bird's Head",0.9,"r.148946.0"
"Teberan",0.9,"r.148946.0"
"Dani",0.9,"r.148946.0"
"Talodi",0.9,"r.148946.0"
"Nimboran",0.9,"r.148946.0"
"Mixe-Zoque",0.633333333333333,"r.148946.0"
"Baining",0.9,"r.148946.0"
"West Bougainville",0.9,"r.148946.0"
"Peba-Yaguan",1,"r.148946.0"
"Upper Sepik",0.933333333333333,"r.148946.0"
"Southeastern Pama-Nyungan",0.139130434782609,"r.148946.0"
"Greater Central Philippine",0.48,"r.148946.0"
"Maxakalí",1,"r.148946.0"
"Dagan",1,"r.148946.0"
"Sepik Hill",0.8,"r.148946.0"
"Bai",1,"r.148946.0"
"Yeniseian",0.8,"r.148946.0"
"Aztecan",0.761538461538461,"r.148946.0"
"Finnic",0.5,"r.148946.0"
"Kuliak",0.8,"r.148946.0"
"Bantoid",0.193125,"r.148946.0"
"Finisterre-Huon",0.6125,"r.148946.0"
"Tacanan",0.775,"r.148946.0"
"Inland Northern Arawakan",0.825,"r.148946.0"
"Mel",0.78,"r.148946.0"
"Choco",0.66,"r.148946.0"
"Tungusic",0.409090909090909,"r.148946.0"
"Wambayan",1,"r.148946.0"
"Temein",1,"r.148946.0"
"Kombio-Arapesh",0.7,"r.148946.0"
"Worrorran",0.8,"r.148946.0"
"Talamanca",0.7,"r.148946.0"
"Savosavo",1,"r.148946.0"
"Northern Chukotko-Kamchatkan",0.75,"r.148946.0"
"Cahita",0.8,"r.148946.0"
"Bodo-Garo",0.733333333333333,"r.148946.0"
"Gur",0.241666666666667,"r.148946.0"
"Burarran",0.9,"r.148946.0"
"Mangarrayi",1,"r.148946.0"
"Greater Alor",0.7,"r.148946.0"
"Northwest Sumatra-Barrier Islands",0.375,"r.148946.0"
"Maiduan",0.8,"r.148946.0"
"Rama",1,"r.148946.0"
"Eastern Mande",0.822222222222222,"r.148946.0"
"Nyimang",1,"r.148946.0"
"Tama Sepik",0.9,"r.148946.0"
"Ticuna",1,"r.148946.0"
"Samoyedic",0.666666666666667,"r.148946.0"
"Fur",1,"r.148946.0"
"Songhay",0.866666666666667,"r.148946.0"
"Tani",0.4,"r.148946.0"
"Zapotecan",0.571428571428571,"r.148946.0"
"Cayuvava",1,"r.148946.0"
"Totonacan",0.516666666666667,"r.148946.0"
"Tonkawa",1,"r.148946.0"
"Mixtecan",0.338888888888889,"r.148946.0"
"Marind Proper",0.8,"r.148946.0"
"Palaihnihan",0.9,"r.148946.0"
"Karok",1,"r.148946.0"
"Miwok",0.766666666666667,"r.148946.0"
"North Halmaheran",0.3,"r.148946.0"
"Semitic",0.551162790697674,"r.148946.0"
"Yangmanic",1,"r.148946.0"
"Tsou",1,"r.148946.0"
"Nubian",0.82,"r.148946.0"
"Western Pama-Nyungan",0.304,"r.148946.0"
"Defoid",0.95,"r.148946.0"
"Creoles and Pidgins",0.884375,"r.148946.0"
"Ugric",0.933333333333333,"r.148946.0"
"Warayic",1,"r.148946.0"
"Munda",0.66,"r.148946.0"
"Nicobarese",0.8,"r.148946.0"
"Bilic",0.8,"r.148946.0"
"Goilalan",0.9,"r.148946.0"
