"feature_ID","temperature.x","feature_frequency.x","isogloss_density.x","value_ID_up.x","value_ID_down.x","resampled.x","sample_size.x","neighbourhood_size.x","temperature.y","feature_frequency.y","isogloss_density.y","value_ID_up.y","value_ID_down.y","resampled.y","sample_size.y","neighbourhood_size.y","rep"
"4A",0.799079996477847,0.884057971014493,0.173188405797101,"2:3:4","1",FALSE,276,50,10000,0.524096385542169,0.502048192771084,"2:3:4","1",FALSE,166,50,"r.149829.74"
"6A",0.35526715283988,0.199275362318841,0.24536231884058,"2:3:4","1",FALSE,276,50,0.181353462834341,0.228915662650602,0.247831325301205,"2:3:4","1",FALSE,166,50,"r.149829.74"
"7A",1.44084034803812,0.333333333333333,0.396304347826087,"2:3:4:5:6:7:8","1",FALSE,276,50,0.614580615274587,0.373493975903614,0.38433734939759,"2:3:4:5:6:7:8","1",FALSE,166,50,"r.149829.74"
"8A",4.27231303595306,0.942028985507246,0.103985507246377,"2:3:4:5","1",FALSE,276,50,1.48121145392357,0.704819277108434,0.371807228915663,"2:3:4:5","1",FALSE,166,50,"r.149829.74"
"9A",0.11002823602961,0.63013698630137,0.304474885844749,"1:2","3",FALSE,219,50,4.04259901708255,0.216374269005848,0.322105263157895,"1:2","3",FALSE,171,50,"r.149829.74"
"11A",0.645031550866388,0.109489051094891,0.161021897810219,"2:3:4","1",FALSE,274,50,10000,0.0245398773006135,0.0526380368098159,"2:3:4","1",FALSE,163,50,"r.149829.74"
"13A",0.0246285670301896,0.592452830188679,0.253056603773585,"2:3","1",FALSE,265,50,11.1097572709116,0.302013422818792,0.412885906040268,"2:3","1",FALSE,149,50,"r.149829.74"
"26A",0.475957041987391,0.85,0.203318181818182,"2:3:4:5:6","1",FALSE,440,50,2.88168140835298,0.946938775510204,0.0938775510204082,"2:3:4:5:6","1",FALSE,245,50,"r.149829.74"
"27A",0.49953952550511,0.794871794871795,0.261538461538462,"1:2","3",FALSE,117,50,4.80472091860972,0.7578125,0.35109375,"1:2","3",FALSE,128,50,"r.149829.74"
"33A",0.799079996477847,0.943636363636364,0.0898545454545455,"1:2:3:4:5:6:7:8","9",FALSE,550,50,7.27254083745023,0.908,0.162,"1:2:3:4:5:6:7:8","9",FALSE,250,50,"r.149829.74"
"37A",0.532810355792739,0.62962962962963,0.376851851851852,"1:2:3","4:5",FALSE,324,50,1.52271372343351,0.569230769230769,0.439230769230769,"1:2:3","4:5",FALSE,130,50,"r.149829.74"
"38A",7.45911441330861,0.458483754512635,0.481805054151625,"1:2:3","4:5",FALSE,277,50,22.6848323266873,0.345454545454545,0.447454545454545,"1:2:3","4:5",FALSE,110,50,"r.149829.74"
"44A",5.03118361101417,0.439189189189189,0.472027027027027,"1:2:3:4:5","6",FALSE,148,50,8.58407234912575,0.252032520325203,0.367154471544715,"1:2:3:4:5","6",FALSE,123,50,"r.149829.74"
"48A",10000,0.966216216216216,0.0706756756756757,"2:3:4","1",FALSE,148,50,0.894530513620389,0.733870967741935,0.333709677419355,"2:3:4","1",FALSE,124,50,"r.149829.74"
"53A",0.892472945010217,0.980392156862745,0.032843137254902,"2:3:4:5:6:7:8","1",FALSE,204,50,2.98983736254991,0.823529411764706,0.272058823529412,"2:3:4:5:6:7:8","1",FALSE,68,50,"r.149829.74"
"57A",0.906975925806589,0.60054347826087,0.410434782608696,"1:2:3","4",FALSE,368,50,6.92921550346853,0.827067669172932,0.276992481203008,"1:2:3","4",FALSE,266,50,"r.149829.74"
"69A",0.676991254316092,0.87246963562753,0.184696356275304,"1:2:3:4","5",FALSE,494,50,3.3857350174073,0.939716312056738,0.106737588652482,"1:2:3:4","5",FALSE,282,50,"r.149829.74"
"70A",1.07548203511586,0.814569536423841,0.262649006622517,"1:2:3:4","5",FALSE,302,50,10000,0.830769230769231,0.286461538461538,"1:2:3:4","5",FALSE,130,50,"r.149829.74"
"73A",1.49147975160206,0.196808510638298,0.282659574468085,"1","2",FALSE,188,50,15.5138315630663,0.126760563380282,0.218028169014085,"1","2",FALSE,71,50,"r.149829.74"
"77A",1.00832459367594,0.5,0.432153846153846,"2:3","1",FALSE,130,50,10.5852829213349,0.721698113207547,0.393018867924528,"2:3","1",FALSE,212,50,"r.149829.74"
"92A",1.41453944196569,0.637413394919169,0.411501154734411,"1:2:3:4:5","6",FALSE,433,50,3.28587974402443,0.560386473429952,0.463478260869565,"1:2:3:4:5","6",FALSE,207,50,"r.149829.74"
"100A",2.33150721463167,0.684563758389262,0.398523489932886,"2:3:4:5:6","1",FALSE,149,50,10000,0.870967741935484,0.230967741935484,"2:3:4:5:6","1",FALSE,124,50,"r.149829.74"
"82A",1.64672721174754,0.95,0.0855882352941176,"1","2",FALSE,680,50,0.35526715283988,0.664359861591695,0.342906574394464,"1","2",FALSE,289,50,"r.149829.74"
"83A",0.00605868310764049,0.459770114942529,0.214770114942529,"1","2",FALSE,696,50,0.273869553893664,0.56953642384106,0.364370860927152,"1","2",FALSE,302,50,"r.149829.74"
"86A",0.0150112770963612,0.514035087719298,0.244105263157895,"1","2",FALSE,570,50,0.195672211254513,0.746153846153846,0.268846153846154,"1","2",FALSE,260,50,"r.149829.74"
"87A",0.0362623500207658,0.343987823439878,0.250258751902588,"1","2",FALSE,657,50,1.87770500004985,0.38695652173913,0.431565217391304,"1","2",FALSE,230,50,"r.149829.74"
"89A",0.00317943708118498,0.372791519434629,0.186395759717314,"1","2",FALSE,566,50,6.88151036540574,0.805970149253731,0.302786069651741,"1","2",FALSE,201,50,"r.149829.74"
"91A",0.13017016374011,0.638190954773869,0.309145728643216,"1","2",FALSE,199,50,3.92337089439939,0.686274509803922,0.40843137254902,"1","2",FALSE,102,50,"r.149829.74"
"143E",1.08293766858074,0.693846153846154,0.369661538461538,"1:2:3","4",FALSE,650,50,0.331552307800552,0.649659863945578,0.34687074829932,"1:2:3","4",FALSE,294,50,"r.149829.74"
"143F",1.01765544365815,0.490769230769231,0.4324,"1:2:3","4",FALSE,650,50,0.455581265449871,0.503401360544218,0.396530612244898,"1:2:3","4",FALSE,294,50,"r.149829.74"
"107A",5.99346216058079,0.619047619047619,0.45469387755102,"1","2",FALSE,147,50,10000,0.454545454545455,0.499834710743802,"1","2",FALSE,121,50,"r.149829.74"
"119A",0.237978462171591,0.373737373737374,0.341313131313131,"2","1",FALSE,198,50,3.81643759909837,0.273684210526316,0.376631578947368,"2","1",FALSE,95,50,"r.149829.74"
"120A",22.7371315018987,0.378787878787879,0.465656565656566,"2","1",FALSE,198,50,1.05099865492588,0.315789473684211,0.374947368421053,"2","1",FALSE,95,50,"r.149829.74"
"129A",6.26151849856364,0.564935064935065,0.474545454545455,"1","2",FALSE,154,50,0.723745636894028,0.27027027027027,0.32978978978979,"1","2",FALSE,333,50,"r.149829.74"
"130A",10000,0.0201342281879195,0.0410738255033557,"1","2",FALSE,149,50,1.98897746667359,0.126888217522659,0.202356495468278,"1","2",FALSE,331,50,"r.149829.74"
