"feature_ID","temperature.x","feature_frequency.x","isogloss_density.x","value_ID_up.x","value_ID_down.x","resampled.x","sample_size.x","neighbourhood_size.x","temperature.y","feature_frequency.y","isogloss_density.y","value_ID_up.y","value_ID_down.y","resampled.y","sample_size.y","neighbourhood_size.y","rep"
"4A",0.234712950961324,0.72,0.293466666666667,"2:3:4","1",FALSE,150,50,0.471593007200925,0.686666666666667,0.342666666666667,"2:3:4","1",FALSE,150,50,"r.149828.48"
"6A",12.0145627719622,0.173333333333333,0.281066666666667,"2:3:4","1",FALSE,150,50,2.23684022222826,0.193333333333333,0.287066666666667,"2:3:4","1",FALSE,150,50,"r.149828.48"
"7A",4.62026054217462,0.246666666666667,0.354933333333333,"2:3:4:5:6:7:8","1",FALSE,150,50,2.56827168714929,0.286666666666667,0.3796,"2:3:4:5:6:7:8","1",FALSE,150,50,"r.149828.48"
"8A",2.391320923196,0.88,0.1952,"2:3:4:5","1",FALSE,150,50,1.91261766587798,0.84,0.2448,"2:3:4:5","1",FALSE,150,50,"r.149828.48"
"9A",0.639117277354234,0.48,0.411733333333333,"1:2","3",FALSE,150,50,0.414535526321947,0.526666666666667,0.390933333333333,"1:2","3",FALSE,150,50,"r.149828.48"
"11A",10000,0.1,0.1804,"2:3:4","1",FALSE,150,50,10000,0.0466666666666667,0.0924,"2:3:4","1",FALSE,150,50,"r.149828.48"
"13A",0.532810355792739,0.413333333333333,0.391866666666667,"2:3","1",FALSE,150,50,5.17215304358588,0.4,0.4604,"2:3","1",FALSE,150,50,"r.149828.48"
"26A",1.5018192328627,0.846666666666667,0.232266666666667,"2:3:4:5:6","1",FALSE,150,50,49.2911870266571,0.853333333333333,0.249066666666667,"2:3:4:5:6","1",FALSE,150,50,"r.149828.48"
"27A",1.9082183278871,0.82,0.2688,"1:2","3",FALSE,150,50,1.21229513085585,0.853333333333333,0.22,"1:2","3",FALSE,150,50,"r.149828.48"
"33A",15.0216511392811,0.96,0.0756,"1:2:3:4:5:6:7:8","9",FALSE,150,50,10000,0.94,0.113733333333333,"1:2:3:4:5:6:7:8","9",FALSE,150,50,"r.149828.48"
"37A",1.37598551272117,0.62,0.418533333333333,"1:2:3","4:5",FALSE,150,50,1.64672721174754,0.586666666666667,0.436933333333333,"1:2:3","4:5",FALSE,150,50,"r.149828.48"
"38A",10000,0.433333333333333,0.494133333333333,"1:2:3","4:5",FALSE,150,50,10000,0.46,0.497333333333333,"1:2:3","4:5",FALSE,150,50,"r.149828.48"
"44A",85.4659608060768,0.313333333333333,0.429066666666667,"1:2:3:4:5","6",FALSE,150,50,1.51571679129788,0.306666666666667,0.380666666666667,"1:2:3:4:5","6",FALSE,150,50,"r.149828.48"
"48A",9.07184809667342,0.873333333333333,0.215733333333333,"2:3:4","1",FALSE,150,50,1.94817947213828,0.82,0.2692,"2:3:4","1",FALSE,150,50,"r.149828.48"
"53A",0.296174152715284,0.873333333333333,0.166133333333333,"2:3:4:5:6:7:8","1",FALSE,150,50,0.465121865915089,0.913333333333333,0.125866666666667,"2:3:4:5:6:7:8","1",FALSE,150,50,"r.149828.48"
"57A",5.05440882728824,0.72,0.3864,"1:2:3","4",FALSE,150,50,10000,0.72,0.41,"1:2:3","4",FALSE,150,50,"r.149828.48"
"69A",10000,0.9,0.183466666666667,"1:2:3:4","5",FALSE,150,50,10000,0.826666666666667,0.297066666666667,"1:2:3:4","5",FALSE,150,50,"r.149828.48"
