"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.172792048111757,0.653333333333333,0.315833333333333,"2:3:4","1",TRUE,300,4,"r.149830.12.4"
"6A",0.0248564752510907,0.196666666666667,0.165833333333333,"2:3:4","1",TRUE,300,4,"r.149830.12.4"
"7A",0.0731958483434347,0.27,0.2425,"2:3:4:5:6:7:8","1",TRUE,300,4,"r.149830.12.4"
"8A",0.294135100987302,0.84,0.201666666666667,"2:3:4:5","1",TRUE,300,4,"r.149830.12.4"
"9A",0.0177592631500121,0.51,0.25,"1:2","3",TRUE,300,4,"r.149830.12.4"
"11A",0.606147415604001,0.06,0.0925,"2:3:4","1",TRUE,300,4,"r.149830.12.4"
"13A",0.0173949843519436,0.38,0.235,"2:3","1",TRUE,300,4,"r.149830.12.4"
"26A",0.159045048176379,0.853333333333333,0.1725,"2:3:4:5:6","1",TRUE,300,4,"r.149830.12.4"
"27A",0.106048016568363,0.843333333333333,0.171666666666667,"1:2","3",TRUE,300,4,"r.149830.12.4"
"33A",0.580198173971666,0.903333333333333,0.1425,"1:2:3:4:5:6:7:8","9",TRUE,300,4,"r.149830.12.4"
"37A",0.928104246295499,0.613333333333333,0.406666666666667,"1:2:3","4:5",TRUE,300,4,"r.149830.12.4"
"38A",0.63764720156802,0.433333333333333,0.405,"1:2:3","4:5",TRUE,300,4,"r.149830.12.4"
"44A",0.437083142036476,0.34,0.354166666666667,"1:2:3:4:5","6",TRUE,300,4,"r.149830.12.4"
"48A",0.189464458420099,0.843333333333333,0.186666666666667,"2:3:4","1",TRUE,300,4,"r.149830.12.4"
"53A",0.06690869328305,0.896666666666667,0.1125,"2:3:4:5:6:7:8","1",TRUE,300,4,"r.149830.12.4"
"57A",0.176004816375847,0.686666666666667,0.300833333333333,"1:2:3","4",TRUE,300,4,"r.149830.12.4"
"69A",0.367753280640344,0.853333333333333,0.193333333333333,"1:2:3:4","5",TRUE,300,4,"r.149830.12.4"
"70A",0.324004509753071,0.786666666666667,0.255,"1:2:3:4","5",TRUE,300,4,"r.149830.12.4"
"73A",0.0275704620468002,0.15,0.135833333333333,"1","2",TRUE,300,4,"r.149830.12.4"
"77A",0.51235497441619,0.566666666666667,0.395,"2:3","1",TRUE,300,4,"r.149830.12.4"
"92A",2.05888155615276,0.583333333333333,0.445,"1:2:3:4:5","6",TRUE,300,4,"r.149830.12.4"
"100A",1.00600527979987,0.783333333333333,0.293333333333333,"2:3:4:5:6","1",TRUE,300,4,"r.149830.12.4"
"82A",0.0713650128840595,0.876666666666667,0.1325,"1","2",TRUE,300,4,"r.149830.12.4"
"83A",0.011127680316639,0.553333333333333,0.231666666666667,"1","2",TRUE,300,4,"r.149830.12.4"
"86A",0.00189813821462947,0.556666666666667,0.185,"1","2",TRUE,300,4,"r.149830.12.4"
"87A",0.0263901673476061,0.283333333333333,0.215,"1","2",TRUE,300,4,"r.149830.12.4"
"89A",0.00460644973580409,0.42,0.203333333333333,"1","2",TRUE,300,4,"r.149830.12.4"
"91A",0.021499741751177,0.533333333333333,0.255833333333333,"1","2",TRUE,300,4,"r.149830.12.4"
"143E",0.362707015320427,0.72,0.310833333333333,"1:2:3","4",TRUE,300,4,"r.149830.12.4"
"143F",0.347179485646949,0.476666666666667,0.3825,"1:2:3","4",TRUE,300,4,"r.149830.12.4"
"107A",0.183031674360743,0.446666666666667,0.3475,"1","2",TRUE,300,4,"r.149830.12.4"
"119A",0.0557795039141308,0.29,0.243333333333333,"2","1",TRUE,300,4,"r.149830.12.4"
"120A",0.123171165492993,0.446666666666667,0.328333333333333,"2","1",TRUE,300,4,"r.149830.12.4"
"129A",0.0621554690174115,0.36,0.276666666666667,"1","2",TRUE,300,4,"r.149830.12.4"
"130A",1.47780442180313,0.116666666666667,0.184166666666667,"1","2",TRUE,300,4,"r.149830.12.4"
