"feature_ID","temperature.x","feature_frequency.x","isogloss_density.x","value_ID_up.x","value_ID_down.x","resampled.x","sample_size.x","neighbourhood_size.x","temperature.y","feature_frequency.y","isogloss_density.y","value_ID_up.y","value_ID_down.y","resampled.y","sample_size.y","neighbourhood_size.y","rep"
"4A",0.194325078978388,0.64,0.326666666666667,"2:3:4","1",FALSE,150,1,0.593714092771661,0.733333333333333,0.32,"2:3:4","1",FALSE,150,1,"145662.34"
"6A",0.00100531052648324,0.173333333333333,0.1,"2:3:4","1",FALSE,150,1,2.3968340391912,0.153333333333333,0.24,"2:3:4","1",FALSE,150,1,"145662.34"
"7A",0.08327066811662,0.306666666666667,0.266666666666667,"2:3:4:5:6:7:8","1",FALSE,150,1,0.048469500802317,0.28,0.233333333333333,"2:3:4:5:6:7:8","1",FALSE,150,1,"145662.34"
"8A",0.167695902927956,0.84,0.186666666666667,"2:3:4:5","1",FALSE,150,1,0.35526715283988,0.84,0.206666666666667,"2:3:4:5","1",FALSE,150,1,"145662.34"
"9A",0.0314376261408972,0.433333333333333,0.266666666666667,"1:2","3",FALSE,150,1,0.00247365616964326,0.5,0.193333333333333,"1:2","3",FALSE,150,1,"145662.34"
"11A",0.35855472960588,0.08,0.113333333333333,"2:3:4","1",FALSE,150,1,0.155066881102297,0.0733333333333333,0.0933333333333333,"2:3:4","1",FALSE,150,1,"145662.34"
"13A",0.000159301630890264,0.406666666666667,0.14,"2:3","1",FALSE,150,1,0.0028730675339645,0.433333333333333,0.193333333333333,"2:3","1",FALSE,150,1,"145662.34"
"26A",0.0440011823420567,0.84,0.153333333333333,"2:3:4:5:6","1",FALSE,150,1,0.0073010670801373,0.86,0.106666666666667,"2:3:4:5:6","1",FALSE,150,1,"145662.34"
"27A",0.0259084447795296,0.833333333333333,0.146666666666667,"1:2","3",FALSE,150,1,2.87505306295832,0.873333333333333,0.206666666666667,"1:2","3",FALSE,150,1,"145662.34"
"33A",1.2782348706549,0.926666666666667,0.12,"1:2:3:4:5:6:7:8","9",FALSE,150,1,0.367753280640344,0.853333333333333,0.193333333333333,"1:2:3:4:5:6:7:8","9",FALSE,150,1,"145662.34"
"37A",6.61731895575939,0.593333333333333,0.466666666666667,"1:2:3","4:5",FALSE,150,1,0.137250441890335,0.633333333333333,0.313333333333333,"1:2:3","4:5",FALSE,150,1,"145662.34"
"38A",0.271358452775891,0.413333333333333,0.36,"1:2:3","4:5",FALSE,150,1,1.71247153906245,0.446666666666667,0.446666666666667,"1:2:3","4:5",FALSE,150,1,"145662.34"
"44A",0.370302680422431,0.326666666666667,0.34,"1:2:3:4:5","6",FALSE,150,1,0.342415531413405,0.346666666666667,0.346666666666667,"1:2:3:4:5","6",FALSE,150,1,"145662.34"
"48A",0.167695902927956,0.84,0.186666666666667,"2:3:4","1",FALSE,150,1,0.0949506079480757,0.853333333333333,0.16,"2:3:4","1",FALSE,150,1,"145662.34"
"53A",0.0557795039141308,0.906666666666667,0.1,"2:3:4:5:6:7:8","1",FALSE,150,1,0.171602437468647,0.886666666666667,0.14,"2:3:4:5:6:7:8","1",FALSE,150,1,"145662.34"
"57A",0.198394556982656,0.72,0.286666666666667,"1:2:3","4",FALSE,150,1,0.100809242187172,0.72,0.26,"1:2:3","4",FALSE,150,1,"145662.34"
"69A",0.437083142036476,0.88,0.166666666666667,"1:2:3:4","5",FALSE,150,1,2.3968340391912,0.846666666666667,0.24,"1:2:3:4","5",FALSE,150,1,"145662.34"
"70A",0.327002787780829,0.773333333333333,0.266666666666667,"1:2:3:4","5",FALSE,150,1,0.0500575911676407,0.746666666666667,0.22,"1:2:3:4","5",FALSE,150,1,"145662.34"
"73A",0.0173150536839935,0.14,0.12,"1","2",FALSE,150,1,0.130470267003061,0.16,0.18,"1","2",FALSE,150,1,"145662.34"
"77A",0.480361460747596,0.56,0.393333333333333,"2:3","1",FALSE,150,1,0.316628537550337,0.56,0.373333333333333,"2:3","1",FALSE,150,1,"145662.34"
"92A",10000,0.613333333333333,0.52,"1:2:3:4:5","6",FALSE,150,1,1.57623062755012,0.593333333333333,0.433333333333333,"1:2:3:4:5","6",FALSE,150,1,"145662.34"
"100A",1.24913581619513,0.746666666666667,0.333333333333333,"2:3:4:5:6","1",FALSE,150,1,0.0125721612028276,0.786666666666667,0.16,"2:3:4:5:6","1",FALSE,150,1,"145662.34"
"82A",0.100577364202932,0.846153846153846,0.167832167832168,"1","2",FALSE,143,1,0.131981193456173,0.876811594202899,0.144927536231884,"1","2",FALSE,138,1,"145662.34"
"83A",9.08229950807269e-05,0.446969696969697,0.136363636363636,"1","2",FALSE,132,1,0.0012891724950202,0.553191489361702,0.177304964539007,"1","2",FALSE,141,1,"145662.34"
"86A",0.0163463706468937,0.666666666666667,0.21969696969697,"1","2",FALSE,132,1,0.00798712054474326,0.610294117647059,0.213235294117647,"1","2",FALSE,136,1,"145662.34"
"87A",0.098741438513791,0.338129496402878,0.287769784172662,"1","2",FALSE,139,1,0.0377970361283527,0.292307692307692,0.230769230769231,"1","2",FALSE,130,1,"145662.34"
"89A",0.011571944461771,0.424460431654676,0.23021582733813,"1","2",FALSE,139,1,0.0275070454093444,0.457142857142857,0.264285714285714,"1","2",FALSE,140,1,"145662.34"
