"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.138839886965577,0.64,0.311372549019608,"2:3:4","1",TRUE,300,34,"145664.115.34"
"6A",0.382435549738144,0.166666666666667,0.215588235294118,"2:3:4","1",TRUE,300,34,"145664.115.34"
"7A",0.578863621899639,0.26,0.313921568627451,"2:3:4:5:6:7:8","1",TRUE,300,34,"145664.115.34"
"8A",1.46763027381529,0.826666666666667,0.255882352941176,"2:3:4:5","1",TRUE,300,34,"145664.115.34"
"9A",0.124884819639692,0.496666666666667,0.332745098039216,"1:2","3",TRUE,300,34,"145664.115.34"
"11A",0.18472541574736,0.0633333333333333,0.0835294117647059,"2:3:4","1",TRUE,300,34,"145664.115.34"
"13A",0.138201911979297,0.453333333333333,0.334705882352941,"2:3","1",TRUE,300,34,"145664.115.34"
"26A",0.44829630213827,0.86,0.190588235294118,"2:3:4:5:6","1",TRUE,300,34,"145664.115.34"
"27A",0.398620891418824,0.85,0.198921568627451,"1:2","3",TRUE,300,34,"145664.115.34"
"33A",34.099913342377,0.906666666666667,0.168039215686275,"1:2:3:4:5:6:7:8","9",TRUE,300,34,"145664.115.34"
"37A",1.03657698055115,0.61,0.412254901960784,"1:2:3","4:5",TRUE,300,34,"145664.115.34"
"38A",3.66991888800236,0.46,0.469803921568627,"1:2:3","4:5",TRUE,300,34,"145664.115.34"
"44A",3.13797634170774,0.33,0.415,"1:2:3:4:5","6",TRUE,300,34,"145664.115.34"
"48A",0.623131144252951,0.836666666666667,0.224803921568627,"2:3:4","1",TRUE,300,34,"145664.115.34"
"53A",0.367753280640344,0.9,0.139019607843137,"2:3:4:5:6:7:8","1",TRUE,300,34,"145664.115.34"
"57A",2.8290795832063,0.733333333333333,0.365,"1:2:3","4",TRUE,300,34,"145664.115.34"
"69A",1.6241310233314,0.88,0.190098039215686,"1:2:3:4","5",TRUE,300,34,"145664.115.34"
"70A",1.86907686840968,0.753333333333333,0.337941176470588,"1:2:3:4","5",TRUE,300,34,"145664.115.34"
"73A",0.722080901838546,0.146666666666667,0.20921568627451,"1","2",TRUE,300,34,"145664.115.34"
"77A",0.65250141550055,0.57,0.405294117647059,"2:3","1",TRUE,300,34,"145664.115.34"
"92A",8.29262199356948,0.61,0.462941176470588,"1:2:3:4:5","6",TRUE,300,34,"145664.115.34"
"100A",1.55818587064949,0.796666666666667,0.290686274509804,"2:3:4:5:6","1",TRUE,300,34,"145664.115.34"
"82A",0.282192231929897,0.846666666666667,0.193725490196078,"1","2",TRUE,300,34,"145664.115.34"
"83A",0.269490248150462,0.523333333333333,0.37,"1","2",TRUE,300,34,"145664.115.34"
"86A",0.146729234457035,0.593333333333333,0.328725490196078,"1","2",TRUE,300,34,"145664.115.34"
"87A",0.306583413161786,0.313333333333333,0.324607843137255,"1","2",TRUE,300,34,"145664.115.34"
"89A",0.0310777268270976,0.426666666666667,0.265196078431373,"1","2",TRUE,300,34,"145664.115.34"
"91A",0.144382963504248,0.536666666666667,0.337941176470588,"1","2",TRUE,300,34,"145664.115.34"
"143E",95.674913843297,0.72,0.402156862745098,"1:2:3","4",TRUE,300,34,"145664.115.34"
"143F",17.7306587979402,0.453333333333333,0.489019607843137,"1:2:3","4",TRUE,300,34,"145664.115.34"
"107A",0.552807921196648,0.443333333333333,0.400490196078431,"1","2",TRUE,300,34,"145664.115.34"
"119A",0.30870876112699,0.316666666666667,0.326764705882353,"2","1",TRUE,300,34,"145664.115.34"
"120A",0.771949266491036,0.456666666666667,0.417745098039216,"2","1",TRUE,300,34,"145664.115.34"
"129A",1.01297927507364,0.36,0.39843137254902,"1","2",TRUE,300,34,"145664.115.34"
"130A",1.21509003956592,0.116666666666667,0.181176470588235,"1","2",TRUE,300,34,"145664.115.34"
