iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,rho,sigma,tau,tau_actual
12249999,1,12250000,2679,49,0,0.5,0.01,0.01,0.435237,0.132979,7.24913e-05,0.02
12249999,2,12250000,2679,49,0,0.5,0.173333,0.01,0.954087,0.0520717,0.0580198,0.183333
12249999,3,12250000,2679,49,0,0.5,0.336667,0.01,0.968645,0.043953,0.225235,0.346667
12249999,4,12250000,2679,49,0,0.5,0.5,0.01,0.983203,0.0261292,0.446339,0.51
12249999,5,12250000,2679,49,0,0.5,0.663333,0.01,0.985069,0.0225831,0.351281,0.673333
12249999,6,12250000,2679,49,0,0.5,0.826667,0.01,0.986189,0.0221165,0.555488,0.836667
12249999,7,12250000,2679,49,0,0.5,0.99,0.01,0.988429,0.018477,0.531707,1
12249999,8,12250000,2679,49,0,0.5,0.01,0.173333,0.0612169,0.0684024,0.0585567,0.183333
12249999,9,12250000,2679,49,0,0.5,0.173333,0.173333,0.492721,0.339399,0.143422,0.346667
12249999,10,12250000,2679,49,0,0.5,0.336667,0.173333,0.673386,0.340612,0.375541,0.51
12249999,11,12250000,2679,49,0,0.5,0.5,0.173333,0.747294,0.319709,0.816002,0.673333
12249999,12,12250000,2679,49,0,0.5,0.663333,0.173333,0.783501,0.284248,0.739072,0.836667
12249999,13,12250000,2679,49,0,0.5,0.826667,0.173333,0.854423,0.206234,0.669395,1
12249999,14,12250000,2679,49,0,0.5,0.99,0.173333,0.868981,0.200541,1.24368,1.16333
12249999,15,12250000,2679,49,0,0.5,0.01,0.336667,0.0391937,0.0540314,0.211657,0.346667
12249999,16,12250000,2679,49,0,0.5,0.173333,0.336667,0.329601,0.342292,0.376407,0.51
12249999,17,12250000,2679,49,0,0.5,0.336667,0.336667,0.512505,0.396697,0.458845,0.673333
12249999,18,12250000,2679,49,0,0.5,0.5,0.336667,0.606943,0.387178,0.552935,0.836667
12249999,19,12250000,2679,49,0,0.5,0.663333,0.336667,0.672266,0.369168,0.737372,1
12249999,20,12250000,2679,49,0,0.5,0.826667,0.336667,0.703621,0.361609,1.0416,1.16333
12249999,21,12250000,2679,49,0,0.5,0.99,0.336667,0.743561,0.333707,1.15533,1.32667
12249999,22,12250000,2679,49,0,0.5,0.01,0.5,0.0149309,0.0268757,2.00323,0.51
12249999,23,12250000,2679,49,0,0.5,0.173333,0.5,0.267264,0.304031,0.382524,0.673333
12249999,24,12250000,2679,49,0,0.5,0.336667,0.5,0.424785,0.411907,0.782869,0.836667
12249999,25,12250000,2679,49,0,0.5,0.5,0.5,0.517357,0.435237,1.10333,1
12249999,26,12250000,2679,49,0,0.5,0.663333,0.5,0.575215,0.412654,0.795591,1.16333
12249999,27,12250000,2679,49,0,0.5,0.826667,0.5,0.638671,0.407335,1.27265,1.32667
12249999,28,12250000,2679,49,0,0.5,0.99,0.5,0.666293,0.391191,1.22662,1.49
12249999,29,12250000,2679,49,0,0.5,0.01,0.663333,0.0156775,0.0252893,0.602113,0.673333
12249999,30,12250000,2679,49,0,0.5,0.173333,0.663333,0.214632,0.286021,0.83309,0.836667
12249999,31,12250000,2679,49,0,0.5,0.336667,0.663333,0.309817,0.365435,0.896799,1
12249999,32,12250000,2679,49,0,0.5,0.5,0.663333,0.439343,0.428798,1.08819,1.16333
12249999,33,12250000,2679,49,0,0.5,0.663333,0.663333,0.498694,0.43813,1.1714,1.32667
12249999,34,12250000,2679,49,0,0.5,0.826667,0.663333,0.573348,0.44037,1.62451,1.49
12249999,35,12250000,2679,49,0,0.5,0.99,0.663333,0.607316,0.430758,1.70107,1.65333
12249999,36,12250000,2679,49,0,0.5,0.01,0.826667,0.0100784,0.0166107,0.694519,0.836667
12249999,37,12250000,2679,49,0,0.5,0.173333,0.826667,0.176932,0.240015,0.633403,1
12249999,38,12250000,2679,49,0,0.5,0.336667,0.826667,0.282941,0.362729,1.48839,1.16333
12249999,39,12250000,2679,49,0,0.5,0.5,0.826667,0.362449,0.413121,1.48839,1.32667
12249999,40,12250000,2679,49,0,0.5,0.663333,0.826667,0.447928,0.449888,1.87814,1.49
12249999,41,12250000,2679,49,0,0.5,0.826667,0.826667,0.495334,0.448488,1.55496,1.65333
12249999,42,12250000,2679,49,0,0.5,0.99,0.826667,0.524823,0.471538,3.64549,1.81667
12249999,43,12250000,2679,49,0,0.5,0.01,0.99,0.00783875,0.0134378,1.00392,1
12249999,44,12250000,2679,49,0,0.5,0.173333,0.99,0.165733,0.241788,1.14474,1.16333
12249999,45,12250000,2679,49,0,0.5,0.336667,0.99,0.262038,0.336226,1.07326,1.32667
12249999,46,12250000,2679,49,0,0.5,0.5,0.99,0.325868,0.392777,1.48839,1.49
12249999,47,12250000,2679,49,0,0.5,0.663333,0.99,0.381486,0.416667,1.27853,1.65333
12249999,48,12250000,2679,49,0,0.5,0.826667,0.99,0.444196,0.441583,1.49526,1.81667
12249999,49,12250000,2679,49,0,0.5,0.99,0.99,0.4972,0.451661,1.705,1.98
12250000,1,12250000,2679,49,0,0.5,0.01,0.01,0.435237,0.132979,7.24913e-05,0.02
12250000,2,12250000,2679,49,0,0.5,0.173333,0.01,0.954087,0.0520717,0.0580198,0.183333
12250000,3,12250000,2679,49,0,0.5,0.336667,0.01,0.968645,0.043953,0.225235,0.346667
12250000,4,12250000,2679,49,0,0.5,0.5,0.01,0.983203,0.0261292,0.446339,0.51
12250000,5,12250000,2679,49,0,0.5,0.663333,0.01,0.985069,0.0225831,0.351281,0.673333
12250000,6,12250000,2679,49,0,0.5,0.826667,0.01,0.986189,0.0221165,0.555488,0.836667
12250000,7,12250000,2679,49,0,0.5,0.99,0.01,0.988429,0.018477,0.531707,1
12250000,8,12250000,2679,49,0,0.5,0.01,0.173333,0.0612169,0.0684024,0.0585567,0.183333
12250000,9,12250000,2679,49,0,0.5,0.173333,0.173333,0.492721,0.339399,0.143422,0.346667
12250000,10,12250000,2679,49,0,0.5,0.336667,0.173333,0.673386,0.340612,0.375541,0.51
12250000,11,12250000,2679,49,0,0.5,0.5,0.173333,0.747294,0.319709,0.816002,0.673333
12250000,12,12250000,2679,49,0,0.5,0.663333,0.173333,0.783501,0.284248,0.739072,0.836667
12250000,13,12250000,2679,49,0,0.5,0.826667,0.173333,0.854423,0.206234,0.669395,1
12250000,14,12250000,2679,49,0,0.5,0.99,0.173333,0.868981,0.200541,1.24368,1.16333
12250000,15,12250000,2679,49,0,0.5,0.01,0.336667,0.0391937,0.0540314,0.211657,0.346667
12250000,16,12250000,2679,49,0,0.5,0.173333,0.336667,0.329601,0.342292,0.376407,0.51
12250000,17,12250000,2679,49,0,0.5,0.336667,0.336667,0.512505,0.396697,0.458845,0.673333
12250000,18,12250000,2679,49,0,0.5,0.5,0.336667,0.606943,0.387178,0.552935,0.836667
12250000,19,12250000,2679,49,0,0.5,0.663333,0.336667,0.672266,0.369168,0.737372,1
12250000,20,12250000,2679,49,0,0.5,0.826667,0.336667,0.703621,0.361609,1.0416,1.16333
12250000,21,12250000,2679,49,0,0.5,0.99,0.336667,0.743561,0.333707,1.15533,1.32667
12250000,22,12250000,2679,49,0,0.5,0.01,0.5,0.0149309,0.0268757,2.00323,0.51
12250000,23,12250000,2679,49,0,0.5,0.173333,0.5,0.267264,0.304031,0.382524,0.673333
12250000,24,12250000,2679,49,0,0.5,0.336667,0.5,0.424785,0.411907,0.782869,0.836667
12250000,25,12250000,2679,49,0,0.5,0.5,0.5,0.517357,0.435237,1.10333,1
12250000,26,12250000,2679,49,0,0.5,0.663333,0.5,0.575215,0.412654,0.795591,1.16333
12250000,27,12250000,2679,49,0,0.5,0.826667,0.5,0.638671,0.407335,1.27265,1.32667
12250000,28,12250000,2679,49,0,0.5,0.99,0.5,0.666293,0.391191,1.22662,1.49
12250000,29,12250000,2679,49,0,0.5,0.01,0.663333,0.0156775,0.0252893,0.602113,0.673333
12250000,30,12250000,2679,49,0,0.5,0.173333,0.663333,0.214632,0.286021,0.83309,0.836667
12250000,31,12250000,2679,49,0,0.5,0.336667,0.663333,0.309817,0.365435,0.896799,1
12250000,32,12250000,2679,49,0,0.5,0.5,0.663333,0.439343,0.428798,1.08819,1.16333
12250000,33,12250000,2679,49,0,0.5,0.663333,0.663333,0.498694,0.43813,1.1714,1.32667
12250000,34,12250000,2679,49,0,0.5,0.826667,0.663333,0.573348,0.44037,1.62451,1.49
12250000,35,12250000,2679,49,0,0.5,0.99,0.663333,0.607316,0.430758,1.70107,1.65333
12250000,36,12250000,2679,49,0,0.5,0.01,0.826667,0.0100784,0.0166107,0.694519,0.836667
12250000,37,12250000,2679,49,0,0.5,0.173333,0.826667,0.176932,0.240015,0.633403,1
12250000,38,12250000,2679,49,0,0.5,0.336667,0.826667,0.282941,0.362729,1.48839,1.16333
12250000,39,12250000,2679,49,0,0.5,0.5,0.826667,0.362449,0.413121,1.48839,1.32667
12250000,40,12250000,2679,49,0,0.5,0.663333,0.826667,0.447928,0.449888,1.87814,1.49
12250000,41,12250000,2679,49,0,0.5,0.826667,0.826667,0.495334,0.448488,1.55496,1.65333
12250000,42,12250000,2679,49,0,0.5,0.99,0.826667,0.524823,0.471538,3.64549,1.81667
12250000,43,12250000,2679,49,0,0.5,0.01,0.99,0.00783875,0.0134378,1.00392,1
12250000,44,12250000,2679,49,0,0.5,0.173333,0.99,0.165733,0.241788,1.14474,1.16333
12250000,45,12250000,2679,49,0,0.5,0.336667,0.99,0.262038,0.336226,1.07326,1.32667
12250000,46,12250000,2679,49,0,0.5,0.5,0.99,0.325868,0.392777,1.48839,1.49
12250000,47,12250000,2679,49,0,0.5,0.663333,0.99,0.381486,0.416667,1.27853,1.65333
12250000,48,12250000,2679,49,0,0.5,0.826667,0.99,0.444196,0.441583,1.49526,1.81667
