"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.180936319777964,0.696666666666667,0.296666666666667,"2:3:4","1",TRUE,300,1,"145667.4"
"6A",0.0091494742583894,0.183333333333333,0.136666666666667,"2:3:4","1",TRUE,300,1,"145667.4"
"7A",0.0377100966736208,0.313333333333333,0.24,"2:3:4:5:6:7:8","1",TRUE,300,1,"145667.4"
"8A",0.103872754921144,0.813333333333333,0.196666666666667,"2:3:4:5","1",TRUE,300,1,"145667.4"
"9A",0.000796691399773139,0.486666666666667,0.17,"1:2","3",TRUE,300,1,"145667.4"
"11A",2.28894819527694,0.07,0.12,"2:3:4","1",TRUE,300,1,"145667.4"
"13A",0.00564124728501619,0.406666666666667,0.206666666666667,"2:3","1",TRUE,300,1,"145667.4"
"26A",0.164256117085289,0.856666666666667,0.17,"2:3:4:5:6","1",TRUE,300,1,"145667.4"
"27A",0.02029694818689,0.85,0.13,"1:2","3",TRUE,300,1,"145667.4"
"33A",0.0367668603599628,0.9,0.1,"1:2:3:4:5:6:7:8","9",TRUE,300,1,"145667.4"
"37A",2.17587410343328,0.593333333333333,0.443333333333333,"1:2:3","4:5",TRUE,300,1,"145667.4"
"38A",0.967383242068429,0.453333333333333,0.426666666666667,"1:2:3","4:5",TRUE,300,1,"145667.4"
"44A",0.574878355603847,0.323333333333333,0.356666666666667,"1:2:3:4:5","6",TRUE,300,1,"145667.4"
"48A",0.148087039754366,0.84,0.183333333333333,"2:3:4","1",TRUE,300,1,"145667.4"
"53A",0.0125721612028276,0.89,0.0933333333333333,"2:3:4:5:6:7:8","1",TRUE,300,1,"145667.4"
"57A",0.166158304595826,0.73,0.273333333333333,"1:2:3","4",TRUE,300,1,"145667.4"
"69A",0.2796048204453,0.85,0.19,"1:2:3:4","5",TRUE,300,1,"145667.4"
"70A",0.332316691331699,0.793333333333333,0.25,"1:2:3:4","5",TRUE,300,1,"145667.4"
"73A",0.0231438946441112,0.146666666666667,0.13,"1","2",TRUE,300,1,"145667.4"
"77A",0.0600451380686356,0.566666666666667,0.293333333333333,"2:3","1",TRUE,300,1,"145667.4"
"92A",0.570920526422511,0.566666666666667,0.4,"1:2:3:4:5","6",TRUE,300,1,"145667.4"
"100A",0.791753257730084,0.79,0.28,"2:3:4:5:6","1",TRUE,300,1,"145667.4"
"82A",0.0190295247760254,0.88,0.106666666666667,"1","2",TRUE,300,1,"145667.4"
"83A",0.00133448141930716,0.506666666666667,0.18,"1","2",TRUE,300,1,"145667.4"
"86A",4.30688639540805e-05,0.573333333333333,0.126666666666667,"1","2",TRUE,300,1,"145667.4"
"87A",0.00400276631196116,0.293333333333333,0.17,"1","2",TRUE,300,1,"145667.4"
"89A",0.00289965437149313,0.476666666666667,0.196666666666667,"1","2",TRUE,300,1,"145667.4"
"91A",0.011492275817041,0.546666666666667,0.233333333333333,"1","2",TRUE,300,1,"145667.4"
"143E",0.204423609859958,0.716666666666667,0.29,"1:2:3","4",TRUE,300,1,"145667.4"
"143F",0.17845353383512,0.486666666666667,0.35,"1:2:3","4",TRUE,300,1,"145667.4"
"107A",0.0548875628481336,0.436666666666667,0.29,"1","2",TRUE,300,1,"145667.4"
"119A",0.0640443243117238,0.293333333333333,0.25,"2","1",TRUE,300,1,"145667.4"
"120A",0.103395455343595,0.446666666666667,0.32,"2","1",TRUE,300,1,"145667.4"
"129A",0.0930029768415917,0.35,0.29,"1","2",TRUE,300,1,"145667.4"
"130A",0.142074210551226,0.126666666666667,0.15,"1","2",TRUE,300,1,"145667.4"
