"feature_ID","temperature.x","feature_frequency.x","isogloss_density.x","value_ID_up.x","value_ID_down.x","resampled.x","sample_size.x","neighbourhood_size.x","temperature.y","feature_frequency.y","isogloss_density.y","value_ID_up.y","value_ID_down.y","resampled.y","sample_size.y","neighbourhood_size.y","rep"
"4A",0.681684404444414,0.884057971014493,0.170289855072464,"2:3:4","1",FALSE,276,1,0.700784614477921,0.524096385542169,0.41566265060241,"2:3:4","1",FALSE,166,1,"145663.0"
"6A",0.0105779726610761,0.199275362318841,0.148550724637681,"2:3:4","1",FALSE,276,1,0.00547487032788001,0.228915662650602,0.150602409638554,"2:3:4","1",FALSE,166,1,"145663.0"
"7A",0.0238472192046143,0.333333333333333,0.231884057971014,"2:3:4:5:6:7:8","1",FALSE,276,1,0.0653855149107701,0.373493975903614,0.283132530120482,"2:3:4:5:6:7:8","1",FALSE,166,1,"145663.0"
"8A",0.33462043176058,0.942028985507246,0.0833333333333333,"2:3:4:5","1",FALSE,276,1,0.405098612861925,0.704819277108434,0.325301204819277,"2:3:4:5","1",FALSE,166,1,"145663.0"
"9A",0.00178782593280397,0.63013698630137,0.17351598173516,"1:2","3",FALSE,219,1,0.0177184138979846,0.216374269005848,0.169590643274854,"1:2","3",FALSE,171,1,"145663.0"
"11A",0.0921502355427405,0.109489051094891,0.124087591240876,"2:3:4","1",FALSE,274,1,1.55460178459827,0.0245398773006135,0.0429447852760736,"2:3:4","1",FALSE,163,1,"145663.0"
"13A",0.000153538969646587,0.592452830188679,0.139622641509434,"2:3","1",FALSE,265,1,0.10927073149133,0.302013422818792,0.275167785234899,"2:3","1",FALSE,149,1,"145663.0"
"26A",0.0317285441400785,0.85,0.138636363636364,"2:3:4:5:6","1",FALSE,440,1,10000,0.946938775510204,0.102040816326531,"2:3:4:5:6","1",FALSE,245,1,"145663.0"
"27A",0.00762760577387272,0.794871794871795,0.145299145299145,"1:2","3",FALSE,117,1,0.430093972605396,0.7578125,0.2890625,"1:2","3",FALSE,128,1,"145663.0"
"33A",0.178864952905744,0.943636363636364,0.0745454545454545,"1:2:3:4:5:6:7:8","9",FALSE,550,1,0.213566412932394,0.908,0.12,"1:2:3:4:5:6:7:8","9",FALSE,250,1,"145663.0"
"37A",0.0400368818128222,0.62962962962963,0.262345679012346,"1:2:3","4:5",FALSE,324,1,4.83802899526797,0.569230769230769,0.469230769230769,"1:2:3","4:5",FALSE,130,1,"145663.0"
"38A",0.161629582858754,0.458483754512635,0.342960288808664,"1:2:3","4:5",FALSE,277,1,0.0798896004293523,0.345454545454545,0.281818181818182,"1:2:3","4:5",FALSE,110,1,"145663.0"
"44A",0.233097037338039,0.439189189189189,0.358108108108108,"1:2:3:4:5","6",FALSE,148,1,0.601974310274355,0.252032520325203,0.308943089430894,"1:2:3:4:5","6",FALSE,123,1,"145663.0"
"48A",10000,0.966216216216216,0.0675675675675676,"2:3:4","1",FALSE,148,1,0.076645815400726,0.733870967741935,0.241935483870968,"2:3:4","1",FALSE,124,1,"145663.0"
"53A",0.0932173923114068,0.980392156862745,0.0245098039215686,"2:3:4:5:6:7:8","1",FALSE,204,1,0.32103372283997,0.823529411764706,0.220588235294118,"2:3:4:5:6:7:8","1",FALSE,68,1,"145663.0"
"57A",0.0274437746406774,0.60054347826087,0.255434782608696,"1:2:3","4",FALSE,368,1,0.498390501708192,0.827067669172932,0.229323308270677,"1:2:3","4",FALSE,266,1,"145663.0"
"69A",0.0505208148920104,0.87246963562753,0.129554655870445,"1:2:3:4","5",FALSE,494,1,7.44195721247219,0.939716312056738,0.109929078014184,"1:2:3:4","5",FALSE,282,1,"145663.0"
"70A",0.0291371080614371,0.814569536423841,0.162251655629139,"1:2:3:4","5",FALSE,302,1,0.344789280682611,0.830769230769231,0.215384615384615,"1:2:3:4","5",FALSE,130,1,"145663.0"
"73A",0.00170342545308164,0.196808510638298,0.117021276595745,"1","2",FALSE,188,1,10000,0.126760563380282,0.267605633802817,"1","2",FALSE,71,1,"145663.0"
"77A",0.261542188935925,0.5,0.369230769230769,"2:3","1",FALSE,130,1,0.37805741090201,0.721698113207547,0.311320754716981,"2:3","1",FALSE,212,1,"145663.0"
"92A",0.250922701139454,0.637413394919169,0.339491916859122,"1:2:3:4:5","6",FALSE,433,1,0.630347388622156,0.560386473429952,0.405797101449275,"1:2:3:4:5","6",FALSE,207,1,"145663.0"
"100A",0.176410590004548,0.684563758389262,0.302013422818792,"2:3:4:5:6","1",FALSE,149,1,10000,0.870967741935484,0.225806451612903,"2:3:4:5:6","1",FALSE,124,1,"145663.0"
"82A",0.0253770096042979,0.95,0.05,"1","2",FALSE,680,1,0.00934107888523878,0.664359861591695,0.204152249134948,"1","2",FALSE,289,1,"145663.0"
"83A",2.24406330144026e-06,0.459770114942529,0.103448275862069,"1","2",FALSE,696,1,0.00415299909225484,0.56953642384106,0.201986754966887,"1","2",FALSE,302,1,"145663.0"
"86A",3.21477598253912e-05,0.514035087719298,0.126315789473684,"1","2",FALSE,570,1,0.00653704595674197,0.746153846153846,0.165384615384615,"1","2",FALSE,260,1,"145663.0"
"87A",0.000360791025027107,0.343987823439878,0.141552511415525,"1","2",FALSE,657,1,0.00692443014542982,0.38695652173913,0.208695652173913,"1","2",FALSE,230,1,"145663.0"
"89A",1e-06,0.372791519434629,0.0724381625441696,"1","2",FALSE,566,1,0.286777949114319,0.805970149253731,0.233830845771144,"1","2",FALSE,201,1,"145663.0"
"91A",0.000383935637471968,0.638190954773869,0.14572864321608,"1","2",FALSE,199,1,0.118442441403153,0.686274509803922,0.284313725490196,"1","2",FALSE,102,1,"145663.0"
"143E",0.146055007594816,0.693846153846154,0.289230769230769,"1:2:3","4",FALSE,650,1,0.0908857613359251,0.649659863945578,0.289115646258503,"1:2:3","4",FALSE,294,1,"145663.0"
"143F",0.102447425744121,0.490769230769231,0.323076923076923,"1:2:3","4",FALSE,650,1,0.0377970361283527,0.503401360544218,0.27891156462585,"1:2:3","4",FALSE,294,1,"145663.0"
"107A",0.219550359926805,0.619047619047619,0.340136054421769,"1","2",FALSE,147,1,0.347179485646949,0.454545454545455,0.380165289256198,"1","2",FALSE,121,1,"145663.0"
"119A",0.0015751420731675,0.373737373737374,0.171717171717172,"2","1",FALSE,198,1,0.206315308275714,0.273684210526316,0.284210526315789,"2","1",FALSE,95,1,"145663.0"
"120A",0.296856973010485,0.378787878787879,0.353535353535354,"2","1",FALSE,198,1,1.65432892112533,0.315789473684211,0.389473684210526,"2","1",FALSE,95,1,"145663.0"
"129A",0.302376513245608,0.564935064935065,0.37012987012987,"1","2",FALSE,154,1,0.207745561191591,0.27027027027027,0.282282282282282,"1","2",FALSE,333,1,"145663.0"
"130A",0.854266074034259,0.0201342281879195,0.0335570469798658,"1","2",FALSE,149,1,0.128383984751235,0.126888217522659,0.148036253776435,"1","2",FALSE,331,1,"145663.0"
