"feature_ID","temperature.x","feature_frequency.x","isogloss_density.x","value_ID_up.x","value_ID_down.x","resampled.x","sample_size.x","neighbourhood_size.x","temperature.y","feature_frequency.y","isogloss_density.y","value_ID_up.y","value_ID_down.y","resampled.y","sample_size.y","neighbourhood_size.y","rep"
"4A",0.295492903020062,0.68,0.326666666666667,"2:3:4","1",FALSE,150,1,0.16350135347712,0.653333333333333,0.313333333333333,"2:3:4","1",FALSE,150,1,"145662.84"
"6A",0.0406874943958975,0.113333333333333,0.113333333333333,"2:3:4","1",FALSE,150,1,0.029542486429438,0.246666666666667,0.2,"2:3:4","1",FALSE,150,1,"145662.84"
"7A",0.0276977342740374,0.306666666666667,0.226666666666667,"2:3:4:5:6:7:8","1",FALSE,150,1,0.0838479307389441,0.226666666666667,0.22,"2:3:4:5:6:7:8","1",FALSE,150,1,"145662.84"
"8A",0.141421373715154,0.82,0.2,"2:3:4:5","1",FALSE,150,1,0.27640389227845,0.833333333333333,0.206666666666667,"2:3:4:5","1",FALSE,150,1,"145662.84"
"9A",0.00435876983205365,0.526666666666667,0.206666666666667,"1:2","3",FALSE,150,1,0.00702076826470274,0.52,0.22,"1:2","3",FALSE,150,1,"145662.84"
"11A",0.194325078978388,0.0933333333333333,0.12,"2:3:4","1",FALSE,150,1,0.0259681758929653,0.0533333333333333,0.0533333333333333,"2:3:4","1",FALSE,150,1,"145662.84"
"13A",0.0182989530398043,0.433333333333333,0.246666666666667,"2:3","1",FALSE,150,1,0.000962273065470144,0.4,0.166666666666667,"2:3","1",FALSE,150,1,"145662.84"
"26A",0.0411586807665989,0.846666666666667,0.146666666666667,"2:3:4:5:6","1",FALSE,150,1,0.0582742305267491,0.893333333333333,0.113333333333333,"2:3:4:5:6","1",FALSE,150,1,"145662.84"
"27A",0.0637500380095877,0.873333333333333,0.133333333333333,"1:2","3",FALSE,150,1,0.0411586807665989,0.846666666666667,0.146666666666667,"1:2","3",FALSE,150,1,"145662.84"
"33A",0.126331063154939,0.9,0.12,"1:2:3:4:5:6:7:8","9",FALSE,150,1,0.155066881102297,0.926666666666667,0.0933333333333333,"1:2:3:4:5:6:7:8","9",FALSE,150,1,"145662.84"
"37A",0.412630718543016,0.586666666666667,0.38,"1:2:3","4:5",FALSE,150,1,0.54522235884231,0.606666666666667,0.386666666666667,"1:2:3","4:5",FALSE,150,1,"145662.84"
"38A",0.72541420994439,0.446666666666667,0.413333333333333,"1:2:3","4:5",FALSE,150,1,0.112332403297803,0.473333333333333,0.326666666666667,"1:2:3","4:5",FALSE,150,1,"145662.84"
"44A",0.524290462223019,0.38,0.38,"1:2:3:4:5","6",FALSE,150,1,0.147746414990949,0.266666666666667,0.266666666666667,"1:2:3:4:5","6",FALSE,150,1,"145662.84"
"48A",0.293458541449392,0.866666666666667,0.173333333333333,"2:3:4","1",FALSE,150,1,0.0187252335324124,0.833333333333333,0.14,"2:3:4","1",FALSE,150,1,"145662.84"
"53A",0.0550141044167453,0.913333333333333,0.0933333333333333,"2:3:4:5:6:7:8","1",FALSE,150,1,0.0861972775591844,0.886666666666667,0.126666666666667,"2:3:4:5:6:7:8","1",FALSE,150,1,"145662.84"
"57A",0.376320221562515,0.686666666666667,0.333333333333333,"1:2:3","4",FALSE,150,1,0.0559081018251223,0.673333333333333,0.26,"1:2:3","4",FALSE,150,1,"145662.84"
"69A",0.513536192870506,0.893333333333333,0.153333333333333,"1:2:3:4","5",FALSE,150,1,0.31809017497638,0.913333333333333,0.12,"1:2:3:4","5",FALSE,150,1,"145662.84"
"70A",0.101742112337884,0.753333333333333,0.24,"1:2:3:4","5",FALSE,150,1,0.0274437746406774,0.773333333333333,0.186666666666667,"1:2:3:4","5",FALSE,150,1,"145662.84"
"73A",0.0335314663088441,0.133333333333333,0.126666666666667,"1","2",FALSE,150,1,0.0231438946441112,0.18,0.153333333333333,"1","2",FALSE,150,1,"145662.84"
"77A",0.578863621899639,0.526666666666667,0.406666666666667,"2:3","1",FALSE,150,1,0.496100376871312,0.593333333333333,0.386666666666667,"2:3","1",FALSE,150,1,"145662.84"
"92A",1.80977990869721,0.586666666666667,0.44,"1:2:3:4:5","6",FALSE,150,1,0.370302680422431,0.673333333333333,0.34,"1:2:3:4:5","6",FALSE,150,1,"145662.84"
"100A",2.34227004172982,0.726666666666667,0.366666666666667,"2:3:4:5:6","1",FALSE,150,1,0.112074020130978,0.82,0.193333333333333,"2:3:4:5:6","1",FALSE,150,1,"145662.84"
"82A",0.949724758378452,0.892086330935252,0.165467625899281,"1","2",FALSE,139,1,0.0454428694356637,0.834532374100719,0.158273381294964,"1","2",FALSE,139,1,"145662.84"
"83A",0.0054497130737317,0.586206896551724,0.206896551724138,"1","2",FALSE,145,1,0.000152833451771324,0.467625899280576,0.143884892086331,"1","2",FALSE,139,1,"145662.84"
"86A",0.00277551982930234,0.604166666666667,0.1875,"1","2",FALSE,144,1,0.00189813821462947,0.627737226277372,0.175182481751825,"1","2",FALSE,137,1,"145662.84"
"87A",0.0333773878431677,0.264705882352941,0.213235294117647,"1","2",FALSE,136,1,0.0306512820790417,0.295774647887324,0.225352112676056,"1","2",FALSE,142,1,"145662.84"
