"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.36187272900146,0.673333333333333,0.339090909090909,"2:3:4","1",TRUE,300,55,"145664.186.55"
"6A",0.475957041987391,0.163333333333333,0.217939393939394,"2:3:4","1",TRUE,300,55,"145664.186.55"
"7A",1.01531466727886,0.3,0.363212121212121,"2:3:4:5:6:7:8","1",TRUE,300,55,"145664.186.55"
"8A",0.870149669151849,0.806666666666667,0.265757575757576,"2:3:4:5","1",TRUE,300,55,"145664.186.55"
"9A",0.171998061549734,0.483333333333333,0.348,"1:2","3",TRUE,300,55,"145664.186.55"
"11A",0.425170238067799,0.0766666666666667,0.111333333333333,"2:3:4","1",TRUE,300,55,"145664.186.55"
"13A",0.271358452775891,0.43,0.363878787878788,"2:3","1",TRUE,300,55,"145664.186.55"
"26A",1.8863729613283,0.863333333333333,0.214727272727273,"2:3:4:5:6","1",TRUE,300,55,"145664.186.55"
"27A",0.646518651040184,0.846666666666667,0.214424242424242,"1:2","3",TRUE,300,55,"145664.186.55"
"33A",5.0660616095985,0.916666666666667,0.146424242424242,"1:2:3:4:5:6:7:8","9",TRUE,300,55,"145664.186.55"
"37A",1.72831843512153,0.593333333333333,0.436363636363636,"1:2:3","4:5",TRUE,300,55,"145664.186.55"
"38A",272.17202488961,0.473333333333333,0.498121212121212,"1:2:3","4:5",TRUE,300,55,"145664.186.55"
"44A",4.04259901708255,0.32,0.413333333333333,"1:2:3:4:5","6",TRUE,300,55,"145664.186.55"
"48A",1.35086845809649,0.833333333333333,0.246363636363636,"2:3:4","1",TRUE,300,55,"145664.186.55"
"53A",0.460857178509007,0.9,0.142969696969697,"2:3:4:5:6:7:8","1",TRUE,300,55,"145664.186.55"
"57A",80.4990173652552,0.693333333333333,0.423939393939394,"1:2:3","4",TRUE,300,55,"145664.186.55"
"69A",2.25234681394427,0.866666666666667,0.212787878787879,"1:2:3:4","5",TRUE,300,55,"145664.186.55"
"70A",2.72046701366832,0.773333333333333,0.326484848484848,"1:2:3:4","5",TRUE,300,55,"145664.186.55"
"73A",1.38233740992742,0.146666666666667,0.222424242424242,"1","2",TRUE,300,55,"145664.186.55"
"77A",0.752640629158229,0.586666666666667,0.407151515151515,"2:3","1",TRUE,300,55,"145664.186.55"
"92A",8.5249741212887,0.61,0.463272727272727,"1:2:3:4:5","6",TRUE,300,55,"145664.186.55"
"100A",2.01664968581526,0.773333333333333,0.320484848484848,"2:3:4:5:6","1",TRUE,300,55,"145664.186.55"
"82A",0.642067604382362,0.86,0.198727272727273,"1","2",TRUE,300,55,"145664.186.55"
"83A",0.471593007200925,0.516666666666667,0.397818181818182,"1","2",TRUE,300,55,"145664.186.55"
"86A",0.491551648496152,0.583333333333333,0.389090909090909,"1","2",TRUE,300,55,"145664.186.55"
"87A",0.405098612861925,0.313333333333333,0.336424242424242,"1","2",TRUE,300,55,"145664.186.55"
"89A",0.12288785137465,0.446666666666667,0.328121212121212,"1","2",TRUE,300,55,"145664.186.55"
"91A",0.300294760512689,0.533333333333333,0.374424242424242,"1","2",TRUE,300,55,"145664.186.55"
"143E",10000,0.713333333333333,0.424727272727273,"1:2:3","4",TRUE,300,55,"145664.186.55"
"143F",10000,0.436666666666667,0.494666666666667,"1:2:3","4",TRUE,300,55,"145664.186.55"
"107A",0.840605949091369,0.42,0.413636363636364,"1","2",TRUE,300,55,"145664.186.55"
"119A",1.17654098556983,0.323333333333333,0.383515151515152,"2","1",TRUE,300,55,"145664.186.55"
"120A",0.764871288532589,0.446666666666667,0.41569696969697,"2","1",TRUE,300,55,"145664.186.55"
"129A",2.15096460189426,0.426666666666667,0.449151515151515,"1","2",TRUE,300,55,"145664.186.55"
"130A",1.22351348660272,0.126666666666667,0.194606060606061,"1","2",TRUE,300,55,"145664.186.55"
