iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,rho,sigma,tau,tau_actual
12249999,1,12250000,2500,49,0,0.5,0.01,0.01,0.4948,0.28,0.038865,0.02
12249999,2,12250000,2500,49,0,0.5,0.173333,0.01,0.9608,0.0536,0.199356,0.183333
12249999,3,12250000,2500,49,0,0.5,0.336667,0.01,0.9708,0.0408,0.216588,0.346667
12249999,4,12250000,2500,49,0,0.5,0.5,0.01,0.9848,0.022,0.252139,0.51
12249999,5,12250000,2500,49,0,0.5,0.663333,0.01,0.9864,0.0212,0.442247,0.673333
12249999,6,12250000,2500,49,0,0.5,0.826667,0.01,0.992,0.0132,0.689738,0.836667
12249999,7,12250000,2500,49,0,0.5,0.99,0.01,0.9932,0.0132,10.0184,1
12249999,8,12250000,2500,49,0,0.5,0.01,0.173333,0.064,0.0828,0.162413,0.183333
12249999,9,12250000,2500,49,0,0.5,0.173333,0.173333,0.5028,0.3908,0.40426,0.346667
12249999,10,12250000,2500,49,0,0.5,0.336667,0.173333,0.6648,0.3644,0.591122,0.51
12249999,11,12250000,2500,49,0,0.5,0.5,0.173333,0.7244,0.3264,0.589762,0.673333
12249999,12,12250000,2500,49,0,0.5,0.663333,0.173333,0.7964,0.2736,0.790114,0.836667
12249999,13,12250000,2500,49,0,0.5,0.826667,0.173333,0.8292,0.2484,1.18224,1
12249999,14,12250000,2500,49,0,0.5,0.99,0.173333,0.8528,0.2124,0.810384,1.16333
12249999,15,12250000,2500,49,0,0.5,0.01,0.336667,0.024,0.0384,0.603501,0.346667
12249999,16,12250000,2500,49,0,0.5,0.173333,0.336667,0.3308,0.3588,0.546605,0.51
12249999,17,12250000,2500,49,0,0.5,0.336667,0.336667,0.4876,0.4272,0.900939,0.673333
12249999,18,12250000,2500,49,0,0.5,0.5,0.336667,0.5928,0.414,0.928318,0.836667
12249999,19,12250000,2500,49,0,0.5,0.663333,0.336667,0.6732,0.3876,1.24655,1
12249999,20,12250000,2500,49,0,0.5,0.826667,0.336667,0.68,0.3768,1.02731,1.16333
