iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,rho,sigma,tau,tau_actual
12249999,1,12250000,2679,49,0,0.5,0.01,0.01,0.481896,0.142591,0.000134064,0.02
12249999,2,12250000,2679,49,0,0.5,0.173333,0.01,0.926465,0.0784808,0.0469426,0.183333
12249999,3,12250000,2679,49,0,0.5,0.336667,0.01,0.971631,0.0419933,0.330105,0.346667
12249999,4,12250000,2679,49,0,0.5,0.5,0.01,0.97947,0.0255692,0.0915369,0.51
12249999,5,12250000,2679,49,0,0.5,0.663333,0.01,0.988055,0.0160508,0.145083,0.673333
12249999,6,12250000,2679,49,0,0.5,0.826667,0.01,0.989175,0.0156775,0.245267,0.836667
12249999,7,12250000,2679,49,0,0.5,0.99,0.01,0.981336,0.0285554,0.395968,1
12249999,8,12250000,2679,49,0,0.5,0.01,0.173333,0.0671892,0.0708287,0.0412631,0.183333
12249999,9,12250000,2679,49,0,0.5,0.173333,0.173333,0.515864,0.354423,0.195717,0.346667
12249999,10,12250000,2679,49,0,0.5,0.336667,0.173333,0.683091,0.33436,0.367838,0.51
12249999,11,12250000,2679,49,0,0.5,0.5,0.173333,0.761478,0.289847,0.479367,0.673333
12249999,12,12250000,2679,49,0,0.5,0.663333,0.173333,0.798432,0.275943,0.926183,0.836667
12249999,13,12250000,2679,49,0,0.5,0.826667,0.173333,0.814483,0.267357,1.31133,1
12249999,14,12250000,2679,49,0,0.5,0.99,0.173333,0.861515,0.214539,1.60221,1.16333
12249999,15,12250000,2679,49,0,0.5,0.01,0.336667,0.0223964,0.0324748,0.269552,0.346667
12249999,16,12250000,2679,49,0,0.5,0.173333,0.336667,0.340052,0.345091,0.355349,0.51
12249999,17,12250000,2679,49,0,0.5,0.336667,0.336667,0.492721,0.403135,0.524411,0.673333
12249999,18,12250000,2679,49,0,0.5,0.5,0.336667,0.615901,0.394457,0.705805,0.836667
12249999,19,12250000,2679,49,0,0.5,0.663333,0.336667,0.66816,0.377286,0.858407,1
12249999,20,12250000,2679,49,0,0.5,0.826667,0.336667,0.715566,0.350877,0.981068,1.16333
12249999,21,12250000,2679,49,0,0.5,0.99,0.336667,0.734602,0.331374,0.84858,1.32667
12249999,22,12250000,2679,49,0,0.5,0.01,0.5,0.0179171,0.033128,3.33236,0.51
12249999,23,12250000,2679,49,0,0.5,0.173333,0.5,0.274729,0.31075,0.396881,0.673333
12249999,24,12250000,2679,49,0,0.5,0.336667,0.5,0.398656,0.390071,0.565816,0.836667
12249999,25,12250000,2679,49,0,0.5,0.5,0.5,0.509518,0.413494,0.657176,1
12249999,26,12250000,2679,49,0,0.5,0.663333,0.5,0.582307,0.422732,1.06832,1.16333
12249999,27,12250000,2679,49,0,0.5,0.826667,0.5,0.630459,0.404815,1.06587,1.32667
12249999,28,12250000,2679,49,0,0.5,0.99,0.5,0.684584,0.388205,1.59853,1.49
12249999,29,12250000,2679,49,0,0.5,0.01,0.663333,0.0111982,0.0191303,1.00161,0.673333
12249999,30,12250000,2679,49,0,0.5,0.173333,0.663333,0.197462,0.26997,0.868348,0.836667
12249999,31,12250000,2679,49,0,0.5,0.336667,0.663333,0.349757,0.383445,0.782869,1
12249999,32,12250000,2679,49,0,0.5,0.5,0.663333,0.43673,0.420213,0.890625,1.16333
12249999,33,12250000,2679,49,0,0.5,0.663333,0.663333,0.512131,0.446342,1.47135,1.32667
12249999,34,12250000,2679,49,0,0.5,0.826667,0.663333,0.552445,0.44037,1.41813,1.49
12249999,35,12250000,2679,49,0,0.5,0.99,0.663333,0.616648,0.423199,1.51258,1.65333
12249999,36,12250000,2679,49,0,0.5,0.01,0.826667,0.0108249,0.0176372,0.630493,0.836667
12249999,37,12250000,2679,49,0,0.5,0.173333,0.826667,0.162374,0.231803,0.872357,1
12249999,38,12250000,2679,49,0,0.5,0.336667,0.826667,0.289287,0.347984,0.814125,1.16333
12249999,39,12250000,2679,49,0,0.5,0.5,0.826667,0.365808,0.417227,1.60591,1.32667
12249999,40,12250000,2679,49,0,0.5,0.663333,0.826667,0.423292,0.452594,2.51617,1.49
12249999,41,12250000,2679,49,0,0.5,0.826667,0.826667,0.494214,0.464819,2.64693,1.65333
12249999,42,12250000,2679,49,0,0.5,0.99,0.826667,0.548339,0.435144,1.207,1.81667
12249999,43,12250000,2679,49,0,0.5,0.01,0.99,0.00746547,0.0145577,13.1769,1
12249999,44,12250000,2679,49,0,0.5,0.173333,0.99,0.151549,0.226297,1.22944,1.16333
12249999,45,12250000,2679,49,0,0.5,0.336667,0.99,0.256812,0.33184,1.07326,1.32667
12249999,46,12250000,2679,49,0,0.5,0.5,0.99,0.330347,0.39315,1.38266,1.49
