"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.0819391301273151,0.653333333333333,0.283333333333333,"2:3:4","1",TRUE,300,1,"145667.79"
"6A",0.0243466181217604,0.183333333333333,0.156666666666667,"2:3:4","1",TRUE,300,1,"145667.79"
"7A",0.0211072883546926,0.28,0.206666666666667,"2:3:4:5:6:7:8","1",TRUE,300,1,"145667.79"
"8A",0.216039644191959,0.836666666666667,0.196666666666667,"2:3:4:5","1",TRUE,300,1,"145667.79"
"9A",0.00247365616964326,0.5,0.193333333333333,"1:2","3",TRUE,300,1,"145667.79"
"11A",0.35855472960588,0.08,0.113333333333333,"2:3:4","1",TRUE,300,1,"145667.79"
"13A",0.00355103567581111,0.45,0.2,"2:3","1",TRUE,300,1,"145667.79"
"26A",0.0859990095181422,0.89,0.123333333333333,"2:3:4:5:6","1",TRUE,300,1,"145667.79"
"27A",0.10702936537183,0.86,0.156666666666667,"1:2","3",TRUE,300,1,"145667.79"
"33A",2.0731544735322,0.91,0.15,"1:2:3:4:5:6:7:8","9",TRUE,300,1,"145667.79"
"37A",0.263355294717929,0.656666666666667,0.333333333333333,"1:2:3","4:5",TRUE,300,1,"145667.79"
"38A",0.101976675612714,0.43,0.316666666666667,"1:2:3","4:5",TRUE,300,1,"145667.79"
"44A",0.193432147254626,0.33,0.313333333333333,"1:2:3:4:5","6",TRUE,300,1,"145667.79"
"48A",0.0842349939980314,0.826666666666667,0.18,"2:3:4","1",TRUE,300,1,"145667.79"
"53A",0.0177184138979846,0.9,0.09,"2:3:4:5:6:7:8","1",TRUE,300,1,"145667.79"
"57A",0.0245153977525664,0.7,0.22,"1:2:3","4",TRUE,300,1,"145667.79"
"69A",0.2894317394098,0.863333333333333,0.176666666666667,"1:2:3:4","5",TRUE,300,1,"145667.79"
"70A",0.252081023803186,0.786666666666667,0.246666666666667,"1:2:3:4","5",TRUE,300,1,"145667.79"
"73A",0.0351928667752631,0.153333333333333,0.143333333333333,"1","2",TRUE,300,1,"145667.79"
"77A",0.313003760256943,0.556666666666667,0.373333333333333,"2:3","1",TRUE,300,1,"145667.79"
"92A",1.10307301515268,0.613333333333333,0.413333333333333,"1:2:3:4:5","6",TRUE,300,1,"145667.79"
"100A",0.116548489861255,0.77,0.233333333333333,"2:3:4:5:6","1",TRUE,300,1,"145667.79"
"82A",0.0071843195098398,0.826666666666667,0.126666666666667,"1","2",TRUE,300,1,"145667.79"
"83A",0.000796691399773139,0.513333333333333,0.17,"1","2",TRUE,300,1,"145667.79"
"86A",0.000365810633582852,0.576666666666667,0.153333333333333,"1","2",TRUE,300,1,"145667.79"
"87A",0.00518049712647164,0.316666666666667,0.183333333333333,"1","2",TRUE,300,1,"145667.79"
"89A",0.00113319703766364,0.486666666666667,0.176666666666667,"1","2",TRUE,300,1,"145667.79"
"91A",0.0411586807665989,0.546666666666667,0.28,"1","2",TRUE,300,1,"145667.79"
"143E",0.104592838718357,0.716666666666667,0.263333333333333,"1:2:3","4",TRUE,300,1,"145667.79"
"143F",0.50882759606009,0.533333333333333,0.4,"1:2:3","4",TRUE,300,1,"145667.79"
"107A",0.166541377397939,0.43,0.34,"1","2",TRUE,300,1,"145667.79"
"119A",0.0104568755691695,0.313333333333333,0.2,"2","1",TRUE,300,1,"145667.79"
"120A",0.0953889239737762,0.45,0.316666666666667,"2","1",TRUE,300,1,"145667.79"
"129A",0.0830791317629061,0.396666666666667,0.3,"1","2",TRUE,300,1,"145667.79"
"130A",0.224148095665539,0.126666666666667,0.16,"1","2",TRUE,300,1,"145667.79"
