"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.220056526451474,0.716666666666667,0.292916666666667,"2:3:4","1",TRUE,300,16,"145632.157.16"
"6A",0.322515695715678,0.193333333333333,0.236875,"2:3:4","1",TRUE,300,16,"145632.157.16"
"7A",0.475957041987391,0.266666666666667,0.311875,"2:3:4:5:6:7:8","1",TRUE,300,16,"145632.157.16"
"8A",0.627450916467093,0.843333333333333,0.2175,"2:3:4:5","1",TRUE,300,16,"145632.157.16"
"9A",0.144050858730821,0.476666666666667,0.338958333333333,"1:2","3",TRUE,300,16,"145632.157.16"
"11A",2.01201105691657,0.0533333333333333,0.0922916666666667,"2:3:4","1",TRUE,300,16,"145632.157.16"
"13A",0.0740435015755498,0.423333333333333,0.300833333333333,"2:3","1",TRUE,300,16,"145632.157.16"
"26A",0.200230463654082,0.843333333333333,0.188125,"2:3:4:5:6","1",TRUE,300,16,"145632.157.16"
"27A",0.153999301811647,0.846666666666667,0.178125,"1:2","3",TRUE,300,16,"145632.157.16"
"33A",3.6530554598954,0.92,0.139166666666667,"1:2:3:4:5:6:7:8","9",TRUE,300,16,"145632.157.16"
"37A",1.0705401509672,0.63,0.405208333333333,"1:2:3","4:5",TRUE,300,16,"145632.157.16"
"38A",3.01750476655467,0.413333333333333,0.454166666666667,"1:2:3","4:5",TRUE,300,16,"145632.157.16"
"44A",4.45312479966349,0.323333333333333,0.417291666666667,"1:2:3:4:5","6",TRUE,300,16,"145632.157.16"
"48A",0.203016227375348,0.823333333333333,0.2075,"2:3:4","1",TRUE,300,16,"145632.157.16"
"53A",0.211121495332047,0.893333333333333,0.136666666666667,"2:3:4:5:6:7:8","1",TRUE,300,16,"145632.157.16"
"57A",1.28709606067618,0.706666666666667,0.36625,"1:2:3","4",TRUE,300,16,"145632.157.16"
"69A",0.56698994546104,0.88,0.171875,"1:2:3:4","5",TRUE,300,16,"145632.157.16"
"70A",0.956308596564305,0.776666666666667,0.298333333333333,"1:2:3:4","5",TRUE,300,16,"145632.157.16"
"73A",0.111046417050523,0.16,0.175833333333333,"1","2",TRUE,300,16,"145632.157.16"
"77A",0.59098595211649,0.553333333333333,0.404166666666667,"2:3","1",TRUE,300,16,"145632.157.16"
"92A",6.61731895575939,0.586666666666667,0.468958333333333,"1:2:3:4:5","6",TRUE,300,16,"145632.157.16"
"100A",1.50875201035296,0.766666666666667,0.320208333333333,"2:3:4:5:6","1",TRUE,300,16,"145632.157.16"
"82A",0.141096081089656,0.85,0.172708333333333,"1","2",TRUE,300,16,"145632.157.16"
"83A",0.0529020311908797,0.496666666666667,0.293125,"1","2",TRUE,300,16,"145632.157.16"
"86A",0.0280830869416274,0.58,0.260208333333333,"1","2",TRUE,300,16,"145632.157.16"
"87A",0.318823521979104,0.296666666666667,0.316458333333333,"1","2",TRUE,300,16,"145632.157.16"
"89A",0.0210102994972915,0.463333333333333,0.254791666666667,"1","2",TRUE,300,16,"145632.157.16"
"91A",0.0573423975836628,0.526666666666667,0.295833333333333,"1","2",TRUE,300,16,"145632.157.16"
"143E",1.14711236352992,0.676666666666667,0.382708333333333,"1:2:3","4",TRUE,300,16,"145632.157.16"
"143F",1.02000161662457,0.486666666666667,0.432291666666667,"1:2:3","4",TRUE,300,16,"145632.157.16"
"107A",0.569607314479282,0.44,0.40125,"1","2",TRUE,300,16,"145632.157.16"
"119A",0.43910082838792,0.283333333333333,0.320625,"2","1",TRUE,300,16,"145632.157.16"
"120A",0.494959263686908,0.443333333333333,0.395416666666667,"2","1",TRUE,300,16,"145632.157.16"
"129A",0.228842115345371,0.373333333333333,0.339375,"1","2",TRUE,300,16,"145632.157.16"
"130A",0.372869753573026,0.123333333333333,0.167291666666667,"1","2",TRUE,300,16,"145632.157.16"
