"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.217036937840545,0.67,0.318333333333333,"2:3:4","1",TRUE,300,8,"145633.377.8"
"6A",0.0126301974792873,0.17,0.134583333333333,"2:3:4","1",TRUE,300,8,"145633.377.8"
"7A",0.123171165492993,0.276666666666667,0.265833333333333,"2:3:4:5:6:7:8","1",TRUE,300,8,"145633.377.8"
"8A",0.389546275090876,0.826666666666667,0.222916666666667,"2:3:4:5","1",TRUE,300,8,"145633.377.8"
"9A",0.0858011975264928,0.523333333333333,0.314166666666667,"1:2","3",TRUE,300,8,"145633.377.8"
"11A",3.02446152992034,0.0533333333333333,0.0945833333333333,"2:3:4","1",TRUE,300,8,"145633.377.8"
"13A",0.0466086846352453,0.386666666666667,0.272916666666667,"2:3","1",TRUE,300,8,"145633.377.8"
"26A",0.386864390132073,0.87,0.175833333333333,"2:3:4:5:6","1",TRUE,300,8,"145633.377.8"
"27A",0.076645815400726,0.856666666666667,0.152083333333333,"1:2","3",TRUE,300,8,"145633.377.8"
"33A",1.43092068430488,0.906666666666667,0.150833333333333,"1:2:3:4:5:6:7:8","9",TRUE,300,8,"145633.377.8"
"37A",0.858209582333503,0.566666666666667,0.417916666666667,"1:2:3","4:5",TRUE,300,8,"145633.377.8"
"38A",1.21789139185107,0.436666666666667,0.4325,"1:2:3","4:5",TRUE,300,8,"145633.377.8"
"44A",1.57623062755012,0.33,0.397083333333333,"1:2:3:4:5","6",TRUE,300,8,"145633.377.8"
"48A",0.172394597729832,0.816666666666667,0.20875,"2:3:4","1",TRUE,300,8,"145633.377.8"
"53A",0.0856038405352472,0.9,0.113333333333333,"2:3:4:5:6:7:8","1",TRUE,300,8,"145633.377.8"
"57A",0.246910326596256,0.703333333333333,0.305833333333333,"1:2:3","4",TRUE,300,8,"145633.377.8"
"69A",0.532810355792739,0.873333333333333,0.17875,"1:2:3:4","5",TRUE,300,8,"145633.377.8"
"70A",0.680116417202758,0.786666666666667,0.27875,"1:2:3:4","5",TRUE,300,8,"145633.377.8"
"73A",0.0382347492031195,0.15,0.1425,"1","2",TRUE,300,8,"145633.377.8"
"77A",0.336940142557794,0.553333333333333,0.3775,"2:3","1",TRUE,300,8,"145633.377.8"
"92A",3.09491741600542,0.65,0.426666666666667,"1:2:3:4:5","6",TRUE,300,8,"145633.377.8"
"100A",0.923839569143005,0.78,0.294166666666667,"2:3:4:5:6","1",TRUE,300,8,"145633.377.8"
"82A",0.293458541449392,0.883333333333333,0.154583333333333,"1","2",TRUE,300,8,"145633.377.8"
"83A",0.0194280334652529,0.5,0.253333333333333,"1","2",TRUE,300,8,"145633.377.8"
"86A",0.00352658808183807,0.583333333333333,0.19625,"1","2",TRUE,300,8,"145633.377.8"
"87A",0.0264510090574364,0.316666666666667,0.229166666666667,"1","2",TRUE,300,8,"145633.377.8"
"89A",0.00446030889536134,0.433333333333333,0.204166666666667,"1","2",TRUE,300,8,"145633.377.8"
"91A",0.0529020311908797,0.54,0.29125,"1","2",TRUE,300,8,"145633.377.8"
"143E",1.08293766858074,0.7,0.365416666666667,"1:2:3","4",TRUE,300,8,"145633.377.8"
"143F",0.620267831037318,0.453333333333333,0.4075,"1:2:3","4",TRUE,300,8,"145633.377.8"
"107A",0.294813220312178,0.443333333333333,0.370416666666667,"1","2",TRUE,300,8,"145633.377.8"
"119A",0.119814078190583,0.313333333333333,0.284583333333333,"2","1",TRUE,300,8,"145633.377.8"
"120A",0.270734283308182,0.43,0.36375,"2","1",TRUE,300,8,"145633.377.8"
"129A",0.119263527577496,0.353333333333333,0.302083333333333,"1","2",TRUE,300,8,"145633.377.8"
"130A",0.680116417202758,0.123333333333333,0.179583333333333,"1","2",TRUE,300,8,"145633.377.8"
