"feature_ID","temperature","feature_frequency","isogloss_density","value_ID_up","value_ID_down","resampled","sample_size","neighbourhood_size","rep"
"4A",0.316628537550337,0.68,0.329666666666667,"2:3:4","1",TRUE,300,10,"145630.455"
"6A",0.0848189416788481,0.166666666666667,0.174666666666667,"2:3:4","1",TRUE,300,10,"145630.455"
"7A",0.197938216582121,0.266666666666667,0.278,"2:3:4:5:6:7:8","1",TRUE,300,10,"145630.455"
"8A",0.23525407436792,0.816666666666667,0.218,"2:3:4:5","1",TRUE,300,10,"145630.455"
"9A",0.0603223216154253,0.473333333333333,0.298,"1:2","3",TRUE,300,10,"145630.455"
"11A",1.1339801712125,0.05,0.083,"2:3:4","1",TRUE,300,10,"145630.455"
"13A",0.0482467814542594,0.393333333333333,0.276,"2:3","1",TRUE,300,10,"145630.455"
"26A",0.363543225060549,0.85,0.196666666666667,"2:3:4:5:6","1",TRUE,300,10,"145630.455"
"27A",0.100346019576532,0.85,0.164333333333333,"1:2","3",TRUE,300,10,"145630.455"
"33A",6.2471159670474,0.923333333333333,0.136666666666667,"1:2:3:4:5:6:7:8","9",TRUE,300,10,"145630.455"
"37A",1.49147975160206,0.653333333333333,0.405,"1:2:3","4:5",TRUE,300,10,"145630.455"
"38A",2.40789843143707,0.46,0.459333333333333,"1:2:3","4:5",TRUE,300,10,"145630.455"
"44A",1.44084034803812,0.313333333333333,0.383666666666667,"1:2:3:4:5","6",TRUE,300,10,"145630.455"
"48A",0.140771536691173,0.84,0.182,"2:3:4","1",TRUE,300,10,"145630.455"
"53A",0.115214237671301,0.893333333333333,0.125333333333333,"2:3:4:5:6:7:8","1",TRUE,300,10,"145630.455"
"57A",0.531584803565553,0.713333333333333,0.330333333333333,"1:2:3","4",TRUE,300,10,"145630.455"
"69A",1.03896677653223,0.85,0.221,"1:2:3:4","5",TRUE,300,10,"145630.455"
"70A",3.56168219730733,0.793333333333333,0.309666666666667,"1:2:3:4","5",TRUE,300,10,"145630.455"
"73A",0.0451300117450186,0.146666666666667,0.143333333333333,"1","2",TRUE,300,10,"145630.455"
"77A",0.381555884516474,0.556666666666667,0.383,"2:3","1",TRUE,300,10,"145630.455"
"92A",2.05888155615276,0.583333333333333,0.445,"1:2:3:4:5","6",TRUE,300,10,"145630.455"
"100A",0.597829935262852,0.77,0.29,"2:3:4:5:6","1",TRUE,300,10,"145630.455"
"82A",0.100577364202932,0.843333333333333,0.170333333333333,"1","2",TRUE,300,10,"145630.455"
"83A",0.0214502887777117,0.47,0.256,"1","2",TRUE,300,10,"145630.455"
"86A",0.0312931689568396,0.606666666666667,0.259,"1","2",TRUE,300,10,"145630.455"
"87A",0.306583413161786,0.263333333333333,0.292666666666667,"1","2",TRUE,300,10,"145630.455"
"89A",0.0091494742583894,0.443333333333333,0.225333333333333,"1","2",TRUE,300,10,"145630.455"
"91A",0.0402217021872976,0.563333333333333,0.277,"1","2",TRUE,300,10,"145630.455"
"143E",1.16039663476321,0.7,0.367666666666667,"1:2:3","4",TRUE,300,10,"145630.455"
"143F",0.710534481305413,0.49,0.417,"1:2:3","4",TRUE,300,10,"145630.455"
"107A",0.310848842778947,0.423333333333333,0.369,"1","2",TRUE,300,10,"145630.455"
"119A",0.223632517852766,0.29,0.297666666666667,"2","1",TRUE,300,10,"145630.455"
"120A",0.171602437468647,0.456666666666667,0.345666666666667,"2","1",TRUE,300,10,"145630.455"
"129A",0.13017016374011,0.323333333333333,0.293,"1","2",TRUE,300,10,"145630.455"
"130A",0.555359822403296,0.116666666666667,0.167333333333333,"1","2",TRUE,300,10,"145630.455"
