"WALS_feature","Dediu","PC1"
"NA","NumN1",-107.21
"18A","AbsComC",-106.55
"NA","AdjN1",-103.28
"11A","FrRoundV",-101.68
"NA","OV1",-101.84
"NA","GenN1",-92.01
"95A","OVAdpNP",-89.22
"NA","Tone2",-88.65
"NA","SV1",-89.17
"NA","IntPhCQ1",-86.85
"NA","Vowel2",-78.74
"82A","SV2",-69.15
"6A","UvulC",-68.03
"NA","SylStr2",-68.5
"85A","AdposNP",-64.67
"73A","Optative",-64.56
"86A","GenN2",-60.98
"8A","LatC",-57.03
"NA","DegWAdj1",-53.3
"34A","OccNPlu",-50.12
"53A","OrdNum",-43.21
"7A","GlotC",-42.87
"13A","Tone1",-35.89
"80A","VnumSupp",-38.06
"NA","VoicPF2",-34.1
"102A","VpersM",-32.38
"19A","PresUnC",-30.34
"83A","OV2",-28.65
"96A","OVRelN",-25.18
"89A","NumN2",-30.62
"91A","DegWAdj2",-23.96
"70A","MorphImp",-23.1
"9A","VelarN",-20.7
"52A","ComInstr",-21.37
"24A","LmarkPNP",-17.26
"10A","VowelN",-23.01
"31A","SexGen",-16.43
"4A","VoicPF1",-16.94
"87A","AdjN2",-11.23
"58A","OlbPosInfl",-8.91
"55A","NumClas",-2.3
"44A","GenDIPersP",-8.95
"NA","Vowel1",1.23
"NA","SgenAss",0.91
"30A","NoGen",3.16
"23A","LmarkC",14.8
"28A","CaseS",11.92
"93A","IntPhCQ2",14.32
"108A","AntipassiveC",16.24
"66A","PastTense",21.26
"48A","PersMAdpos",18.44
"29A","SynVPNM",25.89
"NA","CVRatio1",23.46
"97A","OVAdjN",24.61
"21A","ESIflF",25.46
"NA","CVRatio2",28.81
"79A","SuppTasp",31.92
"54A","DistNum",31.46
"59A","PosClas",30.66
"56A","ConjUQu",40.9
"57A","PosProPAff",40.6
"NA","IflSVerb",44.77
"64A","NomVConj",47.4
"65A","PerfImpAsp",50.43
"63A","NounPConj",51.06
"45A","PolitDPron",54.63
"77A","SemDistEv",50.18
"47A","IntReflPron",54.26
"NA","SylStr1",58.36
"NA","Cons2",57
"104A","PersMV",61.17
"67A","FutTense",65.13
"NA","AsymCaseM",63.75
"NA","AssocPlu",67.56
"NA","Cons1",70.2
"38A","IndefArt",76.4
"43A","P3PrDem",77.04
"76A","OvSitEpi",79.16
"107A","PassiveC",79.84
"NA","DistCDem",84.08
"68A","Perfect",85.57
"14A","FixStress",82.63
"37A","DefArt",87.38
"92A","PolQPart",87.1
"NA","SymAsymStNeg1",90.82
"NA","SymAsymStNeg2",105
