Matthew S. Dryer. 2013. Expression of Pronominal Subjects.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/101, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
aar	Aari	2	Subject affixes on verb	6.0	36.5833333333	South Omotic	Afro-Asiatic	Simple Clauses
abk	Abkhaz	2	Subject affixes on verb	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abv	Abui	4	Subject pronouns in different position	-8.25	124.666666667	Greater Alor	Timor-Alor-Pantar	Simple Clauses
abu	Abun	1	Obligatory pronouns in subject position	-0.5	132.5	North-Central Bird's Head	West Papuan	Simple Clauses
acg	Achagua	2	Subject affixes on verb	4.41666666667	-72.25	Inland Northern Arawakan	Arawakan	Simple Clauses
acl	Acholi	2	Subject affixes on verb	3.0	32.6666666667	Nilotic	Eastern Sudanic	Simple Clauses
aco	Acoma	2	Subject affixes on verb	34.9166666667	-107.583333333	Keresan	Keresan	Simple Clauses
aga	Agarabi	2	Subject affixes on verb	-6.16666666667	146.0	Eastern Highlands	Trans-New Guinea	Simple Clauses
ain	Ainu	2	Subject affixes on verb	43.0	143.0	Ainu	Ainu	Simple Clauses
aja	Aja	2	Subject affixes on verb	7.33333333333	25.6666666667	Kresh	Central Sudanic	Simple Clauses
all	Ala'ala	2	Subject affixes on verb	-8.91666666667	146.75	Oceanic	Austronesian	Simple Clauses
ala	Alamblak	2	Subject affixes on verb	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	2	Subject affixes on verb	41.0	20.0	Albanian	Indo-European	Simple Clauses
aln	Alune	6	Mixed	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Simple Clauses
aml	Ambae (Lolovoli Northeast)	4	Subject pronouns in different position	-15.4166666667	167.883333333	Oceanic	Austronesian	Simple Clauses
amq	Ambai	2	Subject affixes on verb	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Simple Clauses
amb	Ambulas	1	Obligatory pronouns in subject position	-3.83333333333	143.0	Middle Sepik	Sepik	Simple Clauses
amh	Amharic	2	Subject affixes on verb	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
amx	Anamuxra	2	Subject affixes on verb	-4.66666666667	145.0	Madang	Trans-New Guinea	Simple Clauses
anj	Anejom	1	Obligatory pronouns in subject position	-20.2	169.8	Oceanic	Austronesian	Simple Clauses
ang	Anggor	2	Subject affixes on verb	-3.75	141.166666667	Senagi	Senagi	Simple Clauses
agt	Anguthimri	1	Obligatory pronouns in subject position	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Simple Clauses
any	Anywa	2	Subject affixes on verb	8.0	33.5	Nilotic	Eastern Sudanic	Simple Clauses
ane	Anêm	2	Subject affixes on verb	-5.58333333333	149.083333333	Anêm	Anêm	Simple Clauses
ao	Ao	1	Obligatory pronouns in subject position	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Simple Clauses
apw	Apache (Western)	2	Subject affixes on verb	33.75	-110.0	Athapaskan	Na-Dene	Simple Clauses
apl	Apalaí	2	Subject affixes on verb	0.0	-54.0	Cariban	Cariban	Simple Clauses
apu	Apurinã	2	Subject affixes on verb	-9.0	-67.0	Purus	Arawakan	Simple Clauses
aeg	Arabic (Egyptian)	2	Subject affixes on verb	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
arg	Arabic (Gulf)	2	Subject affixes on verb	26.0	49.0	Semitic	Afro-Asiatic	Simple Clauses
arq	Arabic (Iraqi)	2	Subject affixes on verb	33.0	44.0	Semitic	Afro-Asiatic	Simple Clauses
amr	Arabic (Moroccan)	2	Subject affixes on verb	34.0	-6.0	Semitic	Afro-Asiatic	Simple Clauses
asy	Arabic (Syrian)	2	Subject affixes on verb	34.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
arp	Arapesh (Mountain)	2	Subject affixes on verb	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
ara	Arawak	2	Subject affixes on verb	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Simple Clauses
arm	Armenian (Eastern)	2	Subject affixes on verb	40.0	45.0	Armenian	Indo-European	Simple Clauses
arw	Armenian (Western)	2	Subject affixes on verb	38.5	43.5	Armenian	Indo-European	Simple Clauses
