Maria Polinsky. 2013. Antipassive Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/108, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	4	no antipassive	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ain	Ainu	4	no antipassive	43.0	143.0	Ainu	Ainu	Simple Clauses
ala	Alamblak	4	no antipassive	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
ame	Amele	4	no antipassive	-5.25	145.583333333	Madang	Trans-New Guinea	Simple Clauses
apu	Apurinã	4	no antipassive	-9.0	-67.0	Purus	Arawakan	Simple Clauses
aeg	Arabic (Egyptian)	4	no antipassive	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
arp	Arapesh (Mountain)	4	no antipassive	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
arc	Archi	1	productive	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Simple Clauses
arm	Armenian (Eastern)	4	no antipassive	40.0	45.0	Armenian	Indo-European	Simple Clauses
asm	Asmat	4	no antipassive	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
awp	Awa Pit	4	no antipassive	1.5	-78.25	Barbacoan	Barbacoan	Simple Clauses
bag	Bagirmi	4	no antipassive	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Simple Clauses
brs	Barasano	4	no antipassive	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Simple Clauses
bsq	Basque	2	partially productive	43.0	-3.0	Basque	Basque	Simple Clauses
bkr	Batak (Karo)	4	no antipassive	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Simple Clauses
bej	Beja	4	no antipassive	18.0	36.0	Beja	Afro-Asiatic	Simple Clauses
bma	Berber (Middle Atlas)	4	no antipassive	33.0	-5.0	Berber	Afro-Asiatic	Simple Clauses
bez	Bezhta	2	partially productive	42.0833333333	46.1666666667	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
brh	Brahui	4	no antipassive	28.5	67.0	Northern Dravidian	Dravidian	Simple Clauses
brm	Burmese	4	no antipassive	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Simple Clauses
bur	Burushaski	4	no antipassive	36.5	74.5	Burushaski	Burushaski	Simple Clauses
cah	Cahuilla	1	productive	33.5	-116.25	California Uto-Aztecan	Uto-Aztecan	Simple Clauses
chh	Chaha	4	no antipassive	8.112935	37.93267	Semitic	Afro-Asiatic	Simple Clauses
cha	Chamorro	2	partially productive	13.45	144.75	Chamorro	Austronesian	Simple Clauses
chc	Chechen	1	productive	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Simple Clauses
cic	Chichewa	4	no antipassive	-14.0	34.0	Bantoid	Niger-Congo	Simple Clauses
cct	Choctaw	3	not productive	32.25	-88.5	Muskogean	Muskogean	Simple Clauses
chk	Chukchi	1	productive	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
cmn	Comanche	1	productive	33.5	-101.5	Numic	Uto-Aztecan	Simple Clauses
cre	Cree (Plains)	1	productive	54.0	-110.0	Algonquian	Algic	Simple Clauses
dag	Daga	4	no antipassive	-10.0	149.333333333	Dagan	Dagan	Simple Clauses
dni	Dani (Lower Grand Valley)	4	no antipassive	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Simple Clauses
diy	Diyari	2	partially productive	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
djr	Djaru	2	partially productive	-18.75	128.0	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
dji	Djingili	4	no antipassive	-17.75	134.0	Djingili	Mirndi	Simple Clauses
don	Dong	4	no antipassive	27.0	109.0	Kam-Tai	Tai-Kadai	Simple Clauses
dyi	Dyirbal	1	productive	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Simple Clauses
eml	Embaloh	1	productive	1.16666666667	112.333333333	South Sulawesi	Austronesian	Simple Clauses
eng	English	4	no antipassive	52.0	0.0	Germanic	Indo-European	Simple Clauses
epe	Epena Pedee	4	no antipassive	3.0	-77.0	Choco	Choco	Simple Clauses
eve	Evenki	4	no antipassive	56.0	125.0	Tungusic	Altaic	Simple Clauses
ewe	Ewe	4	no antipassive	6.33333333333	0.416666666667	Kwa	Niger-Congo	Simple Clauses
fij	Fijian	4	no antipassive	-17.8333333333	178.0	Oceanic	Austronesian	Simple Clauses
fin	Finnish	4	no antipassive	62.0	25.0	Finnic	Uralic	Simple Clauses
fre	French	4	no antipassive	48.0	2.0	Romance	Indo-European	Simple Clauses
gae	Gaelic (Scots)	4	no antipassive	57.0	-4.0	Celtic	Indo-European	Simple Clauses
geo	Georgian	4	no antipassive	42.0	44.0	Kartvelian	Kartvelian	Simple Clauses
ger	German	4	no antipassive	52.0	10.0	Germanic	Indo-European	Simple Clauses
gdi	Godié	4	no antipassive	5.41666666667	-5.83333333333	Kru	Niger-Congo	Simple Clauses
god	Godoberi	2	partially productive	42.6666666667	46.0833333333	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
goo	Gooniyandi	2	partially productive	-18.3333333333	126.333333333	Bunuban	Bunuban	Simple Clauses
grb	Grebo	4	no antipassive	5.0	-8.0	Kru	Niger-Congo	Simple Clauses
grk	Greek (Modern)	4	no antipassive	39.0	22.0	Greek	Indo-European	Simple Clauses
grw	Greenlandic (West)	1	productive	64.0	-51.0	Eskimo	Eskimo-Aleut	Simple Clauses
gua	Guaraní	4	no antipassive	-26.0	-56.0	Tupi-Guaraní	Tupian	Simple Clauses
hlu	Halkomelem (Upriver)	1	productive	49.25	-121.916666667	Central Salish	Salishan	Simple Clauses
hau	Hausa	4	no antipassive	12.0	7.0	West Chadic	Afro-Asiatic	Simple Clauses
heb	Hebrew (Modern)	4	no antipassive	31.5	34.8333333333	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	4	no antipassive	25.0	77.0	Indic	Indo-European	Simple Clauses
hix	Hixkaryana	4	no antipassive	-1.0	-59.0	Cariban	Cariban	Simple Clauses
hmo	Hmong Njua	4	no antipassive	28.0	105.0	Hmong-Mien	Hmong-Mien	Simple Clauses
