Östen Dahl. 2013. Tea.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/138, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	2	Words derived from Min Nan Chinese te	-24.0	21.5	Tu	Tu	Lexicon
abz	Abaza	1	Words derived from Sinitic cha	44.0	42.0	Northwest Caucasian	Northwest Caucasian	Lexicon
ace	Acehnese	2	Words derived from Min Nan Chinese te	5.5	95.5	Malayo-Sumbawan	Austronesian	Lexicon
afr	Afrikaans	2	Words derived from Min Nan Chinese te	-31.0	22.0	Germanic	Indo-European	Lexicon
aht	Ahtna	1	Words derived from Sinitic cha	62.0	-145.0	Athapaskan	Na-Dene	Lexicon
abm	Alabama	3	Others	32.3333333333	-87.4166666667	Muskogean	Muskogean	Lexicon
alb	Albanian	1	Words derived from Sinitic cha	41.0	20.0	Albanian	Indo-European	Lexicon
alt	Alsatian	2	Words derived from Min Nan Chinese te	48.5	7.5	Germanic	Indo-European	Lexicon
amh	Amharic	1	Words derived from Sinitic cha	10.0	38.0	Semitic	Afro-Asiatic	Lexicon
aeg	Arabic (Egyptian)	1	Words derived from Sinitic cha	30.0	31.0	Semitic	Afro-Asiatic	Lexicon
arm	Armenian (Eastern)	2	Words derived from Min Nan Chinese te	40.0	45.0	Armenian	Indo-European	Lexicon
ass	Assamese	1	Words derived from Sinitic cha	26.0	93.0	Indic	Indo-European	Lexicon
ast	Asturian	2	Words derived from Min Nan Chinese te	43.25	-6.0	Romance	Indo-European	Lexicon
ata	Atayal	3	Others	24.5	121.333333333	Atayalic	Austronesian	Lexicon
aze	Azerbaijani	1	Words derived from Sinitic cha	40.5	48.5	Turkic	Altaic	Lexicon
bdg	Badaga	2	Words derived from Min Nan Chinese te	11.6666666667	76.75	Southern Dravidian	Dravidian	Lexicon
bal	Balinese	2	Words derived from Min Nan Chinese te	-8.33333333333	115.25	Malayo-Sumbawan	Austronesian	Lexicon
blc	Baluchi	1	Words derived from Sinitic cha	28.0	62.0	Iranian	Indo-European	Lexicon
bam	Bambara	3	Others	12.5	-7.5	Western Mande	Mande	Lexicon
bsk	Bashkir	1	Words derived from Sinitic cha	53.0	58.0	Turkic	Altaic	Lexicon
bsq	Basque	1	Words derived from Sinitic cha	43.0	-3.0	Basque	Basque	Lexicon
blr	Belorussian	1	Words derived from Sinitic cha	54.0	28.0	Slavic	Indo-European	Lexicon
ben	Bengali	1	Words derived from Sinitic cha	24.0	90.0	Indic	Indo-European	Lexicon
bma	Berber (Middle Atlas)	3	Others	33.0	-5.0	Berber	Afro-Asiatic	Lexicon
bre	Breton	2	Words derived from Min Nan Chinese te	48.0	-3.0	Celtic	Indo-European	Lexicon
bru	Bru (Eastern)	2	Words derived from Min Nan Chinese te	17.3333333333	106.0	Katuic	Austro-Asiatic	Lexicon
bul	Bulgarian	1	Words derived from Sinitic cha	42.5	25.0	Slavic	Indo-European	Lexicon
but	Buriat	1	Words derived from Sinitic cha	52.0	108.0	Mongolic	Altaic	Lexicon
brj	Burji	1	Words derived from Sinitic cha	5.5	37.8333333333	Lowland East Cushitic	Afro-Asiatic	Lexicon
brm	Burmese	3	Others	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Lexicon
bur	Burushaski	1	Words derived from Sinitic cha	36.5	74.5	Burushaski	Burushaski	Lexicon
cnt	Cantonese	1	Words derived from Sinitic cha	23.0	113.0	Chinese	Sino-Tibetan	Lexicon
ctl	Catalan	2	Words derived from Min Nan Chinese te	41.75	2.0	Romance	Indo-European	Lexicon
ceb	Cebuano	1	Words derived from Sinitic cha	10.0	124.0	Greater Central Philippine	Austronesian	Lexicon
cme	Cham (Eastern)	1	Words derived from Sinitic cha	11.3333333333	108.5	Malayo-Sumbawan	Austronesian	Lexicon
cha	Chamorro	1	Words derived from Sinitic cha	13.45	144.75	Chamorro	Austronesian	Lexicon
chn	Chantyal	1	Words derived from Sinitic cha	28.5833333333	83.4166666667	Bodic	Sino-Tibetan	Lexicon
chc	Chechen	1	Words derived from Sinitic cha	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Lexicon
cmh	Chemehuevi	2	Words derived from Min Nan Chinese te	34.3333333333	-115.166666667	Numic	Uto-Aztecan	Lexicon
che	Cherokee	3	Others	35.5	-83.5	Southern Iroquoian	Iroquoian	Lexicon
cyn	Cheyenne	3	Others	47.0	-95.0	Algonquian	Algic	Lexicon
cic	Chichewa	2	Words derived from Min Nan Chinese te	-14.0	34.0	Bantoid	Niger-Congo	Lexicon
chp	Chipewyan	2	Words derived from Min Nan Chinese te	59.0	-106.0	Athapaskan	Na-Dene	Lexicon
chr	Chrau	1	Words derived from Sinitic cha	10.75	107.5	Bahnaric	Austro-Asiatic	Lexicon
crh	Chru	2	Words derived from Min Nan Chinese te	11.5	108.5	Malayo-Sumbawan	Austronesian	Lexicon
chv	Chuvash	1	Words derived from Sinitic cha	55.5	47.5	Turkic	Altaic	Lexicon
ccp	Cocopa	2	Words derived from Min Nan Chinese te	32.3333333333	-115.0	Yuman	Hokan	Lexicon
com	Comorian	1	Words derived from Sinitic cha	-12.0	44.0	Bantoid	Niger-Congo	Lexicon
cre	Cree (Plains)	3	Others	54.0	-110.0	Algonquian	Algic	Lexicon
cua	Cua	2	Words derived from Min Nan Chinese te	15.25	108.5	Bahnaric	Austro-Asiatic	Lexicon
cze	Czech	1	Words derived from Sinitic cha	50.0	15.0	Slavic	Indo-European	Lexicon
dga	Dagaare	2	Words derived from Min Nan Chinese te	10.5	-2.66666666667	Gur	Niger-Congo	Lexicon
dah	Dahalo	1	Words derived from Sinitic cha	-2.33333333333	40.5	Dahalo	Afro-Asiatic	Lexicon
dsh	Danish	2	Words derived from Min Nan Chinese te	56.0	10.0	Germanic	Indo-European	Lexicon
dhi	Dhivehi	1	Words derived from Sinitic cha	4.16666666667	73.5	Indic	Indo-European	Lexicon
din	Dinka	1	Words derived from Sinitic cha	8.5	28.0	Nilotic	Eastern Sudanic	Lexicon
dio	Diola-Fogny	2	Words derived from Min Nan Chinese te	13.0	-16.25	Northern Atlantic	Niger-Congo	Lexicon
dua	Duala	2	Words derived from Min Nan Chinese te	4.0	9.41666666667	Bantoid	Niger-Congo	Lexicon
dut	Dutch	2	Words derived from Min Nan Chinese te	52.5	6.0	Germanic	Indo-European	Lexicon
eng	English	2	Words derived from Min Nan Chinese te	52.0	0.0	Germanic	Indo-European	Lexicon
est	Estonian	2	Words derived from Min Nan Chinese te	59.0	26.0	Finnic	Uralic	Lexicon
evn	Even	1	Words derived from Sinitic cha	68.0	130.0	Tungusic	Altaic	Lexicon
eve	Evenki	1	Words derived from Sinitic cha	56.0	125.0	Tungusic	Altaic	Lexicon
ewe	Ewe	2	Words derived from Min Nan Chinese te	6.33333333333	0.416666666667	Kwa	Niger-Congo	Lexicon
ewo	Ewondo	2	Words derived from Min Nan Chinese te	4.0	12.0	Bantoid	Niger-Congo	Lexicon
fin	Finnish	2	Words derived from Min Nan Chinese te	62.0	25.0	Finnic	Uralic	Lexicon
fre	French	2	Words derived from Min Nan Chinese te	48.0	2.0	Romance	Indo-European	Lexicon
fli	Ful (Liptako)	3	Others	13.5	0.5	Northern Atlantic	Niger-Congo	Lexicon
fua	Fula (Cameroonian)	1	Words derived from Sinitic cha	9.16666666667	13.5	Northern Atlantic	Niger-Congo	Lexicon
gml	Gamilaraay	2	Words derived from Min Nan Chinese te	-29.8333333333	149.5	Southeastern Pama-Nyungan	Pama-Nyungan	Lexicon
geo	Georgian	1	Words derived from Sinitic cha	42.0	44.0	Kartvelian	Kartvelian	Lexicon
ger	German	2	Words derived from Min Nan Chinese te	52.0	10.0	Germanic	Indo-European	Lexicon
grt	Gorontalo	2	Words derived from Min Nan Chinese te	0.5	122.0	Greater Central Philippine	Austronesian	Lexicon
grk	Greek (Modern)	1	Words derived from Sinitic cha	39.0	22.0	Greek	Indo-European	Lexicon
gdl	Guadeloupe Creole	2	Words derived from Min Nan Chinese te	16.25	-61.5	Creoles and Pidgins	other	Lexicon
gua	Guaraní	2	Words derived from Min Nan Chinese te	-26.0	-56.0	Tupi-Guaraní	Tupian	Lexicon
guj	Gujarati	1	Words derived from Sinitic cha	23.0	72.0	Indic	Indo-European	Lexicon
hau	Hausa	1	Words derived from Sinitic cha	12.0	7.0	West Chadic	Afro-Asiatic	Lexicon
haw	Hawaiian	3	Others	19.5833333333	-155.5	Oceanic	Austronesian	Lexicon
heb	Hebrew (Modern)	2	Words derived from Min Nan Chinese te	31.5	34.8333333333	Semitic	Afro-Asiatic	Lexicon
hil	Hiligaynon	1	Words derived from Sinitic cha	10.25	123.0	Greater Central Philippine	Austronesian	Lexicon
hin	Hindi	1	Words derived from Sinitic cha	25.0	77.0	Indic	Indo-European	Lexicon
hre	Hre	2	Words derived from Min Nan Chinese te	14.6666666667	108.666666667	Bahnaric	Austro-Asiatic	Lexicon
hun	Hungarian	2	Words derived from Min Nan Chinese te	47.0	20.0	Ugric	Uralic	Lexicon
ice	Icelandic	2	Words derived from Min Nan Chinese te	65.0	-17.0	Germanic	Indo-European	Lexicon
ind	Indonesian	2	Words derived from Min Nan Chinese te	0.0	106.0	Malayo-Sumbawan	Austronesian	Lexicon
ing	Ingush	1	Words derived from Sinitic cha	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Lexicon
iri	Irish	2	Words derived from Min Nan Chinese te	53.0	-8.0	Celtic	Indo-European	Lexicon
ita	Italian	2	Words derived from Min Nan Chinese te	43.0	12.0	Romance	Indo-European	Lexicon
inu	Iñupiaq	3	Others	67.0	-161.0	Eskimo	Eskimo-Aleut	Lexicon
jpn	Japanese	1	Words derived from Sinitic cha	37.0	140.0	Japanese	Japanese	Lexicon
jav	Javanese	2	Words derived from Min Nan Chinese te	-7.0	111.0	Javanese	Austronesian	Lexicon
jmo	Jur Mödö	1	Words derived from Sinitic cha	6.0	30.0	Bongo-Bagirmi	Central Sudanic	Lexicon
juh	Ju|'hoan	2	Words derived from Min Nan Chinese te	-19.0	21.0	Ju-Kung	Kxa	Lexicon
kab	Kabardian	1	Words derived from Sinitic cha	43.5	43.5	Northwest Caucasian	Northwest Caucasian	Lexicon
kbl	Kabyle	3	Others	36.5	5.0	Berber	Afro-Asiatic	Lexicon
kmk	Kalmyk	1	Words derived from Sinitic cha	44.0	83.0	Mongolic	Altaic	Lexicon
knr	Kanuri	2	Words derived from Min Nan Chinese te	12.0	13.0	Western Saharan	Saharan	Lexicon
krm	Karaim	1	Words derived from Sinitic cha	54.6666666667	24.9166666667	Turkic	Altaic	Lexicon
kkp	Karakalpak	1	Words derived from Sinitic cha	43.0	60.0	Turkic	Altaic	Lexicon
ksg	Karen (Sgaw)	3	Others	18.0	97.0	Karen	Sino-Tibetan	Lexicon
krk	Karok	3	Others	41.6666666667	-123.0	Karok	Karok	Lexicon
kaz	Kazakh	1	Words derived from Sinitic cha	50.0	70.0	Turkic	Altaic	Lexicon
keu	Kenyah (Uma' Lung)	2	Words derived from Min Nan Chinese te	3.0	115.833333333	North Borneo	Austronesian	Lexicon
ket	Ket	3	Others	64.0	87.0	Yeniseian	Yeniseian	Lexicon
khk	Khakas	1	Words derived from Sinitic cha	53.0	90.0	Turkic	Altaic	Lexicon
kha	Khalkha	1	Words derived from Sinitic cha	47.0	105.0	Mongolic	Altaic	Lexicon
khs	Khasi	1	Words derived from Sinitic cha	25.5	92.0	Khasian	Austro-Asiatic	Lexicon
khm	Khmer	2	Words derived from Min Nan Chinese te	12.5	105.0	Khmer	Austro-Asiatic	Lexicon
kik	Kikuyu	1	Words derived from Sinitic cha	-0.75	36.75	Bantoid	Niger-Congo	Lexicon
kin	Kinyarwanda	1	Words derived from Sinitic cha	-2.0	30.0	Bantoid	Niger-Congo	Lexicon
kgz	Kirghiz	1	Words derived from Sinitic cha	42.0	75.0	Turkic	Altaic	Lexicon
koi	Koiari	2	Words derived from Min Nan Chinese te	-9.5	147.333333333	Koiarian	Trans-New Guinea	Lexicon
kkn	Konkani	1	Words derived from Sinitic cha	15.25	74.0	Indic	Indo-European	Lexicon
kor	Korean	1	Words derived from Sinitic cha	37.5	128.0	Korean	Korean	Lexicon
kry	Koryak	1	Words derived from Sinitic cha	61.0	167.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Lexicon
kos	Kosraean	2	Words derived from Min Nan Chinese te	5.3	163.0	Oceanic	Austronesian	Lexicon
kse	Koyraboro Senni	3	Others	16.0	0.0	Songhay	Songhay	Lexicon
kro	Krongo	1	Words derived from Sinitic cha	10.5	30.0	Kadugli	Kadu	Lexicon
kuq	Kumyk	1	Words derived from Sinitic cha	43.0	47.3333333333	Turkic	Altaic	Lexicon
kjn	Kunjen	3	Others	-16.5	142.5	Northern Pama-Nyungan	Pama-Nyungan	Lexicon
kji	Kurmanji	1	Words derived from Sinitic cha	38.0	42.0	Iranian	Indo-European	Lexicon
lad	Ladakhi	3	Others	34.0	78.0	Bodic	Sino-Tibetan	Lexicon
lmp	Lampung	2	Words derived from Min Nan Chinese te	-5.0	105.0	Lampungic	Austronesian	Lexicon
lao	Lao	3	Others	18.0	103.0	Kam-Tai	Tai-Kadai	Lexicon
lat	Latvian	2	Words derived from Min Nan Chinese te	57.0	24.0	Baltic	Indo-European	Lexicon
lcr	Lesser Antillean French Creole	1	Words derived from Sinitic cha	15.0	-61.1666666667	Creoles and Pidgins	other	Lexicon
lin	Lingala	2	Words derived from Min Nan Chinese te	2.0	18.5	Bantoid	Niger-Congo	Lexicon
lis	Lisu	3	Others	26.0	98.0	Burmese-Lolo	Sino-Tibetan	Lexicon
lit	Lithuanian	3	Others	55.0	24.0	Baltic	Indo-European	Lexicon
lon	Loniu	3	Others	-2.06666666667	147.333333333	Oceanic	Austronesian	Lexicon
lda	Luganda	1	Words derived from Sinitic cha	0.5	32.1666666667	Bantoid	Niger-Congo	Lexicon
luo	Luo	1	Words derived from Sinitic cha	-0.5	34.75	Nilotic	Eastern Sudanic	Lexicon
lux	Luxemburgeois	2	Words derived from Min Nan Chinese te	49.8333333333	6.16666666667	Germanic	Indo-European	Lexicon
mdr	Madurese	2	Words derived from Min Nan Chinese te	-7.0	113.5	Malayo-Sumbawan	Austronesian	Lexicon
mks	Makassar	2	Words derived from Min Nan Chinese te	-5.41666666667	119.583333333	South Sulawesi	Austronesian	Lexicon
mal	Malagasy	2	Words derived from Min Nan Chinese te	-20.0	47.0	Barito	Austronesian	Lexicon
mym	Malayalam	1	Words derived from Sinitic cha	10.0	76.5	Southern Dravidian	Dravidian	Lexicon
mlt	Maltese	2	Words derived from Min Nan Chinese te	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Lexicon
mnd	Mandarin	1	Words derived from Sinitic cha	34.0	110.0	Chinese	Sino-Tibetan	Lexicon
mao	Maori	2	Words derived from Min Nan Chinese te	-40.0	176.0	Oceanic	Austronesian	Lexicon
mku	Maranungku	3	Others	-13.6666666667	130.0	Wagaydy	Western Daly	Lexicon
mhi	Marathi	1	Words derived from Sinitic cha	19.0	76.0	Indic	Indo-European	Lexicon
mme	Mari (Meadow)	1	Words derived from Sinitic cha	57.0	48.0	Mari	Uralic	Lexicon
msh	Marshallese	2	Words derived from Min Nan Chinese te	7.11666666667	171.05	Oceanic	Austronesian	Lexicon
mby	Mbay	1	Words derived from Sinitic cha	8.25	17.5	Bongo-Bagirmi	Central Sudanic	Lexicon
mnt	Mentawai	2	Words derived from Min Nan Chinese te	-1.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Lexicon
min	Minangkabau	2	Words derived from Min Nan Chinese te	-1.0	101.0	Malayo-Sumbawan	Austronesian	Lexicon
mss	Miwok (Southern Sierra)	2	Words derived from Min Nan Chinese te	37.5	-120.0	Miwok	Penutian	Lexicon
mol	Moldavian	1	Words derived from Sinitic cha	47.0	29.0	Romance	Indo-European	Lexicon
moe	Mordvin (Erzya)	1	Words derived from Sinitic cha	53.0	45.5	Mordvin	Uralic	Lexicon
nai	Nanai	1	Words derived from Sinitic cha	49.5	137.0	Tungusic	Altaic	Lexicon
nep	Nepali	1	Words derived from Sinitic cha	28.0	85.0	Indic	Indo-European	Lexicon
new	Newari (Kathmandu)	1	Words derived from Sinitic cha	27.6666666667	85.5	Mahakiranti	Sino-Tibetan	Lexicon
nog	Noghay	1	Words derived from Sinitic cha	44.0	46.0	Turkic	Altaic	Lexicon
nor	Norwegian	2	Words derived from Min Nan Chinese te	61.0	8.0	Germanic	Indo-European	Lexicon
nbd	Nubian (Dongolese)	1	Words derived from Sinitic cha	18.25	30.75	Nubian	Eastern Sudanic	Lexicon
nun	Nung (in Vietnam)	1	Words derived from Sinitic cha	21.9166666667	106.416666667	Kam-Tai	Tai-Kadai	Lexicon
nyl	Nyelâyu	2	Words derived from Min Nan Chinese te	-20.3333333333	164.333333333	Oceanic	Austronesian	Lexicon
occ	Occitan	2	Words derived from Min Nan Chinese te	44.0	2.0	Romance	Indo-European	Lexicon
