Ulrike Zeshan. 2013. Irregular Negatives in Sign Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/139, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
ada	Adamorobe Sign Language	3	Some (2-5)	5.83333333333	-0.166666666667	Sign Languages	other	Sign Languages
asl	American Sign Language	4	Many (more than 5)	39.0	-78.0	Sign Languages	other	Sign Languages
aus	Auslan	4	Many (more than 5)	-30.0	145.0	Sign Languages	other	Sign Languages
bsl	British Sign Language	4	Many (more than 5)	52.0	-1.0	Sign Languages	other	Sign Languages
csl	Chinese Sign Language	4	Many (more than 5)	35.0	115.0	Sign Languages	other	Sign Languages
dge	Deutsche Gebärdensprache	4	Many (more than 5)	52.0	11.0	Sign Languages	other	Sign Languages
fsl	Finnish Sign Language	4	Many (more than 5)	62.0	26.0	Sign Languages	other	Sign Languages
gsl	Greek Sign Language	4	Many (more than 5)	38.5	22.0	Sign Languages	other	Sign Languages
hks	Hong Kong Sign Language	4	Many (more than 5)	22.5	114.0	Sign Languages	other	Sign Languages
ics	Icelandic Sign Language	3	Some (2-5)	65.0	-18.0	Sign Languages	other	Sign Languages
ipi	Indo-Pakistani Sign Language (Indian dialects)	2	One	24.0	80.0	Sign Languages	other	Sign Languages
ipk	Indo-Pakistani Sign Language (Karachi dialect)	1	None	28.0	68.0	Sign Languages	other	Sign Languages
isl	International Sign	3	Some (2-5)	40.0	-170.0	Sign Languages	other	Sign Languages
irs	Irish Sign Language	3	Some (2-5)	53.5	-7.5	Sign Languages	other	Sign Languages
iss	Israeli Sign Language	4	Many (more than 5)	32.0	34.8333333333	Sign Languages	other	Sign Languages
kkl	Kata Kolok	2	One	-8.25	115.166666667	Sign Languages	other	Sign Languages
lsf	Langue des Signes Française	4	Many (more than 5)	47.0	3.0	Sign Languages	other	Sign Languages
lsq	Langue des Signes Québecoise	4	Many (more than 5)	48.0	-75.0	Sign Languages	other	Sign Languages
lsa	Lengua de Señas Argentina	4	Many (more than 5)	-34.0	-63.0	Sign Languages	other	Sign Languages
lse	Lengua de Señas Española	2	One	40.0	-3.0	Sign Languages	other	Sign Languages
lii	Lingua Italiana dei Segni	3	Some (2-5)	42.0	13.0	Sign Languages	other	Sign Languages
lgh	Lughat al-Isharat al-Lubnaniya	3	Some (2-5)	34.0	35.8333333333	Sign Languages	other	Sign Languages
lsb	Língua de Sinais Brasileira	4	Many (more than 5)	-15.0	-48.0	Sign Languages	other	Sign Languages
ned	Nederlandse Gebarentaal	3	Some (2-5)	52.25	5.5	Sign Languages	other	Sign Languages
nzs	New Zealand Sign Language	4	Many (more than 5)	-43.0	172.0	Sign Languages	other	Sign Languages
nih	Nihon Shuwa (Japanese Sign Language)	4	Many (more than 5)	36.0	139.0	Sign Languages	other	Sign Languages
rsl	Russian Sign Language	4	Many (more than 5)	56.0	44.0	Sign Languages	other	Sign Languages
ssl	South Korean Sign Language	4	Many (more than 5)	37.0	128.0	Sign Languages	other	Sign Languages
svt	Svenska Teckenspråket	4	Many (more than 5)	59.0	15.0	Sign Languages	other	Sign Languages
tzi	Taiwanese Sign Language (Ziran Shouyu)	4	Many (more than 5)	24.0	121.0	Sign Languages	other	Sign Languages
tsl	Tanzania Sign Language	3	Some (2-5)	-6.0	35.0	Sign Languages	other	Sign Languages
ths	Thai Sign Language	3	Some (2-5)	15.0	101.0	Sign Languages	other	Sign Languages
tui	Türk Isaret Dili	3	Some (2-5)	39.0	34.0	Sign Languages	other	Sign Languages
ugs	Ugandan Sign Language	4	Many (more than 5)	1.0	32.5	Sign Languages	other	Sign Languages
vla	Vlaamse Gebarentaal	4	Many (more than 5)	51.0	4.0	Sign Languages	other	Sign Languages
