David Gil. 2013. Para-Linguistic Usages of Clicks.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/142, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
alb	Albanian	1	Logical meanings	41.0	20.0	Albanian	Indo-European	Other
ame	Amele	2	Affective meanings	-5.25	145.583333333	Madang	Trans-New Guinea	Other
ami	Amis	3	Other or none	23.3333333333	121.333333333	East Formosan	Austronesian	Other
abh	Arabic (Bahrain)	1	Logical meanings	26.0	50.5	Semitic	Afro-Asiatic	Other
ako	Arabic (Kormakiti)	1	Logical meanings	35.25	33.5	Semitic	Afro-Asiatic	Other
arl	Arabic (Lebanese)	1	Logical meanings	34.0	36.0	Semitic	Afro-Asiatic	Other
amr	Arabic (Moroccan)	1	Logical meanings	34.0	-6.0	Semitic	Afro-Asiatic	Other
ars	Arabic (San'ani)	1	Logical meanings	16.0	44.0	Semitic	Afro-Asiatic	Other
atu	Arabic (Tunisian)	1	Logical meanings	36.75	10.25	Semitic	Afro-Asiatic	Other
akm	Arakanese (Marma)	2	Affective meanings	21.5	92.5	Burmese-Lolo	Sino-Tibetan	Other
aul	Aulua	2	Affective meanings	-16.3333333333	167.666666667	Oceanic	Austronesian	Other
ava	Avar	1	Logical meanings	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Other
bgv	Bagvalal	1	Logical meanings	42.5833333333	46.1666666667	Avar-Andic-Tsezic	Nakh-Daghestanian	Other
bal	Balinese	2	Affective meanings	-8.33333333333	115.25	Malayo-Sumbawan	Austronesian	Other
bam	Bambara	1	Logical meanings	12.5	-7.5	Western Mande	Mande	Other
bmn	Bamun	2	Affective meanings	5.5	10.9166666667	Bantoid	Niger-Congo	Other
bej	Beja	1	Logical meanings	18.0	36.0	Beja	Afro-Asiatic	Other
bel	Belhare	3	Other or none	26.9666666667	87.3	Mahakiranti	Sino-Tibetan	Other
ben	Bengali	1	Logical meanings	24.0	90.0	Indic	Indo-European	Other
btk	Bontok	3	Other or none	17.0833333333	120.916666667	Northern Luzon	Austronesian	Other
bos	Bosnian	1	Logical meanings	43.0	18.0	Slavic	Indo-European	Other
bra	Brao	2	Affective meanings	14.1666666667	107.5	Bahnaric	Austro-Asiatic	Other
bul	Bulgarian	1	Logical meanings	42.5	25.0	Slavic	Indo-European	Other
cnt	Cantonese	2	Affective meanings	23.0	113.0	Chinese	Sino-Tibetan	Other
chz	Chaozhou	2	Affective meanings	23.6666666667	116.666666667	Chinese	Sino-Tibetan	Other
chc	Chechen	1	Logical meanings	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Other
cck	Chickasaw	3	Other or none	34.0	-88.0	Muskogean	Muskogean	Other
chx	Chontal (Huamelultec Oaxaca)	2	Affective meanings	16.0	-95.75	Tequistlatecan	Tequistlatecan	Other
cze	Czech	2	Affective meanings	50.0	15.0	Slavic	Indo-European	Other
dgr	Dagur	3	Other or none	48.0	124.0	Mongolic	Altaic	Other
dsh	Danish	2	Affective meanings	56.0	10.0	Germanic	Indo-European	Other
