wals code	name	value	description	latitude	longitude	genus	family	area
adg	Adang	2	S(Neg)OVNeg	-8.2	124.0	Greater Alor	Timor-Alor-Pantar	Word Order
ame	Amele	14	S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)]	-5.25	145.583333333	Madang	Trans-New Guinea	Word Order
ao	Ao	6	SO[Neg-V(-Neg)]	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
bel	Belhare	21	SV & OV &  [(Neg-)V-Neg]	26.9666666667	87.3	Mahakiranti	Sino-Tibetan	Word Order
blx	Biloxi	5	SO[(Neg-)V]Neg	30.5	-88.6666666667	Core Siouan	Siouan	Word Order
bok	Boko	2	S(Neg)OVNeg	10.5	3.5	Eastern Mande	Mande	Word Order
chi	Chimariko	21	SV & OV &  [(Neg-)V-Neg]	41.0	-123.0	Chimariko	Hokan	Word Order
dun	Duna	9	SOVNeg/SO[Neg-V-Neg]	-5.5	142.5	Duna	Trans-New Guinea	Word Order
guh	Guhu-Samane	16	SOV & (Neg)[V(-Neg)]	-8.0	147.333333333	Binanderean	Trans-New Guinea	Word Order
hlp	Hualapai	13	(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg	35.5	-113.75	Yuman	Hokan	Word Order
ina	Inanwatan	17	SOV/SVO & Neg[V-(Neg)]	-2.08333333333	132.083333333	South Bird's Head	Marind	Word Order
kma	Kamaiurá	7	SO[(Neg-)V-Neg]	-12.0833333333	-52.5833333333	Tupi-Guaraní	Tupian	Word Order
kyz	Kayabí	11	SOV but S[Neg-V-Neg]O/SO[V-Neg]	-11.0	-55.5	Tupi-Guaraní	Tupian	Word Order
khg	Khaling	6	SO[Neg-V(-Neg)]	27.5	86.6666666667	Mahakiranti	Sino-Tibetan	Word Order
klw	Kiliwa	13	(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg	31.3333333333	-115.666666667	Yuman	Hokan	Word Order
kmb	Kombai	7	SO[(Neg-)V-Neg]	-5.58333333333	140.0	Awju-Dumut	Trans-New Guinea	Word Order
kwo	Kwoma	15	SOV & (Neg)[V-Neg]	-4.16666666667	142.75	Middle Sepik	Sepik	Word Order
kwt	Kwomtari	10	SNegO[V(-Neg)](Neg)	-3.5	141.5	Kwomtari	Kwomtari-Baibai	Word Order
mab	Maba	8	SO[V-Neg](Neg)	13.75	20.8333333333	Maban	Maban	Word Order
mku	Maranungku	1	NegSOV(Neg)	-13.6666666667	130.0	Wagaydy	Western Daly	Word Order
mka	Mauka	3	SNegOV(Neg)	8.33333333333	-7.5	Western Mande	Mande	Word Order
nph	Nar-Phu	20	SV & OV &  [Neg-V(-Neg)]	28.6666666667	84.25	Bodic	Sino-Tibetan	Word Order
niv	Nivkh	8	SO[V-Neg](Neg)	53.3333333333	142.0	Nivkh	Nivkh	Word Order
run	Runga	15	SOV & (Neg)[V-Neg]	10.3333333333	21.0	Maban	Maban	Word Order
sup	Supyire	2	S(Neg)OVNeg	11.5	-5.58333333333	Gur	Niger-Congo	Word Order
tac	Tacana	18	SV & OV & (Neg)V(Neg)	-13.5	-68.0	Tacanan	Tacanan	Word Order
tar	Tariana	7	SO[(Neg-)V-Neg]	1.0	-69.1666666667	Inland Northern Arawakan	Arawakan	Word Order
tja	Tiipay (Jamul)	13	(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg	32.1666666667	-116.5	Yuman	Hokan	Word Order
tgl	Tshangla	12	SO[Neg-V-(Neg)]/SOVNeg	27.8333333333	92.1666666667	Bodic	Sino-Tibetan	Word Order
tsh	Tümpisa Shoshone	4	SNegO[V(-Neg)]	37.0	-117.0	Numic	Uto-Aztecan	Word Order
woi	Woisika	19	SV & OV &  (Neg)[V-Neg]	-8.25	124.833333333	Greater Alor	Timor-Alor-Pantar	Word Order
