Ian Maddieson. 2013. Absence of Common Consonants.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/18, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	1	All present	-24.0	21.5	Tu	Tu	Phonology
ani	//Ani	1	All present	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Phonology
abi	Abipón	1	All present	-29.0	-61.0	South Guaicuruan	Guaicuruan	Phonology
abk	Abkhaz	1	All present	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Phonology
acm	Achumawi	1	All present	41.5	-121.0	Palaihnihan	Hokan	Phonology
ach	Aché	1	All present	-25.25	-55.1666666667	Tupi-Guaraní	Tupian	Phonology
aco	Acoma	1	All present	34.9166666667	-107.583333333	Keresan	Keresan	Phonology
adz	Adzera	1	All present	-6.25	146.25	Oceanic	Austronesian	Phonology
agh	Aghem	1	All present	6.66666666667	10.0	Bantoid	Niger-Congo	Phonology
aht	Ahtna	1	All present	62.0	-145.0	Athapaskan	Na-Dene	Phonology
aik	Aikaná	1	All present	-12.6666666667	-60.6666666667	Aikaná	Aikaná	Phonology
ain	Ainu	1	All present	43.0	143.0	Ainu	Ainu	Phonology
aiz	Aizi	1	All present	5.25	-4.5	Kru	Niger-Congo	Phonology
akn	Akan	1	All present	6.5	-1.25	Kwa	Niger-Congo	Phonology
akw	Akawaio	1	All present	6.0	-59.5	Cariban	Cariban	Phonology
abm	Alabama	1	All present	32.3333333333	-87.4166666667	Muskogean	Muskogean	Phonology
ala	Alamblak	1	All present	-4.66666666667	143.333333333	Sepik Hill	Sepik	Phonology
alw	Alawa	3	No fricatives	-15.1666666667	134.25	Alawa	Mangarrayi-Maran	Phonology
alb	Albanian	1	All present	41.0	20.0	Albanian	Indo-European	Phonology
aea	Aleut (Eastern)	1	All present	54.75	-164.0	Aleut	Eskimo-Aleut	Phonology
ald	Alladian	1	All present	5.16666666667	-4.33333333333	Kwa	Niger-Congo	Phonology
amc	Amahuaca	1	All present	-10.5	-72.5	Panoan	Panoan	Phonology
ame	Amele	1	All present	-5.25	145.583333333	Madang	Trans-New Guinea	Phonology
amh	Amharic	1	All present	10.0	38.0	Semitic	Afro-Asiatic	Phonology
amo	Amo	1	All present	10.3333333333	8.66666666667	Kainji	Niger-Congo	Phonology
amz	Amuzgo	1	All present	16.8333333333	-98.0	Amuzgoan	Oto-Manguean	Phonology
adk	Andoke	4	No nasals	-0.666666666667	-72.0	Andoke	Andoke	Phonology
ant	Angaatiha	3	No fricatives	-7.21666666667	146.25	Angan	Trans-New Guinea	Phonology
anc	Angas	1	All present	9.5	9.5	West Chadic	Afro-Asiatic	Phonology
ao	Ao	1	All present	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Phonology
api	Apinayé	1	All present	-5.5	-48.0	Ge-Kaingang	Macro-Ge	Phonology
