wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Identical	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
ace	Acehnese	1	Identical	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
aco	Acoma	1	Identical	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
afr	Afrikaans	1	Identical	-31.0	22.0	Germanic	Indo-European	Nominal Categories
ain	Ainu	2	Different stem	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	1	Identical	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
aly	Alyawarra	1	Identical	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
amb	Ambulas	2	Different stem	-3.83333333333	143.0	Middle Sepik	Sepik	Nominal Categories
ame	Amele	1	Identical	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Categories
any	Anywa	2	Different stem	8.0	33.5	Nilotic	Eastern Sudanic	Nominal Categories
ao	Ao	1	Identical	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
apl	Apalaí	1	Identical	0.0	-54.0	Cariban	Cariban	Nominal Categories
apu	Apurinã	1	Identical	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	1	Identical	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	1	Identical	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	2	Different stem	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arp	Arapesh (Mountain)	1	Identical	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
amp	Arrernte (Mparntwe)	1	Identical	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
bab	Babungo	1	Identical	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Nominal Categories
