Thomas Stolz, Ljuba N. Veselinova. 2013. Ordinal Numerals.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/53, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	1	None	-24.0	21.5	Tu	Tu	Nominal Categories
abk	Abkhaz	5	First/one-th, two-th, three-th	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aci	Achí	6	First, two-th, three-th	15.1666666667	-90.5	Mayan	Mayan	Nominal Categories
aco	Acoma	5	First/one-th, two-th, three-th	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
afr	Afrikaans	6	First, two-th, three-th	-31.0	22.0	Germanic	Indo-European	Nominal Categories
ain	Ainu	1	None	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	6	First, two-th, three-th	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	6	First, two-th, three-th	41.0	20.0	Albanian	Indo-European	Nominal Categories
ale	Aleut	6	First, two-th, three-th	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	5	First/one-th, two-th, three-th	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Categories
ago	Angolar	3	First, two, three	0.25	6.5	Creoles and Pidgins	other	Nominal Categories
apu	Apurinã	1	None	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	1	None	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	6	First, two-th, three-th	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	6	First, two-th, three-th	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	7	First, second, three-th	34.0	-6.0	Semitic	Afro-Asiatic	Nominal Categories
arp	Arapesh (Mountain)	1	None	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arm	Armenian (Eastern)	6	First, two-th, three-th	40.0	45.0	Armenian	Indo-European	Nominal Categories
arw	Armenian (Western)	6	First, two-th, three-th	38.5	43.5	Armenian	Indo-European	Nominal Categories
ava	Avar	4	One-th, two-th, three-th	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
awp	Awa Pit	1	None	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
awt	Awtuw	1	None	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
aym	Aymara (Central)	3	First, two, three	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
aze	Azerbaijani	5	First/one-th, two-th, three-th	40.5	48.5	Turkic	Altaic	Nominal Categories
bak	Baka (in Cameroon)	6	First, two-th, three-th	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Nominal Categories
bam	Bambara	6	First, two-th, three-th	12.5	-7.5	Western Mande	Mande	Nominal Categories
bnk	Bankon	6	First, two-th, three-th	4.41666666667	9.58333333333	Bantoid	Niger-Congo	Nominal Categories
brs	Barasano	1	None	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bsk	Bashkir	4	One-th, two-th, three-th	53.0	58.0	Turkic	Altaic	Nominal Categories
bsq	Basque	6	First, two-th, three-th	43.0	-3.0	Basque	Basque	Nominal Categories
blr	Belorussian	7	First, second, three-th	54.0	28.0	Slavic	Indo-European	Nominal Categories
ben	Bengali	6	First, two-th, three-th	24.0	90.0	Indic	Indo-European	Nominal Categories
bma	Berber (Middle Atlas)	6	First, two-th, three-th	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
bsm	Bislama	5	First/one-th, two-th, three-th	-16.0	168.0	Creoles and Pidgins	other	Nominal Categories
bla	Blackfoot	6	First, two-th, three-th	50.0	-112.666666667	Algonquian	Algic	Nominal Categories
brh	Brahui	5	First/one-th, two-th, three-th	28.5	67.0	Northern Dravidian	Dravidian	Nominal Categories
bre	Breton	7	First, second, three-th	48.0	-3.0	Celtic	Indo-European	Nominal Categories
bub	Bubi	3	First, two, three	3.5	8.66666666667	Bantoid	Niger-Congo	Nominal Categories
bul	Bulgarian	7	First, second, three-th	42.5	25.0	Slavic	Indo-European	Nominal Categories
brm	Burmese	8	Various	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
