"value","latitude","longitude"
1,-24,21.5
1,-18.9166666667,21.9166666667
1,-29,-61
1,43.0833333333,41
1,41.5,-121
-1,-25.25,-55.1666666667
-1,34.9166666667,-107.583333333
-1,-6.25,146.25
-1,6.66666666667,10
1,62,-145
-1,-12.6666666667,-60.6666666667
-1,43,143
-1,5.25,-4.5
-1,6.5,-1.25
-1,6,-59.5
-1,32.3333333333,-87.4166666667
-1,-4.66666666667,143.333333333
-1,-15.1666666667,134.25
-1,41,20
1,54.75,-164
-1,5.16666666667,-4.33333333333
-1,-10.5,-72.5
-1,-5.25,145.583333333
-1,10,38
-1,10.3333333333,8.66666666667
-1,16.8333333333,-98
-1,-0.666666666667,-72
-1,-7.21666666667,146.25
-1,9.5,9.5
-1,26.5833333333,94.6666666667
-1,-5.5,-48
-1,-9,-67
-1,-2,-75.1666666667
1,30,31
-1,-12.3333333333,-67.75
-1,-3.46666666667,143.166666667
1,42,46.8333333333
1,40,45
-1,-24,136
-1,-5.5,138.5
1,24.5,121.333333333
1,42.5,46.5
-1,1.5,-78.25
1,10.8333333333,36.6666666667
1,-17,-69
-1,40.5,48.5
-1,11.6666666667,16
-1,26,100
-1,-4.58333333333,152
-1,-4.33333333333,123
-1,-14,-55
-1,12.5,-7.5
-1,-27.9166666667,153
-1,-16.5833333333,122.916666667
-1,10,2.5
1,53,58
-1,43,-3
-1,3.25,98.25
-1,2.5,99
-1,22.5,92.25
-1,-3.91666666667,14.0833333333
-1,18,36
1,52.5,-126.666666667
-1,24,90
1,33,-5
-1,10.3333333333,34.6666666667
-1,9.66666666667,8.83333333333
-1,11.5,-0.5
-1,12.4166666667,-4.33333333333
-1,26.8333333333,92
-1,-16,-57
-1,28.5,67
-1,14.1666666667,107.5
-1,48,-3
-1,9.41666666667,-83
-1,16.75,104.75
-1,42.5,25
-1,-12.25,134.583333333
-1,21,96
1,36.5,74.5
-1,6.25,-6.25
-1,1.08333333333,-70
-1,33.3333333333,-93.5
1,33.5,-116.25
-1,-12,-74
-1,1.16666666667,-77
-1,-6,-46
-1,23,113
-1,5.5,-56
-1,41.75,2
-1,0.666666666667,-79
-1,-13.5,-65.5
-1,12,105.5
-1,13.45,144.75
-1,16.25,-97.3333333333
1,46.5833333333,-123
-1,35.5,-83.5
-1,34,-88
-1,23.3333333333,93.6666666667
-1,17.3333333333,-95.9166666667
-1,17.5833333333,-96.6666666667
-1,59,-106
-1,-6.11666666667,145.116666667
1,67,-173
-1,-23.5,-60.5
-1,55.5,47.5
-1,-6,22
-1,32.3333333333,-115
-1,0.166666666667,-77.1666666667
-1,33.5,-101.5
1,43.5,-124.166666667
-1,54,-110
-1,1.33333333333,-70.5
-1,-6.55,144.583333333
-1,-10,149.333333333
-1,9.58333333333,-0.5
-1,48,124
-1,-2.33333333333,40.5
1,12.25,25.25
-1,7.5,-8
-1,12.1666666667,18.3333333333
-1,-4.33333333333,138.833333333
-1,24,84
-1,-20.5,24.5
1,32.6666666667,-116.166666667
-1,8.5,28
-1,13,-16.25
-1,-28,139
-1,6.16666666667,36.5
-1,-12.6666666667,136
-1,-3.58333333333,141
-1,8.66666666667,13.0833333333
-1,-21,167.25
-1,-2.68333333333,141.3
-1,-17.8333333333,145.583333333
-1,4.91666666667,8.5
-1,5.41666666667,8.66666666667
-1,-3.83333333333,135.5
-1,52,0
-1,3,-77
-1,68,130
-1,56,125
-1,6.33333333333,0.416666666667
-1,4,12
1,60.5,-145
-1,-6.58333333333,143.333333333
-1,5.25,10.1666666667
-1,-17.8333333333,178
-1,62,25
1,48,2
-1,-8,-37.5
-1,13.5,25
-1,26,119.5
-1,9.58333333333,9.33333333333
-1,-6.25,146
-1,25.6666666667,90.5
-1,-17.0833333333,137.166666667
-1,6.66666666667,17.5
1,22.9166666667,105.5
1,42,44
1,52,10
-1,12,-72
-1,-18.3333333333,126.333333333
-1,12,92.6666666667
-1,5,-8
-1,39,22
1,64,-51
-1,5,-69
-1,2.5,-76.6666666667
-1,-26,-56
-1,9.5,7
-1,5.66666666667,-0.166666666667
-1,-3.75,35.1666666667
1,53,-132
-1,25,116
1,5,36.5
1,-7.5,146.25
-1,12,7
-1,19.5833333333,-155.5
1,31.75,35.1666666667
-1,25,77
-1,-1,-59
1,28,105
1,36,-110
-1,22.0833333333,-99.3333333333
-1,16.2166666667,-95
-1,-1,-73.5
-1,47,20
1,42.1666666667,46.25
1,41.0833333333,-123.666666667
-1,-20.4166666667,166.583333333
-1,2,112
-1,6,7.33333333333
-1,-15.1666666667,-65.4166666667
-1,4.91666666667,5.66666666667
-1,3.75,34.1666666667
-1,10.6666666667,-73.75
-1,-3.33333333333,141.166666667
-1,0,106
-1,11.5,34
1,43.1666666667,45.0833333333
-1,-13,-58
1,-4,35.5
-1,-3,133.5
-1,55,-8
-1,5.5,6.25
1,57,157.5
-1,-12.8333333333,-64.3333333333
-1,20.3333333333,121.833333333
-1,-4.33333333333,142
1,15.6666666667,-91.6666666667
1,37,140
-1,10.5,-73
1,-13,-76
-1,-7,111
-1,-5.41666666667,-76.5
-1,15.1666666667,107.833333333
-1,25.4166666667,97
-1,-2.5,-78
-1,10.5833333333,30.5
-1,-19,21
1,16,-89.8333333333
1,43.5,43.5
-1,11,29.6666666667
-1,-26,-52
-1,-10.1166666667,142.116666667
1,35.5,72.5
-1,-21,139.5
