Johan van der Auwera, Nina Dobrushina, Valentin Goussev. 2013. Imperative-Hortative Systems.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/72, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	4	Neither type of system	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
acu	Achuar	1	Maximal system	-2.66667	-76.0	Jivaroan	Jivaroan	Verbal Categories
aco	Acoma	4	Neither type of system	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
ain	Ainu	4	Neither type of system	43.0	143.0	Ainu	Ainu	Verbal Categories
ala	Alamblak	1	Maximal system	-4.66666666667	143.333333333	Sepik Hill	Sepik	Verbal Categories
alb	Albanian	1	Maximal system	41.0	20.0	Albanian	Indo-European	Verbal Categories
aea	Aleut (Eastern)	1	Maximal system	54.75	-164.0	Aleut	Eskimo-Aleut	Verbal Categories
ame	Amele	1	Maximal system	-5.25	145.583333333	Madang	Trans-New Guinea	Verbal Categories
amh	Amharic	4	Neither type of system	10.0	38.0	Semitic	Afro-Asiatic	Verbal Categories
anu	Anufo	2	Minimal system	10.0833333333	0.25	Kwa	Niger-Congo	Verbal Categories
apl	Apalaí	4	Neither type of system	0.0	-54.0	Cariban	Cariban	Verbal Categories
apu	Apurinã	4	Neither type of system	-9.0	-67.0	Purus	Arawakan	Verbal Categories
aeg	Arabic (Egyptian)	4	Neither type of system	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	4	Neither type of system	34.0	-6.0	Semitic	Afro-Asiatic	Verbal Categories
anl	Arabic (North Levantine Spoken)	1	Maximal system	33.75	36.0	Semitic	Afro-Asiatic	Verbal Categories
ark	Araki	1	Maximal system	-15.6666666667	166.916666667	Oceanic	Austronesian	Verbal Categories
ana	Araona	4	Neither type of system	-12.3333333333	-67.75	Tacanan	Tacanan	Verbal Categories
arp	Arapesh (Mountain)	4	Neither type of system	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Verbal Categories
arm	Armenian (Eastern)	4	Neither type of system	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	4	Neither type of system	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
ath	Athpare	1	Maximal system	27.0	87.3333333333	Mahakiranti	Sino-Tibetan	Verbal Categories
ava	Avar	4	Neither type of system	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
awp	Awa Pit	4	Neither type of system	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
awn	Awngi	1	Maximal system	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Verbal Categories
aym	Aymara (Central)	1	Maximal system	-17.0	-69.0	Aymaran	Aymaran	Verbal Categories
ayr	Ayoreo	4	Neither type of system	-20.25	-59.25	Zamucoan	Zamucoan	Verbal Categories
bag	Bagirmi	4	Neither type of system	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
bam	Bambara	3	Both types of system	12.5	-7.5	Western Mande	Mande	Verbal Categories
brs	Barasano	1	Maximal system	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Verbal Categories
bsk	Bashkir	1	Maximal system	53.0	58.0	Turkic	Altaic	Verbal Categories
bsq	Basque	4	Neither type of system	43.0	-3.0	Basque	Basque	Verbal Categories
bkr	Batak (Karo)	1	Maximal system	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Verbal Categories
baw	Bawm	2	Minimal system	22.5	92.25	Kuki-Chin	Sino-Tibetan	Verbal Categories
bem	Bemba	4	Neither type of system	-10.0	28.25	Bantoid	Niger-Congo	Verbal Categories
bma	Berber (Middle Atlas)	4	Neither type of system	33.0	-5.0	Berber	Afro-Asiatic	Verbal Categories
ber	Berta	4	Neither type of system	10.3333333333	34.6666666667	Berta	Berta	Verbal Categories
bir	Birom	3	Both types of system	9.66666666667	8.83333333333	Platoid	Niger-Congo	Verbal Categories
brr	Bororo	4	Neither type of system	-16.0	-57.0	Bororoan	Bororoan	Verbal Categories
brh	Brahui	4	Neither type of system	28.5	67.0	Northern Dravidian	Dravidian	Verbal Categories
buk	Bukusu	3	Both types of system	0.75	34.6666666667	Bantoid	Niger-Congo	Verbal Categories
bul	Bulgarian	1	Maximal system	42.5	25.0	Slavic	Indo-European	Verbal Categories
brm	Burmese	4	Neither type of system	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Verbal Categories
bur	Burushaski	4	Neither type of system	36.5	74.5	Burushaski	Burushaski	Verbal Categories
cah	Cahuilla	4	Neither type of system	33.5	-116.25	California Uto-Aztecan	Uto-Aztecan	Verbal Categories
cak	Cakchiquel	1	Maximal system	14.5	-91.0	Mayan	Mayan	Verbal Categories
ckr	Canela-Krahô	4	Neither type of system	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Verbal Categories
car	Carib	4	Neither type of system	5.5	-56.0	Cariban	Cariban	Verbal Categories
csh	Cashinahua	4	Neither type of system	-10.5	-71.8333333333	Panoan	Panoan	Verbal Categories
ctl	Catalan	4	Neither type of system	41.75	2.0	Romance	Indo-European	Verbal Categories
cay	Cayapa	4	Neither type of system	0.666666666667	-79.0	Barbacoan	Barbacoan	Verbal Categories
ceb	Cebuano	3	Both types of system	10.0	124.0	Greater Central Philippine	Austronesian	Verbal Categories
cld	Chaldean (Modern)	4	Neither type of system	36.0	43.0	Semitic	Afro-Asiatic	Verbal Categories
cha	Chamorro	4	Neither type of system	13.45	144.75	Chamorro	Austronesian	Verbal Categories
cle	Chinantec (Lealao)	2	Minimal system	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Verbal Categories
crg	Chiriguano	4	Neither type of system	-23.6666666667	-64.3333333333	Tupi-Guaraní	Tupian	Verbal Categories
coi	Chortí	4	Neither type of system	14.8333333333	-89.25	Mayan	Mayan	Verbal Categories
chr	Chrau	4	Neither type of system	10.75	107.5	Bahnaric	Austro-Asiatic	Verbal Categories
chk	Chukchi	1	Maximal system	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
chv	Chuvash	4	Neither type of system	55.5	47.5	Turkic	Altaic	Verbal Categories
cmn	Comanche	4	Neither type of system	33.5	-101.5	Numic	Uto-Aztecan	Verbal Categories
coo	Coos (Hanis)	2	Minimal system	43.5	-124.166666667	Coosan	Oregon Coast	Verbal Categories
cop	Coptic	4	Neither type of system	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Verbal Categories
cor	Cora	1	Maximal system	22.1666666667	-104.833333333	Corachol	Uto-Aztecan	Verbal Categories
cre	Cree (Plains)	4	Neither type of system	54.0	-110.0	Algonquian	Algic	Verbal Categories
cze	Czech	4	Neither type of system	50.0	15.0	Slavic	Indo-European	Verbal Categories
dbd	Dabida	1	Maximal system	-4.0	38.6666666667	Bantoid	Niger-Congo	Verbal Categories
dag	Daga	1	Maximal system	-10.0	149.333333333	Dagan	Dagan	Verbal Categories
dni	Dani (Lower Grand Valley)	1	Maximal system	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Verbal Categories
dsh	Danish	4	Neither type of system	56.0	10.0	Germanic	Indo-European	Verbal Categories
die	Diegueño (Mesa Grande)	4	Neither type of system	32.6666666667	-116.166666667	Yuman	Hokan	Verbal Categories
dig	Digaro	4	Neither type of system	28.4166666667	96.0	Digaroan	Sino-Tibetan	Verbal Categories
dio	Diola-Fogny	1	Maximal system	13.0	-16.25	Northern Atlantic	Niger-Congo	Verbal Categories
dre	Drehu	4	Neither type of system	-21.0	167.25	Oceanic	Austronesian	Verbal Categories
dut	Dutch	4	Neither type of system	52.5	6.0	Germanic	Indo-European	Verbal Categories
dyu	Dyula	2	Minimal system	9.83333333333	-4.66666666667	Western Mande	Mande	Verbal Categories
eka	Ekari	4	Neither type of system	-3.83333333333	135.5	Wissel Lakes-Kemandoga	Trans-New Guinea	Verbal Categories
emb	Emberá (Northern)	4	Neither type of system	6.83333333333	-77.1666666667	Choco	Choco	Verbal Categories
eng	English	4	Neither type of system	52.0	0.0	Germanic	Indo-European	Verbal Categories
epe	Epena Pedee	4	Neither type of system	3.0	-77.0	Choco	Choco	Verbal Categories
err	Erromangan	4	Neither type of system	-18.8333333333	169.166666667	Oceanic	Austronesian	Verbal Categories
est	Estonian	1	Maximal system	59.0	26.0	Finnic	Uralic	Verbal Categories
evn	Even	1	Maximal system	68.0	130.0	Tungusic	Altaic	Verbal Categories
eve	Evenki	1	Maximal system	56.0	125.0	Tungusic	Altaic	Verbal Categories
ewe	Ewe	4	Neither type of system	6.33333333333	0.416666666667	Kwa	Niger-Congo	Verbal Categories
far	Faroese	4	Neither type of system	62.0	-7.0	Germanic	Indo-European	Verbal Categories
fij	Fijian	3	Both types of system	-17.8333333333	178.0	Oceanic	Austronesian	Verbal Categories
fin	Finnish	1	Maximal system	62.0	25.0	Finnic	Uralic	Verbal Categories
fre	French	4	Neither type of system	48.0	2.0	Romance	Indo-European	Verbal Categories
fua	Fula (Cameroonian)	1	Maximal system	9.16666666667	13.5	Northern Atlantic	Niger-Congo	Verbal Categories
fur	Fur	4	Neither type of system	13.5	25.0	Fur	Fur	Verbal Categories
fye	Fyem	4	Neither type of system	9.58333333333	9.33333333333	Platoid	Niger-Congo	Verbal Categories
gam	Gamo	1	Maximal system	6.66666666667	37.25	North Omotic	Afro-Asiatic	Verbal Categories
gar	Garo	4	Neither type of system	25.6666666667	90.5	Bodo-Garo	Sino-Tibetan	Verbal Categories
gbk	Gbaya Kara	1	Maximal system	6.0	15.0	Gbaya-Manza-Ngbaka	Niger-Congo	Verbal Categories
geo	Georgian	4	Neither type of system	42.0	44.0	Kartvelian	Kartvelian	Verbal Categories
ger	German	4	Neither type of system	52.0	10.0	Germanic	Indo-European	Verbal Categories
goo	Gooniyandi	1	Maximal system	-18.3333333333	126.333333333	Bunuban	Bunuban	Verbal Categories
grb	Grebo	2	Minimal system	5.0	-8.0	Kru	Niger-Congo	Verbal Categories
grk	Greek (Modern)	1	Maximal system	39.0	22.0	Greek	Indo-European	Verbal Categories
grw	Greenlandic (West)	4	Neither type of system	64.0	-51.0	Eskimo	Eskimo-Aleut	Verbal Categories
gua	Guaraní	1	Maximal system	-26.0	-56.0	Tupi-Guaraní	Tupian	Verbal Categories
gum	Gumbaynggir	4	Neither type of system	-30.1666666667	152.5	Southeastern Pama-Nyungan	Pama-Nyungan	Verbal Categories
gmz	Gumuz	1	Maximal system	12.5	35.8333333333	Gumuz	Gumuz	Verbal Categories
gwa	Gwari	2	Minimal system	9.5	7.0	Nupoid	Niger-Congo	Verbal Categories
hai	Haida	4	Neither type of system	53.0	-132.0	Haida	Haida	Verbal Categories
hlu	Halkomelem (Upriver)	4	Neither type of system	49.25	-121.916666667	Central Salish	Salishan	Verbal Categories
ham	Hamtai	1	Maximal system	-7.5	146.25	Angan	Trans-New Guinea	Verbal Categories
hau	Hausa	3	Both types of system	12.0	7.0	West Chadic	Afro-Asiatic	Verbal Categories
haw	Hawaiian	1	Maximal system	19.5833333333	-155.5	Oceanic	Austronesian	Verbal Categories
hay	Hayu	4	Neither type of system	27.25	86.0	Mahakiranti	Sino-Tibetan	Verbal Categories
heb	Hebrew (Modern)	1	Maximal system	31.5	34.8333333333	Semitic	Afro-Asiatic	Verbal Categories
her	Herero	1	Maximal system	-20.5833333333	19.0	Bantoid	Niger-Congo	Verbal Categories
hin	Hindi	4	Neither type of system	25.0	77.0	Indic	Indo-European	Verbal Categories
hix	Hixkaryana	1	Maximal system	-1.0	-59.0	Cariban	Cariban	Verbal Categories
hmd	Hmong Daw	4	Neither type of system	26.0	105.0	Hmong-Mien	Hmong-Mien	Verbal Categories
hmo	Hmong Njua	4	Neither type of system	28.0	105.0	Hmong-Mien	Hmong-Mien	Verbal Categories
hum	Huitoto (Murui)	4	Neither type of system	-1.0	-73.5	Huitoto	Huitotoan	Verbal Categories
hun	Hungarian	1	Maximal system	47.0	20.0	Ugric	Uralic	Verbal Categories
hzb	Hunzib	1	Maximal system	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
iaa	Iaai	4	Neither type of system	-20.4166666667	166.583333333	Oceanic	Austronesian	Verbal Categories
ice	Icelandic	4	Neither type of system	65.0	-17.0	Germanic	Indo-European	Verbal Categories
ido	Idoma	2	Minimal system	6.91666666667	7.5	Idomoid	Niger-Congo	Verbal Categories
igb	Igbo	4	Neither type of system	6.0	7.33333333333	Igboid	Niger-Congo	Verbal Categories
ijo	Ijo (Kolokuma)	2	Minimal system	4.91666666667	5.66666666667	Ijoid	Ijoid	Verbal Categories
ika	Ika	4	Neither type of system	10.6666666667	-73.75	Arhuacic	Chibchan	Verbal Categories
imo	Imonda	4	Neither type of system	-3.33333333333	141.166666667	Border	Border	Verbal Categories
ind	Indonesian	4	Neither type of system	0.0	106.0	Malayo-Sumbawan	Austronesian	Verbal Categories
ing	Ingush	1	Maximal system	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Verbal Categories
iqu	Iquito	2	Minimal system	-3.25	-74.0	Zaparoan	Zaparoan	Verbal Categories
irq	Iraqw	1	Maximal system	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Verbal Categories
iri	Irish	1	Maximal system	53.0	-8.0	Celtic	Indo-European	Verbal Categories
ita	Italian	4	Neither type of system	43.0	12.0	Romance	Indo-European	Verbal Categories
jak	Jakaltek	1	Maximal system	15.6666666667	-91.6666666667	Mayan	Mayan	Verbal Categories
jpn	Japanese	4	Neither type of system	37.0	140.0	Japanese	Japanese	Verbal Categories
jaq	Jaqaru	1	Maximal system	-13.0	-76.0	Aymaran	Aymaran	Verbal Categories
jav	Javanese	4	Neither type of system	-7.0	111.0	Javanese	Austronesian	Verbal Categories
jeb	Jebero	1	Maximal system	-5.41666666667	-76.5	Cahuapanan	Cahuapanan	Verbal Categories
juh	Ju|'hoan	1	Maximal system	-19.0	21.0	Ju-Kung	Kxa	Verbal Categories
kek	K'ekchí	4	Neither type of system	16.0	-89.8333333333	Mayan	Mayan	Verbal Categories
kgm	Kagoma	4	Neither type of system	9.25	8.16666666667	Platoid	Niger-Congo	Verbal Categories
kmk	Kalmyk	1	Maximal system	44.0	83.0	Mongolic	Altaic	Verbal Categories
knd	Kannada	1	Maximal system	14.0	76.0	Southern Dravidian	Dravidian	Verbal Categories
knr	Kanuri	4	Neither type of system	12.0	13.0	Western Saharan	Saharan	Verbal Categories
krt	Karata	4	Neither type of system	42.5833333333	46.3333333333	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
krk	Karok	1	Maximal system	41.6666666667	-123.0	Karok	Karok	Verbal Categories
ksm	Kasem	4	Neither type of system	11.25	-1.25	Gur	Niger-Congo	Verbal Categories
kyl	Kayah Li (Eastern)	1	Maximal system	19.0	97.5	Karen	Sino-Tibetan	Verbal Categories
kay	Kayardild	4	Neither type of system	-17.05	139.5	Tangkic	Tangkic	Verbal Categories
ker	Kera	3	Both types of system	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Verbal Categories
krq	Kerek	1	Maximal system	62.25	175.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
ket	Ket	4	Neither type of system	64.0	87.0	Yeniseian	Yeniseian	Verbal Categories
kte	Kete	1	Maximal system	-7.0	22.8333333333	Bantoid	Niger-Congo	Verbal Categories
kew	Kewa	4	Neither type of system	-6.5	143.833333333	Engan	Trans-New Guinea	Verbal Categories
kha	Khalkha	1	Maximal system	47.0	105.0	Mongolic	Altaic	Verbal Categories
kmu	Khmu'	4	Neither type of system	21.0	102.0	Palaung-Khmuic	Austro-Asiatic	Verbal Categories
kho	Khoekhoe	1	Maximal system	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Verbal Categories
klv	Kilivila	1	Maximal system	-8.5	151.083333333	Oceanic	Austronesian	Verbal Categories
kil	Kiluba	1	Maximal system	-8.0	26.0	Bantoid	Niger-Congo	Verbal Categories
kim	Kimaghama	1	Maximal system	-8.0	138.5	Kolopom	Kolopom	Verbal Categories
kio	Kiowa	4	Neither type of system	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Verbal Categories
krb	Kiribati	4	Neither type of system	1.33333333333	173.0	Oceanic	Austronesian	Verbal Categories
kiw	Kiwai	4	Neither type of system	-8.0	143.5	Kiwaian	Kiwaian	Verbal Categories
klm	Klamath	1	Maximal system	42.5	-121.5	Klamath-Modoc	Penutian	Verbal Categories
kow	Ko (Winye)	2	Minimal system	11.8666666667	-2.91666666667	Gur	Niger-Congo	Verbal Categories
koa	Koasati	1	Maximal system	34.8333333333	-85.1666666667	Muskogean	Muskogean	Verbal Categories
kob	Kobon	1	Maximal system	-5.16666666667	144.333333333	Madang	Trans-New Guinea	Verbal Categories
kok	Kokborok	4	Neither type of system	24.3333333333	92.5	Bodo-Garo	Sino-Tibetan	Verbal Categories
kon	Kongo	1	Maximal system	-5.0	15.0	Bantoid	Niger-Congo	Verbal Categories
kkn	Konkani	4	Neither type of system	15.25	74.0	Indic	Indo-European	Verbal Categories
krn	Korana	1	Maximal system	-29.5	20.5	Khoe-Kwadi	Khoe-Kwadi	Verbal Categories
kor	Korean	4	Neither type of system	37.5	128.0	Korean	Korean	Verbal Categories
kfe	Koromfe	3	Both types of system	14.25	-0.916666666667	Gur	Niger-Congo	Verbal Categories
kse	Koyraboro Senni	3	Both types of system	16.0	0.0	Songhay	Songhay	Verbal Categories
kpe	Kpelle	3	Both types of system	7.0	-10.0	Western Mande	Mande	Verbal Categories
kro	Krongo	1	Maximal system	10.5	30.0	Kadugli	Kadu	Verbal Categories
kui	Kui (in India)	1	Maximal system	20.0	83.5	South-Central Dravidian	Dravidian	Verbal Categories
knm	Kunama	1	Maximal system	14.5	37.0	Kunama	Kunama	Verbal Categories
kmp	Kunimaipa	4	Neither type of system	-8.0	146.833333333	Goilalan	Trans-New Guinea	Verbal Categories
kut	Kutenai	4	Neither type of system	49.5	-116.0	Kutenai	Kutenai	Verbal Categories
kuv	Kuvi	4	Neither type of system	18.75	82.6666666667	South-Central Dravidian	Dravidian	Verbal Categories
kwa	Kwaio	2	Minimal system	-8.95	161.0	Oceanic	Austronesian	Verbal Categories
lad	Ladakhi	4	Neither type of system	34.0	78.0	Bodic	Sino-Tibetan	Verbal Categories
lno	Ladino	4	Neither type of system	40.0	33.0	Romance	Indo-European	Verbal Categories
lak	Lak	1	Maximal system	42.1666666667	47.1666666667	Lak-Dargwa	Nakh-Daghestanian	Verbal Categories
lkt	Lakhota	4	Neither type of system	43.8333333333	-101.833333333	Core Siouan	Siouan	Verbal Categories
lan	Lango	4	Neither type of system	2.16666666667	33.0	Nilotic	Eastern Sudanic	Verbal Categories
lat	Latvian	4	Neither type of system	57.0	24.0	Baltic	Indo-European	Verbal Categories
lav	Lavukaleve	4	Neither type of system	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Verbal Categories
laz	Laz	4	Neither type of system	41.5	41.5	Kartvelian	Kartvelian	Verbal Categories
lep	Lepcha	1	Maximal system	27.1666666667	88.5	Lepcha	Sino-Tibetan	Verbal Categories
lez	Lezgian	4	Neither type of system	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Verbal Categories
lnd	Linda	4	Neither type of system	6.5	20.75	Ubangi	Niger-Congo	Verbal Categories
lin	Lingala	3	Both types of system	2.0	18.5	Bantoid	Niger-Congo	Verbal Categories
lit	Lithuanian	4	Neither type of system	55.0	24.0	Baltic	Indo-European	Verbal Categories
lgt	Logoti	1	Maximal system	3.5	30.0	Moru-Ma'di	Central Sudanic	Verbal Categories
loz	Lozi	1	Maximal system	-17.8333333333	26.0	Bantoid	Niger-Congo	Verbal Categories
lug	Lugbara	1	Maximal system	3.08333333333	30.9166666667	Moru-Ma'di	Central Sudanic	Verbal Categories
luo	Luo	4	Neither type of system	-0.5	34.75	Nilotic	Eastern Sudanic	Verbal Categories
luv	Luvale	1	Maximal system	-12.0	22.0	Bantoid	Niger-Congo	Verbal Categories
mle	Maale	4	Neither type of system	6.0	36.9166666667	North Omotic	Afro-Asiatic	Verbal Categories
mab	Maba	4	Neither type of system	13.75	20.8333333333	Maban	Maban	Verbal Categories
mcd	Macedonian	1	Maximal system	41.6666666667	21.75	Slavic	Indo-European	Verbal Categories
mac	Macushi	4	Neither type of system	4.0	-60.0	Cariban	Cariban	Verbal Categories
mai	Maithili	1	Maximal system	26.0	86.0	Indic	Indo-European	Verbal Categories
mak	Makah	4	Neither type of system	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Verbal Categories
mal	Malagasy	1	Maximal system	-20.0	47.0	Barito	Austronesian	Verbal Categories
mym	Malayalam	4	Neither type of system	10.0	76.5	Southern Dravidian	Dravidian	Verbal Categories
mlt	Maltese	4	Neither type of system	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Verbal Categories
mam	Mam	4	Neither type of system	15.0	-91.8333333333	Mayan	Mayan	Verbal Categories
mnm	Manam	1	Maximal system	-4.0	145.0	Oceanic	Austronesian	Verbal Categories
mnd	Mandarin	4	Neither type of system	34.0	110.0	Chinese	Sino-Tibetan	Verbal Categories
mdk	Mandinka	1	Maximal system	13.0	-15.6666666667	Western Mande	Mande	Verbal Categories
myi	Mangarrayi	4	Neither type of system	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Verbal Categories
mkn	Mankanya	4	Neither type of system	12.0833333333	-15.9166666667	Northern Atlantic	Niger-Congo	Verbal Categories
man	Mano	2	Minimal system	7.0	-9.0	Eastern Mande	Mande	Verbal Categories
mao	Maori	1	Maximal system	-40.0	176.0	Oceanic	Austronesian	Verbal Categories
map	Mapudungun	4	Neither type of system	-38.0	-72.0	Araucanian	Araucanian	Verbal Categories
mku	Maranungku	4	Neither type of system	-13.6666666667	130.0	Wagaydy	Western Daly	Verbal Categories
mhi	Marathi	1	Maximal system	19.0	76.0	Indic	Indo-European	Verbal Categories
mrg	Margi	1	Maximal system	11.0	13.0	Biu-Mandara	Afro-Asiatic	Verbal Categories
mme	Mari (Meadow)	4	Neither type of system	57.0	48.0	Mari	Uralic	Verbal Categories
mar	Maricopa	4	Neither type of system	33.1666666667	-113.166666667	Yuman	Hokan	Verbal Categories
mrd	Marind	4	Neither type of system	-7.83333333333	140.166666667	Marind Proper	Marind	Verbal Categories
mrt	Martuthunira	4	Neither type of system	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Verbal Categories
msl	Masalit	4	Neither type of system	13.3333333333	22.0	Maban	Maban	Verbal Categories
may	Maybrat	4	Neither type of system	-1.33333333333	132.5	North-Central Bird's Head	West Papuan	Verbal Categories
mei	Meithei	1	Maximal system	24.75	94.0	Kuki-Chin	Sino-Tibetan	Verbal Categories
mde	Mende	3	Both types of system	7.83333333333	-11.5	Western Mande	Mande	Verbal Categories
mik	Mikir	4	Neither type of system	26.3333333333	93.5	Kuki-Chin	Sino-Tibetan	Verbal Categories
msg	Mising	4	Neither type of system	28.5	94.8333333333	Tani	Sino-Tibetan	Verbal Categories
mss	Miwok (Southern Sierra)	1	Maximal system	37.5	-120.0	Miwok	Penutian	Verbal Categories
mxc	Mixtec (Chalcatongo)	4	Neither type of system	17.05	-97.5833333333	Mixtecan	Oto-Manguean	Verbal Categories
miy	Miya	4	Neither type of system	10.9166666667	9.66666666667	West Chadic	Afro-Asiatic	Verbal Categories
mok	Mokilese	1	Maximal system	6.66666666667	159.75	Oceanic	Austronesian	Verbal Categories
mon	Mon	4	Neither type of system	14.8333333333	100.5	Monic	Austro-Asiatic	Verbal Categories
mgo	Mongo	1	Maximal system	0.0	21.0	Bantoid	Niger-Congo	Verbal Categories
moo	Mooré	3	Both types of system	12.8333333333	-1.25	Gur	Niger-Congo	Verbal Categories
mop	Mopan	4	Neither type of system	16.5833333333	-88.6666666667	Mayan	Mayan	Verbal Categories
mro	Moro	4	Neither type of system	11.0	30.1666666667	Heiban	Kordofanian	Verbal Categories
mul	Mulao	4	Neither type of system	25.0	108.0	Kam-Tai	Tai-Kadai	Verbal Categories
mum	Mumuye	3	Both types of system	9.0	11.6666666667	Adamawa	Niger-Congo	Verbal Categories
mna	Muna	4	Neither type of system	-5.0	122.5	Celebic	Austronesian	Verbal Categories
