Ljuba N. Veselinova. 2013. Suppletion According to Tense and Aspect.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/79, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
xun	!Xun (Ekoka)	4	None	-19.6666666667	18.0	Ju-Kung	Kxa	Verbal Categories
abk	Abkhaz	1	Tense	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
aco	Acoma	4	None	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
ain	Ainu	4	None	43.0	143.0	Ainu	Ainu	Verbal Categories
agw	Alagwa	4	None	-5.5	35.75	Southern Cushitic	Afro-Asiatic	Verbal Categories
ala	Alamblak	1	Tense	-4.66666666667	143.333333333	Sepik Hill	Sepik	Verbal Categories
ame	Amele	4	None	-5.25	145.583333333	Madang	Trans-New Guinea	Verbal Categories
apu	Apurinã	4	None	-9.0	-67.0	Purus	Arawakan	Verbal Categories
abn	Arabana	4	None	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Verbal Categories
aeg	Arabic (Egyptian)	4	None	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	4	None	34.0	-6.0	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	4	None	36.75	10.25	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	4	None	-12.3333333333	-67.75	Tacanan	Tacanan	Verbal Categories
arp	Arapesh (Mountain)	4	None	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Verbal Categories
arm	Armenian (Eastern)	3	Tense and aspect	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	4	None	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
awp	Awa Pit	1	Tense	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
aym	Aymara (Central)	4	None	-17.0	-69.0	Aymaran	Aymaran	Verbal Categories
bag	Bagirmi	4	None	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
brs	Barasano	4	None	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Verbal Categories
bsq	Basque	1	Tense	43.0	-3.0	Basque	Basque	Verbal Categories
