wals code	name	value	description	latitude	longitude	genus	family	area
xun	!Xun (Ekoka)	2	Imperative	-19.6666666667	18.0	Ju-Kung	Kxa	Verbal Categories
abk	Abkhaz	5	None (= no suppletive imperatives reported in the reference material)	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
aco	Acoma	3	Hortative	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
ain	Ainu	5	None (= no suppletive imperatives reported in the reference material)	43.0	143.0	Ainu	Ainu	Verbal Categories
agw	Alagwa	4	Imperative and Hortative	-5.5	35.75	Southern Cushitic	Afro-Asiatic	Verbal Categories
ala	Alamblak	5	None (= no suppletive imperatives reported in the reference material)	-4.66666666667	143.333333333	Sepik Hill	Sepik	Verbal Categories
ame	Amele	5	None (= no suppletive imperatives reported in the reference material)	-5.25	145.583333333	Madang	Trans-New Guinea	Verbal Categories
apu	Apurinã	5	None (= no suppletive imperatives reported in the reference material)	-9.0	-67.0	Purus	Arawakan	Verbal Categories
abn	Arabana	5	None (= no suppletive imperatives reported in the reference material)	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Verbal Categories
aeg	Arabic (Egyptian)	2	Imperative	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	2	Imperative	34.0	-6.0	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	2	Imperative	36.75	10.25	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	5	None (= no suppletive imperatives reported in the reference material)	-12.3333333333	-67.75	Tacanan	Tacanan	Verbal Categories
arp	Arapesh (Mountain)	5	None (= no suppletive imperatives reported in the reference material)	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Verbal Categories
arm	Armenian (Eastern)	2	Imperative	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	5	None (= no suppletive imperatives reported in the reference material)	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
awp	Awa Pit	5	None (= no suppletive imperatives reported in the reference material)	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
aym	Aymara (Central)	5	None (= no suppletive imperatives reported in the reference material)	-17.0	-69.0	Aymaran	Aymaran	Verbal Categories
bag	Bagirmi	5	None (= no suppletive imperatives reported in the reference material)	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
