Matthew S. Dryer. 2013. Order of Relative Clause and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/90, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
amt	Amdo (Themchen)	2	Internally-headed or RelN	38.0	98.0	Bodic	Sino-Tibetan	Word Order
ao	Ao	2	Internally-headed or RelN	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
ath	Athpare	6	Internally-headed occurs as nondominant type	27.0	87.3333333333	Mahakiranti	Sino-Tibetan	Word Order
baw	Bawm	2	Internally-headed or RelN	22.5	92.25	Kuki-Chin	Sino-Tibetan	Word Order
bel	Belhare	6	Internally-headed occurs as nondominant type	26.9666666667	87.3	Mahakiranti	Sino-Tibetan	Word Order
bya	Byansi	2	Internally-headed or RelN	30.1666666667	80.5	Bodic	Sino-Tibetan	Word Order
ckr	Canela-Krahô	3	Internally-headed or NRel	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Word Order
chg	Chang	2	Internally-headed or RelN	26.3333333333	94.75	Northern Naga	Sino-Tibetan	Word Order
chi	Chimariko	1	Internally-headed relative clause dominant	41.0	-123.0	Chimariko	Hokan	Word Order
cmr	Chin (Mara)	1	Internally-headed relative clause dominant	23.0	93.1666666667	Kuki-Chin	Sino-Tibetan	Word Order
cti	Chin (Tiddim)	7	Internally-headed exists	23.3333333333	93.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
cct	Choctaw	1	Internally-headed relative clause dominant	32.25	-88.5	Muskogean	Muskogean	Word Order
die	Diegueño (Mesa Grande)	1	Internally-headed relative clause dominant	32.6666666667	-116.166666667	Yuman	Hokan	Word Order
dlm	Dla (Menggwa)	2	Internally-headed or RelN	-3.55	141.033333333	Senagi	Senagi	Word Order
dds	Donno So	1	Internally-headed relative clause dominant	14.3333333333	-3.58333333333	Dogon	Dogon	Word Order
epe	Epena Pedee	1	Internally-headed relative clause dominant	3.0	-77.0	Choco	Choco	Word Order
evn	Even	6	Internally-headed occurs as nondominant type	68.0	130.0	Tungusic	Altaic	Word Order
eve	Evenki	6	Internally-headed occurs as nondominant type	56.0	125.0	Tungusic	Altaic	Word Order
gmw	Gumawana	3	Internally-headed or NRel	-9.25	150.833333333	Oceanic	Austronesian	Word Order
hai	Haida	1	Internally-headed relative clause dominant	53.0	-132.0	Haida	Haida	Word Order
har	Haruai	2	Internally-headed or RelN	-5.08333333333	144.166666667	Piawi	Piawi	Word Order
ika	Ika	1	Internally-headed relative clause dominant	10.6666666667	-73.75	Arhuacic	Chibchan	Word Order
imo	Imonda	2	Internally-headed or RelN	-3.33333333333	141.166666667	Border	Border	Word Order
jms	Jamsay	5	Internally-headed or double-headed	14.4166666667	-2.5	Dogon	Dogon	Word Order
jpn	Japanese	6	Internally-headed occurs as nondominant type	37.0	140.0	Japanese	Japanese	Word Order
kew	Kewa	2	Internally-headed or RelN	-6.5	143.833333333	Engan	Trans-New Guinea	Word Order
khd	Kham (Dege)	6	Internally-headed occurs as nondominant type	31.8333333333	98.5833333333	Bodic	Sino-Tibetan	Word Order
kio	Kiowa	1	Internally-headed relative clause dominant	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Word Order
koa	Koasati	2	Internally-headed or RelN	34.8333333333	-85.1666666667	Muskogean	Muskogean	Word Order
kor	Korean	6	Internally-headed occurs as nondominant type	37.5	128.0	Korean	Korean	Word Order
kut	Kutenai	1	Internally-headed relative clause dominant	49.5	-116.0	Kutenai	Kutenai	Word Order
lai	Lai	2	Internally-headed or RelN	22.6666666667	93.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
