wals code	name	value	description	latitude	longitude	genus	family	area
bam	Bambara	1	Correlative relative clause dominant	12.5	-7.5	Western Mande	Mande	Word Order
bod	Bodo	2	Correlative or RelN	26.8333333333	92.0	Bodo-Garo	Sino-Tibetan	Word Order
drm	Darma	2	Correlative or RelN	30.0	79.75	Bodic	Sino-Tibetan	Word Order
hin	Hindi	1	Correlative relative clause dominant	25.0	77.0	Indic	Indo-European	Word Order
xns	Kanashi	7	Correlative exists	32.0833333333	77.25	Bodic	Sino-Tibetan	Word Order
knd	Kannada	2	Correlative or RelN	14.0	76.0	Southern Dravidian	Dravidian	Word Order
kas	Kashmiri	3	Correlative or NRel	34.0	76.0	Indic	Indo-European	Word Order
khr	Kharia	2	Correlative or RelN	22.5	84.3333333333	Munda	Austro-Asiatic	Word Order
kgy	Kyirong	2	Correlative or RelN	28.4166666667	85.3333333333	Bodic	Sino-Tibetan	Word Order
mai	Maithili	3	Correlative or NRel	26.0	86.0	Indic	Indo-European	Word Order
mka	Mauka	1	Correlative relative clause dominant	8.33333333333	-7.5	Western Mande	Mande	Word Order
nwd	Newar (Dolakha)	6	Correlative as nondominant type	27.3333333333	86.0	Mahakiranti	Sino-Tibetan	Word Order
ngi	Ngiyambaa	5	Correlative or adjoined	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Word Order
oya	Oriya	1	Correlative relative clause dominant	21.0	85.0	Indic	Indo-European	Word Order
qim	Quechua (Imbabura)	6	Correlative as nondominant type	0.333333333333	-78.0	Quechuan	Quechuan	Word Order
stl	Santali	2	Correlative or RelN	24.5	87.0	Munda	Austro-Asiatic	Word Order
snm	Sanuma	4	Correlative or internally-headed	4.5	-64.6666666667	Yanomam	Yanomam	Word Order
skw	Shekhawati	2	Correlative or RelN	28.0	75.5	Indic	Indo-European	Word Order
sup	Supyire	1	Correlative relative clause dominant	11.5	-5.58333333333	Gur	Niger-Congo	Word Order
urd	Urdu	1	Correlative relative clause dominant	25.0	67.0	Indic	Indo-European	Word Order
vai	Vai	1	Correlative relative clause dominant	6.91666666667	-11.25	Western Mande	Mande	Word Order
xas	Xasonga	5	Correlative or adjoined	14.25	-10.5	Western Mande	Mande	Word Order
yko	Yukaghir (Kolyma)	6	Correlative as nondominant type	65.75	150.833333333	Yukaghir	Yukaghir	Word Order
