wals code	name	value	description	latitude	longitude	genus	family	area
diy	Diyari	1	Adjoined relative clause dominant	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
kkq	Kuikúro	1	Adjoined relative clause dominant	-12.4166666667	-53.0833333333	Cariban	Cariban	Word Order
kya	Kuku-Yalanji	1	Adjoined relative clause dominant	-16.0	145.0	Northern Pama-Nyungan	Pama-Nyungan	Word Order
mrt	Martuthunira	1	Adjoined relative clause dominant	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Word Order
mek	Mekens	1	Adjoined relative clause dominant	-12.5	-61.5	Tupari	Tupian	Word Order
ngk	Ngankikurungkurr	1	Adjoined relative clause dominant	-14.0	130.5	Ngankikurungkurr	Southern Daly	Word Order
ngi	Ngiyambaa	2	Adjoined or correlative	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Word Order
wrl	Warlpiri	1	Adjoined relative clause dominant	-20.0	132.333333333	Western Pama-Nyungan	Pama-Nyungan	Word Order
xas	Xasonga	2	Adjoined or correlative	14.25	-10.5	Western Mande	Mande	Word Order
yid	Yidiny	1	Adjoined relative clause dominant	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Word Order
